InChI,SMILES
"InChI=1S/C10H18O4/c1-3-13-9(11)7-5-6-8-10(12)14-4-2/h3-8H2,1-2H3",CCOC(=O)CCCCC(=O)OCC
"InChI=1S/C20H38O7S.C10H16N3/c1-3-5-7-9-11-13-15-26-19(21)17-18(28(23,24)25)20(22)27-16-14-12-10-8-6-4-2;1-2-3-6-12-8-9-13(10-12)7-4-5-11/h18H,3-17H2,1-2H3,(H,23,24,25);8-10H,2-4,6-7H2,1H3/q;+1/p-1",CCCCCCCCOC(=O)CC(C(=O)OCCCCCCCC)S(=O)(=O)[O-].CCCC[n+]1ccn(CCC#N)c1
"InChI=1S/C8H15N2.CH2O2/c1-3-4-5-10-7-6-9(2)8-10;2-1-3/h6-8H,3-5H2,1-2H3;1H,(H,2,3)/q+1;/p-1",CCCCn1cc[n+](C)c1.O=C[O-]
"InChI=1S/C6H12N3.BF4/c1-8-4-5-9(6-8)3-2-7;2-1(3,4)5/h4-6H,2-3,7H2,1H3;/q+1;-1",C[n+]1ccn(CCN)c1.F[B-](F)(F)F
"InChI=1S/C7H8O/c1-6-4-2-3-5-7(6)8/h2-5,8H,1H3",Cc1ccccc1O
"InChI=1S/C3H2F6/c4-2(5,6)1-3(7,8)9/h1H2",FC(F)(F)CC(F)(F)F
"InChI=1S/C4H10O2/c1-4(6)2-3-5/h4-6H,2-3H2,1H3",CC(O)CCO
"InChI=1S/C5H7NO2/c1-2-8-5(7)3-4-6/h2-3H2,1H3",CCOC(=O)CC#N
"InChI=1S/C24H48O2/c1-4-7-9-10-11-12-13-14-15-16-17-18-19-21-24(25)26-22-23(6-3)20-8-5-2/h23H,4-22H2,1-3H3",CCCCCCCCCCCCCCCC(=O)OCC(CC)CCCC
"InChI=1S/C8H14N2O3S.H2O4S/c1-9-5-6-10(8-9)4-2-3-7-14(11,12)13;1-5(2,3)4/h5-6,8H,2-4,7H2,1H3;(H2,1,2,3,4)",C[n+]1ccn(CCCCS(=O)(=O)[O-])c1.O=S(=O)(O)O
"InChI=1S/C9H17N2.C5H9NO4/c1-3-4-5-6-11-8-7-10(2)9-11;6-3(5(9)10)1-2-4(7)8/h7-9H,3-6H2,1-2H3;3H,1-2,6H2,(H,7,8)(H,9,10)/q+1;/p-1",CCCCCn1cc[n+](C)c1.NC(CCC(=O)[O-])C(=O)O
"InChI=1S/C11H25N2S.C2F6NO4S2/c1-6-7-8-9-10-14-11(12(2)3)13(4)5;3-1(4,5)14(10,11)9-15(12,13)2(6,7)8/h6-10H2,1-5H3;/q+1;-1",CCCCCCSC(N(C)C)=[N+](C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
"InChI=1S/C7H13N2.C4H9NO3/c1-3-4-9-6-5-8(2)7-9;1-2(6)3(5)4(7)8/h5-7H,3-4H2,1-2H3;2-3,6H,5H2,1H3,(H,7,8)/q+1;/p-1/t;2-,3+/m.1/s1",CCCn1cc[n+](C)c1.C[C@@H](O)[C@H](N)C(=O)[O-]
"InChI=1S/C10F18/c11-1-2(12,5(17,18)9(25,26)7(21,22)3(1,13)14)6(19,20)10(27,28)8(23,24)4(1,15)16",FC1(F)C(F)(F)C(F)(F)C2(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C2(F)C1(F)F
"InChI=1S/C6H17N3/c7-3-1-5-9-6-2-4-8/h9H,1-8H2",NCCCNCCCN
InChI=1S/Ag,[Ag]
"InChI=1S/C8H15N2.C3H7NO3/c1-3-4-5-10-7-6-9(2)8-10;4-2(1-5)3(6)7/h6-8H,3-5H2,1-2H3;2,5H,1,4H2,(H,6,7)/q+1;/p-1/t;2-/m.0/s1",CCCCn1cc[n+](C)c1.N[C@@H](CO)C(=O)[O-]
"InChI=1S/C13H22N.NO3/c1-2-3-4-5-6-8-11-14-12-9-7-10-13-14;2-1(3)4/h7,9-10,12-13H,2-6,8,11H2,1H3;/q+1;-1",CCCCCCCC[n+]1ccccc1.O=[N+]([O-])[O-]
"InChI=1S/C8H16O2/c1-3-5-6-7-8(9)10-4-2/h3-7H2,1-2H3",CCCCCC(=O)OCC
"InChI=1S/C11H19N3O.C2F6NO4S2/c1-3-5-6-12-11(15)9-14-8-7-13(4-2)10-14;3-1(4,5)14(10,11)9-15(12,13)2(6,7)8/h7-8,10H,3-6,9H2,1-2H3;/q;-1/p+1",CCCCN=C(O)Cn1cc[n+](CC)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
"InChI=1S/C9H13N/c1-10(2)8-9-6-4-3-5-7-9/h3-7H,8H2,1-2H3",CN(C)Cc1ccccc1
InChI=1S/C3H6O2/c1-2-5-3-4-1/h1-3H2,C1COCO1
"InChI=1S/C8H15N2.6FH.Sb/c1-3-4-5-10-7-6-9(2)8-10;;;;;;;/h6-8H,3-5H2,1-2H3;6*1H;/q+1;;;;;;;+5/p-6",CCCCn1cc[n+](C)c1.[F-].[F-].[F-].[F-].[F-].[F-].[Sb+5]
"InChI=1S/C5H12O/c1-3-5(6)4-2/h5-6H,3-4H2,1-2H3",CCC(O)CC
"InChI=1S/C3H9N.CH2O2/c1-2-3-4;2-1-3/h2-4H2,1H3;1H,(H,2,3)",CCCN.O=CO
"InChI=1S/C8H10/c1-7-4-3-5-8(2)6-7/h3-6H,1-2H3",Cc1cccc(C)c1
"InChI=1S/C9H22OP.C2F6NO4S2/c1-5-11(6-2,7-3)9-8-10-4;3-1(4,5)14(10,11)9-15(12,13)2(6,7)8/h5-9H2,1-4H3;/q+1;-1",CC[P+](CC)(CC)CCOC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
"InChI=1S/C7H15I/c1-2-3-4-5-6-7-8/h2-7H2,1H3",CCCCCCCI
"InChI=1S/C8H18NO.C6F18P/c1-9(7-8-10-2)5-3-4-6-9;7-1(8,9)4(16,17)25(22,23,24,5(18,19)2(10,11)12)6(20,21)3(13,14)15/h3-8H2,1-2H3;/q+1;-1",COCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
"InChI=1S/C14H32PS.C2F6NO4S2/c1-5-8-11-15(14-16-4,12-9-6-2)13-10-7-3;3-1(4,5)14(10,11)9-15(12,13)2(6,7)8/h5-14H2,1-4H3;/q+1;-1",CCCC[P+](CCCC)(CCCC)CSC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
"InChI=1S/C4H10O2/c1-2-6-4-3-5/h5H,2-4H2,1H3",CCOCCO
"InChI=1S/C10H22N.C2F6NO4S2/c1-3-4-8-11(2)9-6-5-7-10-11;3-1(4,5)14(10,11)9-15(12,13)2(6,7)8/h3-10H2,1-2H3;/q+1;-1",CCCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
"InChI=1S/C2H3Cl3/c3-1-2(4)5/h2H,1H2",ClCC(Cl)Cl
"InChI=1S/C7H10N.C2N3/c1-2-8-6-4-3-5-7-8;3-1-5-2-4/h3-7H,2H2,1H3;/q+1;-1",CC[n+]1ccccc1.N#C[N-]C#N
"InChI=1S/C3H9NO/c1-3(5)2-4/h3,5H,2,4H2,1H3",CC(O)CN
"InChI=1S/C16H36P.C5H11NO2/c1-5-9-13-17(14-10-6-2,15-11-7-3)16-12-8-4;1-3(2)4(6)5(7)8/h5-16H2,1-4H3;3-4H,6H2,1-2H3,(H,7,8)/q+1;/p-1/t;4-/m.0/s1",CC(C)[C@H](N)C(=O)[O-].CCCC[P+](CCCC)(CCCC)CCCC
"InChI=1S/C30H62/c1-25(2)15-11-19-29(7)23-13-21-27(5)17-9-10-18-28(6)22-14-24-30(8)20-12-16-26(3)4/h25-30H,9-24H2,1-8H3",CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C
"InChI=1S/C32H68P.C3H2N3O2/c1-5-9-13-17-18-19-20-21-22-23-24-28-32-33(29-25-14-10-6-2,30-26-15-11-7-3)31-27-16-12-8-4;7-6(8)3-1-4-5-2-3/h5-32H2,1-4H3;1-2H/q+1;-1",CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.O=[N+]([O-])c1cn[n-]c1
"InChI=1S/C6H11N2.CHF3O3S/c1-3-8-5-4-7(2)6-8;2-1(3,4)8(5,6)7/h4-6H,3H2,1-2H3;(H,5,6,7)/q+1;/p-1",CCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F
"InChI=1S/C6H14O2/c1-3-7-5-6-8-4-2/h3-6H2,1-2H3",CCOCCOCC
"InChI=1S/C6H15N/c1-5(2)7-6(3)4/h5-7H,1-4H3",CC(C)NC(C)C
"InChI=1S/C10H16N.C4N3/c1-3-4-7-11-8-5-10(2)6-9-11;5-1-4(2-6)3-7/h5-6,8-9H,3-4,7H2,1-2H3;/q+1;-1",CCCC[n+]1ccc(C)cc1.N#CC(=C=[N-])C#N
"InChI=1S/C10H16N3.C6H6O3S/c1-2-3-6-12-8-9-13(10-12)7-4-5-11;7-10(8,9)6-4-2-1-3-5-6/h8-10H,2-4,6-7H2,1H3;1-5H,(H,7,8,9)/q+1;/p-1",CCCC[n+]1ccn(CCC#N)c1.O=S(=O)([O-])c1ccccc1
"InChI=1S/C11H24NO.C4N3/c1-3-4-5-6-7-12(2)8-10-13-11-9-12;5-1-4(2-6)3-7/h3-11H2,1-2H3;/q+1;-1",CCCCCC[N+]1(C)CCOCC1.N#CC(=C=[N-])C#N
"InChI=1S/C5H9NO.C5H10O2/c1-6-4-2-3-5(6)7;1-2-3-4-5(6)7/h2-4H2,1H3;2-4H2,1H3,(H,6,7)",CCCCC(=O)O.CN1CCCC1=O
"InChI=1S/C10H12O2/c1-2-12-10(11)8-9-6-4-3-5-7-9/h3-7H,2,8H2,1H3",CCOC(=O)Cc1ccccc1
