CAS,SMILES,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAmideBonds,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumAtomStereoCenters,NumBridgeheadAtoms,NumHAcceptors,NumHDonors,NumHeteroatoms,NumHeterocycles,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumSpiroAtoms,NumUnspecifiedAtomStereoCenters,Phi,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
50-00-0,C=O,8.0,8.0,2.0,2.0,0.36062445834190227,2.0,30.026,28.009999999999998,30.010564684,12,0,0.10638225365854179,-0.3070970261864102,0.3070970261864102,0.10638225365854179,1.5,1.5,1.5,16.12066443463986,11.889335565360136,0.6363523793257957,-0.8370671518536642,0.4944444446183531,-0.9253444446183531,5.10494426232814,-0.09794426232813992,1.0,2.0,2.0,2.0,1.1153550716504106,1.1153550716504106,1.0,0.2886751345948129,0.2886751345948129,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,2.0,1.6699999999999997,0.6700000000000002,-5.360303030303031,12.900773127873316,4.794537184071822,6.78907609989417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.794537184071822,6.78907609989417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.78907609989417,4.794537184071822,0.0,0.0,0.0,0.0,0.0,0.0,17.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.78907609989417,0.0,4.794537184071822,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.55945,0,-0.1849,7.121,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55-21-0,C1=CC=C(C=C1)C(=O)N,10.423148148148147,10.423148148148147,0.3790740740740739,-0.3790740740740739,0.5859367170668044,8.88888888888889,121.13899999999998,114.08299999999998,121.052763844,46,0,0.24819511424564836,-0.3655995116322135,0.3655995116322135,0.24819511424564836,1.2222222222222223,1.7777777777777777,2.111111111111111,16.146256449867163,10.203415503031882,1.9323528713908245,-1.8897489336071613,1.942031251395361,-2.094426059552921,5.920744208728865,0.1000074782189678,1.9003726279897948,2.9814546140411315,205.415952604261,6.69023444431199,4.872349905601618,4.872349905601618,4.304530452640311,2.6534828823497043,2.6534828823497043,1.7302761738955694,1.7302761738955694,1.0583068652130645,1.0583068652130645,0.602419279161589,0.602419279161589,-1.31,129.22533870330605,5.820039011703511,2.306763635550358,1.2877050319358112,53.29775803095005,5.733667477162185,0.0,0.0,5.907179729351506,0.0,0.0,4.794537184071822,0.0,0.0,0.0,18.19910120538483,12.13273413692322,5.563451491696996,0.0,4.794537184071822,5.907179729351506,0.0,0.0,5.733667477162185,0.0,0.0,35.89528683400505,0.0,0.0,5.733667477162185,0.0,0.0,0.0,5.907179729351506,0.0,0.0,10.357988675768818,30.33183534230805,0.0,0.0,0.0,43.09,0.0,4.794537184071822,0.0,5.907179729351506,5.563451491696996,0.0,0.0,24.26546827384644,6.06636706846161,0.0,5.733667477162185,0.0,0.0,10.423148148148147,0.0,5.5280555555555555,-0.3790740740740739,8.761203703703703,0.0,0.0,0.0,0.0,9,2,2,0,0,0,1,1,0,1,0,0,1,1,2,0,1,0,0,0,0,0,1.491717149964678,1,0.7855000000000001,34.9599,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
56-23-5,C(Cl)(Cl)(Cl)Cl,4.826388888888888,4.826388888888888,1.6111111111111107,-1.6111111111111107,0.46979553635275456,12.0,153.823,153.823,151.87541072,32,0,0.2656852112875353,-0.06642130282188383,0.2656852112875353,0.06642130282188383,0.8,0.8,0.8,35.625388254184024,11.841611745815971,2.1078899801062283,-1.9056260716405768,2.293436919704575,-1.806036919704575,6.831492563030868,1.7555074369691306,0.7219280948873623,3.0237157840738176,19.11941547876375,4.5,2.011857892036909,5.035573676110727,2.0,0.7559289460184544,2.2677868380553634,0.42857142857142844,3.857142857142857,0.0,0.0,0.0,0.0,1.16,3.6096404744368114,6.16,1.7418482569208207,38.291985731272305,49.952315935356246,0.0,0.0,0.0,0.0,3.251717757574102,0.0,0.0,0.0,0.0,0.0,46.40375956093006,0.0,0.0,0.0,0.0,46.40375956093006,0.0,0.0,0.0,3.251717757574102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.40375956093006,3.251717757574102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.251717757574102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.40375956093006,-1.6111111111111107,19.305555555555554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2.145957052526451,0,2.5529,26.143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57-55-6,CC(CO)O,8.11111111111111,8.11111111111111,0.13888888888888884,-0.5601851851851853,0.4358349966110498,15.0,76.095,68.031,76.052429496,32,0,0.0742386440636602,-0.39370004219776616,0.39370004219776616,0.0742386440636602,1.8,2.0,2.0,16.31513815345841,10.458756100052481,1.8281882984618443,-1.895783727783053,1.681968912999836,-2.0325604871035763,4.334973681772572,0.10985960933785113,1.3787834934861756,2.5395388613593908,18.854752972273342,4.284457050376173,3.178884241376089,3.178884241376089,2.270055610029662,1.560025215417488,1.560025215417488,1.0315955518811348,1.0315955518811348,0.26422384392782794,0.26422384392782794,0.0,0.0,-0.08,9.65148445440323,4.920000000000001,2.1751020408163266,3.92,31.057602761014785,10.213054789681411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.923737199690624,0.0,12.71084835226122,10.213054789681411,0.0,0.0,0.0,0.0,13.027703587438927,6.606881964512918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.92390314194263,0.0,0.0,6.923737199690624,0.0,0.0,0.0,0.0,40.46,6.103966387748303,0.0,0.0,6.606881964512918,0.0,0.0,6.923737199690624,0.0,0.0,0.0,10.213054789681411,0.0,0.0,0.0,16.00462962962963,0.0,0.0,0.0,-0.5601851851851853,1.3888888888888888,0.0,1.0,5,2,2,0,0,0,0,0,0,0,1,0,2,2,2,0,1,0,0,0,0,1,2.1403004081632657,0,-0.6405,18.766600000000004,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60-29-7,CCOCC,4.833333333333333,4.833333333333333,0.84375,0.84375,0.4752681489358652,8.4,74.123,64.04299999999999,74.07316494,32,0,0.04370841252469281,-0.3820258357826421,0.3820258357826421,0.04370841252469281,1.2,1.6,1.6,16.471489792223313,10.800690364709848,1.635249239958044,-1.8589755250228048,1.6400163366950407,-1.8373812082768382,4.066771354077527,0.1617626113850695,1.4056390622295665,2.19060968716425,11.119415478763749,4.121320343559642,3.822461852836958,3.822461852836958,2.414213562373095,1.9915638315627207,1.9915638315627207,0.7814744144215573,0.7814744144215573,0.408248290463863,0.408248290463863,0.2041241452319315,0.2041241452319315,-0.04,11.245112497836532,4.960000000000001,3.9600000000000004,3.9600000000000004,32.94762260052625,4.736862953800049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.847474399381248,13.213763929025836,0.0,4.736862953800049,0.0,0.0,0.0,0.0,13.847474399381248,13.213763929025836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.213763929025836,4.736862953800049,0.0,13.847474399381248,0.0,0.0,0.0,0.0,9.23,0.0,0.0,0.0,0.0,0.0,13.213763929025836,0.0,0.0,13.847474399381248,0.0,4.736862953800049,4.833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.666666666666666,0.0,1.0,5,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,3.9283200000000007,0,1.0428000000000002,22.166999999999994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60-35-5,CC(=O)N,9.222222222222221,9.222222222222221,0.33333333333333304,-0.33333333333333304,0.4010309227553837,6.25,59.068,54.028,59.03711378,24,0,0.2137901795921753,-0.3699205879126533,0.3699205879126533,0.2137901795921753,2.0,2.0,2.0,16.14529929075639,10.787745135300652,1.6112863134787963,-1.597224554984121,1.3299202640290742,-2.0136900322904885,5.698924303380397,-0.11547170968273977,0.8112781244591328,2.8030394876740514,29.019550008653873,3.5773502691896257,2.485598559653489,2.485598559653489,1.7320508075688772,0.9927992798267444,0.9927992798267444,0.6106504100245024,0.6106504100245024,0.0,0.0,0.0,0.0,-0.53,3.2451124978365313,3.4699999999999998,0.8748582995951415,1.1560092559629747,24.605605939282636,5.733667477162185,0.0,0.0,5.907179729351506,0.0,0.0,4.794537184071822,0.0,0.0,0.0,0.0,0.0,6.923737199690624,0.0,4.794537184071822,5.907179729351506,0.0,0.0,5.733667477162185,6.923737199690624,0.0,0.0,0.0,0.0,5.733667477162185,0.0,0.0,0.0,5.907179729351506,4.794537184071822,0.0,6.923737199690624,0.0,0.0,0.0,0.0,43.09,0.0,4.794537184071822,0.0,5.907179729351506,0.0,0.0,6.923737199690624,0.0,0.0,5.733667477162185,0.0,0.0,0.0,9.222222222222221,0.0,4.472222222222222,-0.33333333333333304,0.0,0.0,1.3055555555555556,0.0,0.5,4,2,2,0,0,0,1,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0.7589395748987852,0,-0.5084,14.868400000000001,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
64-17-5,CCO,7.569444444444445,7.569444444444445,0.25,0.25,0.4068079656553945,6.0,46.069,40.021,46.041864812,20,0,0.040220581749086416,-0.3966637147812598,0.3966637147812598,0.040220581749086416,2.0,2.0,2.0,16.248991329327918,10.90816803508637,1.3402935186707778,-1.52235869276019,1.2962426382141041,-1.568363547035574,3.835802335589486,0.3184056131739115,0.9182958340544897,1.6329931618554523,2.754887502163469,2.7071067811865475,2.1543203766865053,2.1543203766865053,1.4142135623730951,1.0233345472033855,1.0233345472033855,0.3162277660168379,0.3162277660168379,0.0,0.0,0.0,0.0,-0.04,2.754887502163469,2.9600000000000004,1.96,1.9600000000000033,19.89842689442217,5.106527394840706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.923737199690624,6.606881964512918,0.0,5.106527394840706,0.0,0.0,0.0,0.0,6.923737199690624,6.606881964512918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.713409359353623,0.0,0.0,6.923737199690624,0.0,0.0,0.0,0.0,20.23,0.0,0.0,0.0,6.606881964512918,0.0,0.0,0.0,6.923737199690624,0.0,0.0,5.106527394840706,0.0,0.0,0.0,7.569444444444445,0.0,0.0,0.0,0.0,1.9305555555555556,0.0,1.0,3,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1.9338666666666668,0,-0.0014000000000000123,12.759800000000002,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64-18-6,C(=O)O,8.36111111111111,8.36111111111111,0.25,-0.25,0.3801607209681124,4.0,46.025000000000006,44.009,46.005479304,18,0,0.29012882761761255,-0.48346660997598206,0.48346660997598206,0.29012882761761255,2.0,2.0,2.0,16.345966558948724,11.664976543957323,1.2177206604281545,-1.3390094248455597,0.966156038956139,-1.487025168779309,5.323236903758452,-0.12240733936195676,0.9182958340544897,2.1874960973678963,10.264662506490406,2.7071067811865475,1.4328121551534467,1.4328121551534467,1.4142135623730951,0.49390115014267705,0.49390115014267705,0.105409255338946,0.105409255338946,0.0,0.0,0.0,0.0,-0.53,2.754887502163469,2.4699999999999993,1.4699999999999982,1.4700000000000009,17.695006880069332,5.106527394840706,0.0,0.0,0.0,6.472220864716464,0.0,4.794537184071822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.901064578912528,6.472220864716464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.57874825955717,4.794537184071822,0.0,0.0,0.0,0.0,0.0,0.0,37.3,0.0,0.0,0.0,6.472220864716464,0.0,0.0,0.0,0.0,0.0,0.0,9.901064578912528,0.0,0.0,8.36111111111111,6.888888888888889,0.0,0.0,0.0,0.0,-0.25,0.0,0.0,3,1,2,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,1.2102999999999982,0,-0.29919999999999997,8.6928,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64-19-7,CC(=O)O,9.0,9.0,0.8333333333333333,-0.8333333333333333,0.4298828832001217,6.25,60.05200000000001,56.02,60.021129368000004,24,0,0.2996845531582142,-0.481433475172105,0.481433475172105,0.2996845531582142,2.0,2.0,2.0,16.363929068063154,10.854985217204092,1.6509951854331457,-1.5897739953032324,1.4156543939895572,-1.7770437432804933,5.6247797592829265,-0.1339289924624054,0.8112781244591328,2.8030394876740514,27.019550008653873,3.5773502691896257,2.355461885963821,2.355461885963821,1.7320508075688772,0.9277309429819105,0.9277309429819105,0.5190180358994382,0.5190180358994382,0.0,0.0,0.0,0.0,-0.53,3.2451124978365313,3.4699999999999998,0.8748582995951415,1.1560092559629747,24.059948994465934,5.106527394840706,0.0,0.0,0.0,5.9693052879518484,0.0,4.794537184071822,0.0,0.0,0.0,0.0,0.0,6.923737199690624,0.0,9.901064578912528,5.9693052879518484,0.0,0.0,0.0,6.923737199690624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.075832682792555,4.794537184071822,0.0,6.923737199690624,0.0,0.0,0.0,0.0,37.3,5.9693052879518484,0.0,0.0,0.0,0.0,6.923737199690624,0.0,0.0,0.0,0.0,9.901064578912528,0.0,0.0,9.0,7.416666666666666,0.0,-0.8333333333333333,0.0,0.0,1.0833333333333333,0.0,0.5,4,1,2,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0.7589395748987852,0,0.09089999999999993,13.309800000000001,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65-85-0,C1=CC=C(C=C1)C(=O)O,10.200925925925926,10.200925925925926,0.3310185185185188,-0.8790740740740739,0.6106035394285076,8.88888888888889,122.12299999999996,116.07499999999997,122.036779432,46,0,0.33517823467103924,-0.47763925058011736,0.47763925058011736,0.33517823467103924,1.2222222222222223,1.7777777777777777,2.111111111111111,16.36552806487445,10.215857796790878,1.9607739027535784,-1.876559697753285,1.95538298993436,-1.9306285909556435,5.868348678084369,0.0696667405950103,1.9003726279897948,2.9814546140411315,203.415952604261,6.69023444431199,4.7422132319119505,4.7422132319119505,4.304530452640311,2.5884145455048704,2.5884145455048704,1.6711779681929224,1.6711779681929224,1.0207396434199782,1.0207396434199782,0.5807298335466442,0.5807298335466442,-1.31,129.22533870330605,5.820039011703511,2.306763635550358,1.2877050319358112,52.75210108613335,5.106527394840706,0.0,0.0,0.0,0.0,5.9693052879518484,0.0,4.794537184071822,0.0,0.0,18.19910120538483,12.13273413692322,0.0,5.563451491696996,9.901064578912528,5.9693052879518484,0.0,0.0,0.0,0.0,0.0,35.89528683400505,0.0,0.0,0.0,0.0,0.0,0.0,11.075832682792555,0.0,0.0,10.357988675768818,30.33183534230805,0.0,0.0,0.0,37.3,5.9693052879518484,4.794537184071822,0.0,0.0,5.563451491696996,0.0,0.0,30.33183534230805,0.0,0.0,5.106527394840706,0.0,0.0,10.200925925925926,8.384814814814815,0.3310185185185188,-0.8790740740740739,8.295648148148148,0.0,0.0,0.0,0.0,9,1,2,0,0,0,0,1,0,1,0,0,1,1,2,0,1,0,0,0,0,0,1.491717149964678,1,1.3848,33.4013,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
