fuel_name,T_C,speed_of_sound_ms,density_gcc,bulk_modulus_psi,source
HRJ8 (R-8 w/ JP-8 Additives),30.0,1247.0,0.7503,169283,"Table 24, p95"
R-8/JP-8 50/50,30.0,1267.0,0.7721,179717,"Table 24, p95"
Sasol IPK,30.0,1212.0,0.7497,159690,"Table 24, p95"
Neste Oil NExBTL BioJet,30.0,1275.0,0.7603,179293,"Table 24, p95"
Rentech FT SPK w/ JP-* Additives,30.0,1246.0,0.7512,169015,"Table 24, p95"
HRJ (Tallow),30.0,1241.0,0.7463,166620,"Table 24, p95"
3HRJ (Camelina),30.0,1220.0,0.7391,159600,"Table 24, p95"
TS-1,30.0,1256.0,0.7497,171479,"Table 24, p95"
HRJ (Tallow)/JP-8 50/50,30.0,1258.0,0.7697,176642,"Table 24, p95"
HRJ (Camelina)/JP-8 50/50,30.0,1247.0,0.7661,172710,"Table 24, p95"
Shell FT SPK,30.0,1205.0,0.7247,152657,"Table 24, p95"
JP-8,30.0,1284.0,0.8016,191712,"Table 24, p95"
Jet A,30.0,1262.0,0.7873,181872,"Table 24, p95"
Premium Ultra-Low Sulfur Diesel,30.0,1329.0,0.8241,220966,"Table 24, p95"
GEVO,30.0,1181.0,0.7455,150769,"Table 24, p95"
GEVO/JP-8 50/50,30.0,1231.0,0.7701,169372,"Table 24, p95"
