fuel_name,POSF_number,fuel_type,IBP_C,T10_C,T20_C,T50_C,T90_C,FBP_C,source
Synthetic Paraffinic Kerosene (SPK) (Sasol IPK),7629,Synthetic Paraffinic Kerosene (SPK),156.0,164.0,166.0,177.0,201.0,224.0,"Table 8, p28"
Synthetic Paraffinic Kerosene (SPK) (Shell SPK),5729,Synthetic Paraffinic Kerosene (SPK),156.0,162.0,164.0,169.0,185.0,200.0,"Table 8, p28"
Synthetic Paraffinic Kerosene (SPK) (Syntroleum S-8),5018,Synthetic Paraffinic Kerosene (SPK),147.0,170.0,180.0,209.0,247.0,259.0,"Table 8, p28"
Synthetic Paraffinic Kerosene (SPK) (Syntroleum S-5),4705,Synthetic Paraffinic Kerosene (SPK),189.0,201.0,202.0,216.0,253.0,268.0,"Table 8, p28"
"Hydroprocessed Esters and Fatty Acids (HEFA, aka HRJ) (UOP (camelina))",10301,"Hydroprocessed Esters and Fatty Acids (HEFA, aka HRJ)",147.0,164.0,174.0,220.0,273.0,283.0,"Table 8, p28"
"Hydroprocessed Esters and Fatty Acids (HEFA, aka HRJ) (UOP (tallow))",10298,"Hydroprocessed Esters and Fatty Acids (HEFA, aka HRJ)",144.0,162.0,173.0,216.0,263.0,272.0,"Table 8, p28"
"Hydroprocessed Esters and Fatty Acids (HEFA, aka HRJ) (Dynamic Fuels (mixed fats))",7635,"Hydroprocessed Esters and Fatty Acids (HEFA, aka HRJ)",147.0,179.0,192.0,222.0,258.0,270.0,"Table 8, p28"
ATJ SPK (Gevo (isobutanol)),11498,ATJ SPK,173.0,178.0,179.0,182.0,228.0,263.0,"Table 8, p28"
CHJ-8 (ARA),8455,CHJ-8,164.0,180.0,185.0,200.0,229.0,240.0,"Table 8, p28"
CHJ-5 (ARA),13676,CHJ-5,181.0,189.0,192.0,204.0,232.0,248.0,"Table 8, p28"
ATJ SKA (Swedish Biofuels),12924,ATJ SKA,,164.0,,185.0,232.0,256.0,"Table 8, p28"
Hydro-deoxygenated Synthetic Kerosene (HDO SK) (Virent/Shell),8535,Hydro-deoxygenated Synthetic Kerosene (HDO SK),159.0,178.0,186.0,213.0,260.0,282.0,"Table 8, p28"
JP-8 (A-1),10264,JP-8,150.0,164.3,171.1,189.7,233.9,256.7,"Table 5, p19"
Jet A (A-2),10325,Jet A,159.2,176.8,185.4,205.4,244.6,270.5,"Table 5, p19"
JP-5 (A-3),10289,JP-5,177.9,194.2,201.3,219.6,245.8,259.5,"Table 5, p19"
