fuel_name,POSF_number,fuel_type,H_content_mass_pct,NHOC_MJkg,aromatic_content_mass_pct,flash_point_C,freeze_point_C,density_15C_gcc,MW_gmol,DCN,source
JP-8 (A-1),10264,JP-8,14.26,43.24,13.56,,,0.78,152.0,,"Tables 5,11,15 (pp19,47,65)"
Jet A (A-2),10325,Jet A,13.84,43.06,18.53,,,0.804,159.0,,"Tables 5,11,15 (pp19,47,65)"
JP-5 (A-3),10289,JP-5,13.68,42.88,20.36,,,0.827,166.0,,"Tables 5,11,15 (pp19,47,65)"
Sasol IPK,7629,Synthetic Paraffinic Kerosene (SPK),15.7,43.9,,42.0,-61.0,0.76,153.0,,"Tables 7,10,14,16 (pp28,43,63,73)"
Shell SPK,5729,Synthetic Paraffinic Kerosene (SPK),15.5,44.3,,46.0,-54.0,0.737,144.0,,"Tables 7,10,14,16 (pp28,43,63,73)"
Syntroleum S-8,5018,Synthetic Paraffinic Kerosene (SPK),15.2,43.9,,48.0,-49.0,0.756,,,"Tables 7,10,14,16 (pp28,43,63,73)"
UOP camelina HEFA,10301,Hydroprocessed Esters and Fatty Acids (HEFA),15.3,43.9,,46.0,-57.0,0.762,,,"Tables 7,10,14,16 (pp28,43,63,73)"
UOP tallow HEFA,10298,Hydroprocessed Esters and Fatty Acids (HEFA),15.4,44.0,,44.0,-53.0,0.76,,,"Tables 7,10,14,16 (pp28,43,63,73)"
Dynamic Fuels HEFA,7635,Hydroprocessed Esters and Fatty Acids (HEFA),15.2,43.9,,44.0,-49.0,0.762,,,"Tables 7,10,14,16 (pp28,43,63,73)"
Gevo ATJ,11498,ATJ SPK,15.4,43.9,,50.0,-90.0,0.761,,,"Tables 7,10,14,16 (pp28,43,63,73)"
LanzaTech ATJ,12756,ATJ SPK,15.3,43.9,,,-89.0,0.762,,,"Tables 7,10,14,16 (pp28,43,63,73)"
ARA CHJ,8455,CHJ,14.0,43.1,,48.0,-49.0,0.803,,,"Tables 7,10,14,16 (pp28,43,63,73)"
Swedish Biofuels ATJ SKA,12924,ATJ SKA,14.4,43.4,,44.0,-61.0,0.782,,,"Tables 7,10,14,16 (pp28,43,63,73)"
Virent/Shell HDO SK,8535,Hydro-deoxygenated Synthetic Kerosene,14.4,43.0,,50.0,-80.0,0.812,,,"Tables 7,10,14,16 (pp28,43,63,73)"
