shift [ppm],Normalized I & background removal[au] 
219.26776,0
219.26047,0
219.25318,0
219.24589,0
219.23861,0
219.23132,0
219.22403,0
219.21674,0
219.20945,0
219.20216,0
219.19487,0
219.18759,0
219.1803,0
219.17301,0
219.16572,0
219.15843,0
219.15114,0
219.14385,0
219.13656,0
219.12928,0
219.12199,0
219.1147,0
219.10741,0
219.10012,0
219.09283,0
219.08554,0
219.07825,0
219.07097,0
219.06368,0
219.05639,0
219.0491,0
219.04181,0
219.03452,0
219.02723,0
219.01994,0
219.01266,0
219.00537,0
218.99808,0
218.99079,0
218.9835,0
218.97621,0
218.96892,0
218.96163,0
218.95435,0
218.94706,0
218.93977,0
218.93248,0
218.92519,0
218.9179,0
218.91061,0
218.90332,0
218.89604,0
218.88875,0
218.88146,0
218.87417,0
218.86688,0
218.85959,0
218.8523,0
218.84501,0
218.83773,0
218.83044,0
218.82315,0
218.81586,0
218.80857,0
218.80128,0
218.79399,0
218.78671,0
218.77942,0
218.77213,0
218.76484,0
218.75755,0
218.75026,0
218.74297,0
218.73568,0
218.7284,0
218.72111,0
218.71382,0
218.70653,0
218.69924,0
218.69195,0
218.68466,0
218.67737,0
218.67009,0
218.6628,0
218.65551,0
218.64822,0
218.64093,0
218.63364,0
218.62635,0
218.61906,0
218.61178,0
218.60449,0
218.5972,0
218.58991,0
218.58262,0
218.57533,0
218.56804,0
218.56075,0
218.55347,0
218.54618,0
218.53889,0
218.5316,0
218.52431,0
218.51702,0
218.50973,0
218.50244,0
218.49516,0
218.48787,0
218.48058,0
218.47329,0
218.466,0
218.45871,0
218.45142,0
218.44413,0
218.43685,0
218.42956,0
218.42227,0
218.41498,0
218.40769,0
218.4004,0
218.39311,0
218.38583,0
218.37854,0
218.37125,0
218.36396,0
218.35667,0
218.34938,0
218.34209,0
218.3348,0
218.32752,0
218.32023,0
218.31294,0
218.30565,0
218.29836,0
218.29107,0
218.28378,0
218.27649,0
218.26921,0
218.26192,0
218.25463,0
218.24734,0
218.24005,0
218.23276,0
218.22547,0
218.21818,0
218.2109,0
218.20361,0
218.19632,0
218.18903,0
218.18174,0
218.17445,0
218.16716,0
218.15987,0
218.15259,0
218.1453,0
218.13801,0
218.13072,0
218.12343,0
218.11614,0
218.10885,0
218.10156,0
218.09428,0
218.08699,0
218.0797,0
218.07241,0
218.06512,0
218.05783,0
218.05054,0
218.04326,0
218.03597,0
218.02868,0
218.02139,0
218.0141,0
218.00681,0
217.99952,0
217.99223,0
217.98495,0
217.97766,0
217.97037,0
217.96308,0
217.95579,0
217.9485,0
217.94121,0
217.93392,0
217.92664,0
217.91935,0
217.91206,0
217.90477,0
217.89748,0
217.89019,0
217.8829,0
217.87561,0
217.86833,0
217.86104,0
217.85375,0
217.84646,0
217.83917,0
217.83188,0
217.82459,0
217.8173,0
217.81002,0
217.80273,0
217.79544,0
217.78815,0
217.78086,0
217.77357,0
217.76628,0
217.75899,0
217.75171,0
217.74442,0
217.73713,0
217.72984,0
217.72255,0
217.71526,0
217.70797,0
217.70068,0
217.6934,0
217.68611,0
217.67882,0
217.67153,0
217.66424,0
217.65695,0
217.64966,0
217.64238,0
217.63509,0
217.6278,0
217.62051,0
217.61322,0
217.60593,0
217.59864,0
217.59135,0
217.58407,0
217.57678,0
217.56949,0
217.5622,0
217.55491,0
217.54762,0
217.54033,0
217.53304,0
217.52576,0
217.51847,0
217.51118,0
217.50389,0
217.4966,0
217.48931,0
217.48202,0
217.47473,0
217.46745,0
217.46016,0
217.45287,0
217.44558,0
217.43829,0
217.431,0
217.42371,0
217.41642,0
217.40914,0
217.40185,0
217.39456,0
217.38727,0
217.37998,0
217.37269,0
217.3654,0
217.35811,0
217.35083,0
217.34354,0
217.33625,0
217.32896,0
217.32167,0
217.31438,0
217.30709,0
217.2998,0
217.29252,0
217.28523,0
217.27794,0
217.27065,0
217.26336,0
217.25607,0
217.24878,0
217.2415,0
217.23421,0
217.22692,0
217.21963,0
217.21234,0
217.20505,0
217.19776,0
217.19047,0
217.18319,0
217.1759,0
217.16861,0
217.16132,0
217.15403,0
217.14674,0
217.13945,0
217.13216,0
217.12488,0
217.11759,0
217.1103,0
217.10301,0
217.09572,0
217.08843,0
217.08114,0
217.07385,0
217.06657,0
217.05928,0
217.05199,0
217.0447,0
217.03741,0
217.03012,0
217.02283,0
217.01554,0
217.00826,0
217.00097,0
216.99368,0
216.98639,0
216.9791,0
216.97181,0
216.96452,0
216.95723,0
216.94995,0
216.94266,0
216.93537,0
216.92808,0
216.92079,0
216.9135,0
216.90621,0
216.89892,0
216.89164,0
216.88435,0
216.87706,0
216.86977,0
216.86248,0
216.85519,0
216.8479,0
216.84062,0
216.83333,0
216.82604,0
216.81875,0
216.81146,0
216.80417,0
216.79688,0
216.78959,0
216.78231,0
216.77502,0
216.76773,0
216.76044,0
216.75315,0
216.74586,0
216.73857,0
216.73128,0
216.724,0
216.71671,0
216.70942,0
216.70213,0
216.69484,0
216.68755,0
216.68026,0
216.67297,0
216.66569,0
216.6584,0
216.65111,0
216.64382,0
216.63653,0
216.62924,0
216.62195,0
216.61466,0
216.60738,0
216.60009,0
216.5928,0
216.58551,0
216.57822,0
216.57093,0
216.56364,0
216.55635,0
216.54907,0
216.54178,0
216.53449,0
216.5272,0
216.51991,0
216.51262,0
216.50533,0
216.49805,0
216.49076,0
216.48347,0
216.47618,0
216.46889,0
216.4616,0
216.45431,0
216.44702,0
216.43974,0
216.43245,0
216.42516,0
216.41787,0
216.41058,0
216.40329,0
216.396,0
216.38871,0
216.38143,0
216.37414,0
216.36685,0
216.35956,0
216.35227,0
216.34498,0
216.33769,0
216.3304,0
216.32312,0
216.31583,0
216.30854,0
216.30125,0
216.29396,0
216.28667,0
216.27938,0
216.27209,0
216.26481,0
216.25752,0
216.25023,0
216.24294,0
216.23565,0
216.22836,0
216.22107,0
216.21378,0
216.2065,0
216.19921,0
216.19192,0
216.18463,0
216.17734,0
216.17005,0
216.16276,0
216.15547,0
216.14819,0
216.1409,0
216.13361,0
216.12632,0
216.11903,0
216.11174,0
216.10445,0
216.09717,0
216.08988,0
216.08259,0
216.0753,0
216.06801,0
216.06072,0
216.05343,0
216.04614,0
216.03886,0
216.03157,0
216.02428,0
216.01699,0
216.0097,0
216.00241,0
215.99512,0
215.98783,0
215.98055,0
215.97326,0
215.96597,0
215.95868,0
215.95139,0
215.9441,0
215.93681,0
215.92952,0
215.92224,0
215.91495,0
215.90766,0
215.90037,0
215.89308,0
215.88579,0
215.8785,0
215.87121,0
215.86393,0
215.85664,0
215.84935,0
215.84206,0
215.83477,0
215.82748,0
215.82019,0
215.8129,0
215.80562,0
215.79833,0
215.79104,0
215.78375,0
215.77646,0
215.76917,0
215.76188,0
215.75459,0
215.74731,0
215.74002,0
215.73273,0
215.72544,0
215.71815,0
215.71086,0
215.70357,0
215.69629,0
215.689,0
215.68171,0
215.67442,0
215.66713,0
215.65984,0
215.65255,0
215.64526,0
215.63798,0
215.63069,0
215.6234,0
215.61611,0
215.60882,0
215.60153,0
215.59424,0
215.58695,0
215.57967,0
215.57238,0
215.56509,0
215.5578,0
215.55051,0
215.54322,0
215.53593,0
215.52864,0
215.52136,0
215.51407,0
215.50678,0
215.49949,0
215.4922,0
215.48491,0
215.47762,0
215.47033,0
215.46305,0
215.45576,0
215.44847,0
215.44118,0
215.43389,0
215.4266,0
215.41931,0
215.41202,0
215.40474,0
215.39745,0
215.39016,0
215.38287,0
215.37558,0
215.36829,0
215.361,0
215.35371,0
215.34643,0
215.33914,0
215.33185,0
215.32456,0
215.31727,0
215.30998,0
215.30269,0
215.29541,0
215.28812,0
215.28083,0
215.27354,0
215.26625,0
215.25896,0
215.25167,0
215.24438,0
215.2371,0
215.22981,0
215.22252,0
215.21523,0
215.20794,0
215.20065,0
215.19336,0
215.18607,0
215.17879,0
215.1715,0
215.16421,0
215.15692,0
215.14963,0
215.14234,0
215.13505,0
215.12776,0
215.12048,0
215.11319,0
215.1059,0
215.09861,0
215.09132,0
215.08403,0
215.07674,0
215.06945,0
215.06217,0
215.05488,0
215.04759,0
215.0403,0
215.03301,0
215.02572,0
215.01843,0
215.01114,0
215.00386,0
214.99657,0
214.98928,0
214.98199,0
214.9747,0
214.96741,0
214.96012,0
214.95284,0
214.94555,0
214.93826,0
214.93097,0
214.92368,0
214.91639,0
214.9091,0
214.90181,0
214.89453,0
214.88724,0
214.87995,0
214.87266,0
214.86537,0
214.85808,0
214.85079,0
214.8435,0
214.83622,0
214.82893,0
214.82164,0
214.81435,0
214.80706,0
214.79977,0
214.79248,0
214.78519,0
214.77791,0
214.77062,0
214.76333,0
214.75604,0
214.74875,0
214.74146,0
214.73417,0
214.72688,0
214.7196,0
214.71231,0
214.70502,0
214.69773,0
214.69044,0
214.68315,0
214.67586,0
214.66857,0
214.66129,0
214.654,0
214.64671,0
214.63942,0
214.63213,0
214.62484,0
214.61755,0
214.61026,0
214.60298,0
214.59569,0
214.5884,0
214.58111,0
214.57382,0
214.56653,0
214.55924,0
214.55196,0
214.54467,0
214.53738,0
214.53009,0
214.5228,0
214.51551,0
214.50822,0
214.50093,0
214.49365,0
214.48636,0
214.47907,0
214.47178,0
214.46449,0
214.4572,0
214.44991,0
214.44262,0
214.43534,0
214.42805,0
214.42076,0
214.41347,0
214.40618,0
214.39889,0
214.3916,0
214.38431,0
214.37703,0
214.36974,0
214.36245,0
214.35516,0
214.34787,0
214.34058,0
214.33329,0
214.326,0
214.31872,0
214.31143,0
214.30414,0
214.29685,0
214.28956,0
214.28227,0
214.27498,0
214.26769,0
214.26041,0
214.25312,0
214.24583,0
214.23854,0
214.23125,0
214.22396,0
214.21667,0
214.20938,0
214.2021,0
214.19481,0
214.18752,0
214.18023,0
214.17294,0
214.16565,0
214.15836,0
214.15108,0
214.14379,0
214.1365,0
214.12921,0
214.12192,0
214.11463,0
214.10734,0
214.10005,0
214.09277,0
214.08548,0
214.07819,0
