shift [ppm],Normalized I & background removal[au] 
16.18427,0.00533195
16.18396,0.005329445
16.18366,0.005314442
16.18335,0.005301782
16.18305,0.005292458
16.18274,0.005285804
16.18244,0.005273489
16.18213,0.005259409
16.18183,0.005251127
16.18152,0.005250363
16.18121,0.005242415
16.18091,0.005226458
16.1806,0.005213153
16.1803,0.00520367
16.17999,0.005191657
16.17969,0.005180869
16.17938,0.005175621
16.17908,0.005168528
16.17877,0.005162846
16.17847,0.005157412
16.17816,0.005146937
16.17785,0.005131035
16.17755,0.005121936
16.17724,0.005114041
16.17694,0.005107167
16.17663,0.005100217
16.17633,0.005089928
16.17602,0.005077587
16.17572,0.005068197
16.17541,0.005063069
16.1751,0.005054489
16.1748,0.00504121
16.17449,0.005027335
16.17419,0.005020617
16.17388,0.005008289
16.17358,0.005001329
16.17327,0.00499195
16.17297,0.004978399
16.17266,0.004971454
16.17236,0.004958795
16.17205,0.004952048
16.17174,0.004952161
16.17144,0.004947516
16.17113,0.004937462
16.17083,0.004930066
16.17052,0.004923203
16.17022,0.004912984
16.16991,0.004896587
16.16961,0.004884778
16.1693,0.004875942
16.169,0.004863967
16.16869,0.00484957
16.16838,0.004841333
16.16808,0.004833903
16.16777,0.004828517
16.16747,0.004817653
16.16716,0.004807059
16.16686,0.004802425
16.16655,0.004792813
16.16625,0.004778909
16.16594,0.004766366
16.16564,0.004763062
16.16533,0.004758044
16.16502,0.004744461
16.16472,0.004733495
16.16441,0.004726063
16.16411,0.004719187
16.1638,0.004712996
16.1635,0.004704042
16.16319,0.00469449
16.16289,0.00468725
16.16258,0.004680079
16.16228,0.00467234
16.16197,0.004659698
16.16166,0.004645818
16.16136,0.004635097
16.16105,0.00463049
16.16075,0.004624867
16.16044,0.004610373
16.16014,0.004598967
16.15983,0.004589948
16.15953,0.00457677
16.15922,0.004564722
16.15892,0.004554075
16.15861,0.00454972
16.1583,0.004543589
16.158,0.004531789
16.15769,0.004522089
16.15739,0.004513473
16.15708,0.004502168
16.15678,0.004488979
16.15647,0.004475286
16.15617,0.004465837
16.15586,0.004458517
16.15556,0.004446891
16.15525,0.004437599
16.15494,0.004431401
16.15464,0.004416169
16.15433,0.004402931
16.15403,0.004393571
16.15372,0.00439015
16.15342,0.004391047
16.15311,0.00438769
16.15281,0.004380747
16.1525,0.004372446
16.1522,0.004361985
16.15189,0.004344425
16.15158,0.004330499
16.15128,0.004323418
16.15097,0.004316238
16.15067,0.004313886
16.15036,0.004303893
16.15006,0.004287735
16.14975,0.004276214
16.14945,0.004267876
16.14914,0.004257162
16.14884,0.004247956
16.14853,0.00424514
16.14822,0.004239489
16.14792,0.004231163
16.14761,0.004219624
16.14731,0.004214006
16.147,0.004205712
16.1467,0.004198552
16.14639,0.004190089
16.14609,0.004178388
16.14578,0.004163657
16.14548,0.004156638
16.14517,0.004151459
16.14486,0.004146413
16.14456,0.004136765
16.14425,0.004124302
16.14395,0.004114385
16.14364,0.004104947
16.14334,0.004098402
16.14303,0.004088852
16.14273,0.004079574
16.14242,0.004071536
16.14212,0.004065303
16.14181,0.004059232
16.1415,0.004049963
16.1412,0.004036948
16.14089,0.004026497
16.14059,0.004015751
16.14028,0.004007167
16.13998,0.003997276
16.13967,0.003985233
16.13937,0.003978131
16.13906,0.003972359
16.13876,0.003963225
16.13845,0.003952125
16.13814,0.003945471
16.13784,0.003939655
16.13753,0.003927278
16.13723,0.00391701
16.13692,0.003909292
16.13662,0.003898758
16.13631,0.00388673
16.13601,0.003876846
16.1357,0.003868012
16.1354,0.003864409
16.13509,0.003855281
16.13478,0.003840554
16.13448,0.003827705
16.13417,0.003823182
16.13387,0.0038227
16.13356,0.003816561
16.13326,0.003808258
16.13295,0.003793811
16.13265,0.003783879
16.13234,0.003780628
16.13204,0.003775758
16.13173,0.00376757
16.13142,0.00375695
16.13112,0.003745144
16.13081,0.003734961
16.13051,0.003733084
16.1302,0.003724806
16.1299,0.003707181
16.12959,0.003699382
16.12929,0.003693506
16.12898,0.003679636
16.12868,0.003667647
16.12837,0.00365833
16.12806,0.003650451
16.12776,0.003642115
16.12745,0.003634551
16.12715,0.003631714
16.12684,0.003624484
16.12654,0.003612021
16.12623,0.003598386
16.12593,0.003592837
16.12562,0.003585925
16.12532,0.003576249
16.12501,0.003568411
16.1247,0.00355832
16.1244,0.003547178
16.12409,0.003535922
16.12379,0.003524288
16.12348,0.003515867
16.12318,0.003508171
16.12287,0.003496666
16.12257,0.003487091
16.12226,0.003479336
16.12196,0.003471898
16.12165,0.003460942
16.12134,0.0034528
16.12104,0.003447376
16.12073,0.00343911
16.12043,0.003429212
16.12012,0.0034213
16.11982,0.003408058
16.11951,0.003397368
16.11921,0.003389764
16.1189,0.003375013
16.1186,0.003366033
16.11829,0.003364927
16.11798,0.003360776
16.11768,0.003349819
16.11737,0.003341263
16.11707,0.003333213
16.11676,0.003319563
16.11646,0.003309678
16.11615,0.003308046
16.11585,0.003299408
16.11554,0.003291144
16.11524,0.003289858
16.11493,0.003285801
16.11462,0.003274478
16.11432,0.003260281
16.11401,0.003246217
16.11371,0.003229819
16.1134,0.003221369
16.1131,0.003215652
16.11279,0.003207344
16.11249,0.00319994
16.11218,0.003192043
16.11188,0.003186084
16.11157,0.003178161
16.11126,0.003165224
16.11096,0.00315804
16.11065,0.003150952
16.11035,0.003139467
16.11004,0.003129839
16.10974,0.00312399
16.10943,0.003119401
16.10913,0.003109322
16.10882,0.003096703
16.10852,0.003084809
16.10821,0.003071682
16.1079,0.003064211
16.1076,0.003069897
16.10729,0.003069648
16.10699,0.003062424
16.10668,0.003053472
16.10638,0.003046393
16.10607,0.003042183
16.10577,0.003038981
16.10546,0.003026665
16.10515,0.003011491
16.10485,0.003000655
16.10454,0.002989838
16.10424,0.002985919
16.10393,0.002980322
16.10363,0.002968573
16.10332,0.002959417
16.10302,0.002950923
16.10271,0.002944665
16.10241,0.002938018
16.1021,0.002929835
16.10179,0.002924831
16.10149,0.002919605
16.10118,0.002910572
16.10088,0.00289851
16.10057,0.002892669
16.10027,0.002891395
16.09996,0.002883901
16.09966,0.002871729
16.09935,0.002855861
16.09905,0.002838259
16.09874,0.002836454
16.09843,0.002837256
16.09813,0.002832133
16.09782,0.002828581
16.09752,0.002822567
16.09721,0.002808267
16.09691,0.002791461
16.0966,0.002780761
16.0963,0.002778754
16.09599,0.002775639
16.09569,0.00277503
16.09538,0.002769729
16.09507,0.00276254
16.09477,0.002755858
16.09446,0.002746148
16.09416,0.002733888
16.09385,0.002721179
16.09355,0.002715389
16.09324,0.002712932
16.09294,0.002704235
16.09263,0.00268886
16.09233,0.002677511
16.09202,0.002677046
16.09171,0.002678185
16.09141,0.00268165
16.0911,0.002675945
16.0908,0.002660809
16.09049,0.002648586
16.09019,0.002643269
16.08988,0.002639087
16.08958,0.002625808
16.08927,0.002616663
16.08897,0.002604823
16.08866,0.002585632
16.08835,0.002579552
16.08805,0.002576356
16.08774,0.002564351
16.08744,0.002557746
16.08713,0.002551114
16.08683,0.002544065
16.08652,0.002535656
16.08622,0.002527565
16.08591,0.002519745
16.08561,0.002508276
16.0853,0.002497808
16.08499,0.002488328
16.08469,0.002482431
16.08438,0.002477338
16.08408,0.00247218
16.08377,0.002461969
16.08347,0.002450726
16.08316,0.002446109
16.08286,0.002448967
16.08255,0.002452298
16.08225,0.00244431
16.08194,0.002433973
16.08163,0.002429855
16.08133,0.002424214
16.08102,0.002407335
16.08072,0.002390703
16.08041,0.002379253
16.08011,0.002364635
16.0798,0.002354842
16.0795,0.002350606
16.07919,0.002349014
16.07889,0.002340751
16.07858,0.002334214
16.07827,0.002330105
16.07797,0.002317171
16.07766,0.002307081
16.07736,0.00230758
16.07705,0.002304686
16.07675,0.002299995
16.07644,0.002297269
16.07614,0.0022968
16.07583,0.002288718
16.07553,0.002278811
16.07522,0.0022685
16.07491,0.002255775
16.07461,0.002245075
16.0743,0.002238555
16.074,0.002227876
16.07369,0.002215742
16.07339,0.002210182
16.07308,0.002212033
16.07278,0.002208992
16.07247,0.002203558
16.07217,0.00219595
16.07186,0.0021823
16.07155,0.002176241
16.07125,0.002172882
16.07094,0.002168442
16.07064,0.002164816
16.07033,0.002159012
16.07003,0.002148994
16.06972,0.002137506
16.06942,0.002130334
16.06911,0.00212413
16.06881,0.002115281
16.0685,0.00211524
16.06819,0.002117985
16.06789,0.002111776
16.06758,0.002103742
16.06728,0.002093738
16.06697,0.002087214
16.06667,0.002083544
16.06636,0.00207892
16.06606,0.002069046
16.06575,0.002044973
16.06545,0.00202561
16.06514,0.002024561
16.06483,0.002027957
16.06453,0.002024762
16.06422,0.002012647
16.06392,0.002005232
16.06361,0.001997932
16.06331,0.001990906
16.063,0.001988233
16.0627,0.001984124
16.06239,0.001976935
16.06209,0.00196507
16.06178,0.001951078
16.06147,0.001945177
16.06117,0.001938876
16.06086,0.001926558
16.06056,0.001920422
16.06025,0.00192022
16.05995,0.001921207
16.05964,0.001920516
16.05934,0.001913665
16.05903,0.001902876
16.05873,0.001893164
16.05842,0.001889661
16.05811,0.001883113
16.05781,0.001874044
16.0575,0.001867195
16.0572,0.001855881
16.05689,0.001844107
16.05659,0.00184144
16.05628,0.001843064
16.05598,0.001839121
16.05567,0.001828448
16.05537,0.001820017
16.05506,0.001812004
16.05475,0.001808162
16.05445,0.001798271
16.05414,0.001789412
16.05384,0.001785395
16.05353,0.001780977
16.05323,0.001776277
16.05292,0
16.05262,0
16.05231,0
16.05201,0
16.0517,0
16.05139,0
16.05109,0
16.05078,0
16.05048,0
16.05017,0
16.04987,0
16.04956,0
16.04926,0
16.04895,0
16.04865,0
16.04834,0
16.04803,0
16.04773,0
16.04742,0
16.04712,0
16.04681,0
16.04651,0
16.0462,0
16.0459,0
16.04559,0
16.04529,0
16.04498,0
16.04467,0
16.04437,0
16.04406,0
16.04376,0
16.04345,0
16.04315,0
16.04284,0
16.04254,0
16.04223,0
16.04193,0
16.04162,0
16.04131,0
16.04101,0
16.0407,0
16.0404,0
16.04009,0
16.03979,0
16.03948,0
16.03918,0
16.03887,0
16.03856,0
16.03826,0
16.03795,0
16.03765,0
16.03734,0
16.03704,0
16.03673,0
16.03643,0
16.03612,0
16.03582,0
16.03551,0
16.0352,0
16.0349,0
16.03459,0
16.03429,0
16.03398,0
16.03368,0
16.03337,0
16.03307,0
16.03276,0
16.03246,0
16.03215,0
16.03184,0
16.03154,0
16.03123,0
16.03093,0
16.03062,0
16.03032,0
16.03001,0
16.02971,0
16.0294,0
16.0291,0
16.02879,0
16.02848,0
16.02818,0
16.02787,0
16.02757,0
16.02726,0
16.02696,0
16.02665,0
16.02635,0
16.02604,0
16.02574,0
16.02543,0
16.02512,0
16.02482,0
16.02451,0
16.02421,0
16.0239,0
16.0236,0
16.02329,0
16.02299,0
16.02268,0
16.02238,0
16.02207,0
16.02176,0
16.02146,0
16.02115,0
16.02085,0
16.02054,0
16.02024,0
16.01993,0
16.01963,0
16.01932,0
16.01902,0
16.01871,0
16.0184,0
16.0181,0
16.01779,0
16.01749,0
16.01718,0
16.01688,0
16.01657,0
16.01627,0
16.01596,0
16.01566,0
16.01535,0
16.01504,0
16.01474,0
16.01443,0
16.01413,0
16.01382,0
16.01352,0
16.01321,0
16.01291,0
16.0126,0
16.0123,0
16.01199,0
16.01168,0
16.01138,0
16.01107,0
16.01077,0
16.01046,0
16.01016,0
16.00985,0
16.00955,0
16.00924,0
16.00894,0
16.00863,0
16.00832,0
16.00802,0
16.00771,0
16.00741,0
16.0071,0
16.0068,0
16.00649,0
16.00619,0
16.00588,0
16.00558,0
16.00527,0
16.00496,0
16.00466,0
16.00435,0
16.00405,0
16.00374,0
16.00344,0
16.00313,0
16.00283,0
16.00252,0
16.00222,0
16.00191,0
16.0016,0
16.0013,0
16.00099,0
16.00069,0
16.00038,0
16.00008,0
15.99977,0
15.99947,0
15.99916,0
15.99886,0
15.99855,0
15.99824,0
15.99794,0
15.99763,0
15.99733,0
15.99702,0
15.99672,0
15.99641,0
15.99611,0
15.9958,0
15.9955,0
15.99519,0
15.99488,0
15.99458,0
15.99427,0
15.99397,0
15.99366,0
15.99336,0
15.99305,0
15.99275,0
15.99244,0
15.99214,0
15.99183,0
15.99152,0
15.99122,0
15.99091,0
15.99061,0
15.9903,0
15.99,0
15.98969,0
15.98939,0
15.98908,0
15.98878,0
15.98847,0
15.98816,0
15.98786,0
15.98755,0
15.98725,0
15.98694,0
15.98664,0
15.98633,0
15.98603,0
15.98572,0
15.98542,0
15.98511,0
15.9848,0
15.9845,0
15.98419,0
15.98389,0
15.98358,0
15.98328,0
15.98297,0
15.98267,0
15.98236,0
15.98206,0
15.98175,0
15.98144,0
15.98114,0
15.98083,0
15.98053,0
15.98022,0
15.97992,0
15.97961,0
15.97931,0
15.979,0
15.9787,0
15.97839,0
15.97808,0
15.97778,0
15.97747,0
15.97717,0
15.97686,0
15.97656,0
15.97625,0
15.97595,0
15.97564,0
15.97534,0
15.97503,0
15.97472,0
15.97442,0
15.97411,0
15.97381,0
15.9735,0
15.9732,0
15.97289,0
15.97259,0
15.97228,0
15.97197,0
15.97167,0
15.97136,0
15.97106,0
15.97075,0
15.97045,0
15.97014,0
15.96984,0
15.96953,0
15.96923,0
15.96892,0
15.96861,0
15.96831,0
15.968,0
15.9677,0
15.96739,0
15.96709,0
15.96678,0
15.96648,0
15.96617,0
15.96587,0
15.96556,0
15.96525,0
