Shifts,Peaks
219.12146,0
219.11418,0
219.10689,0
219.0996,0
219.09231,0.004580292
219.08502,0
219.07773,0
219.07044,0
219.06315,0
219.05587,0
219.04858,0
219.04129,0.004636599
219.034,0
219.02671,0
219.01942,0
219.01213,0
219.00484,0
218.99756,0
218.99027,0
218.98298,0.004343174
218.97569,0
218.9684,0
218.96111,0
218.95382,0
218.94653,0
218.93925,0
218.93196,0
218.92467,0.004833817
218.91738,0
218.91009,0
218.9028,0
218.89551,0
218.88823,0
218.88094,0
218.87365,0
218.86636,0
218.85907,0
218.85178,0
218.84449,0
218.8372,0
218.82992,0
218.82263,0
218.81534,0
218.80805,0
218.80076,0
218.79347,0
218.78618,0
218.77889,0
218.77161,0
218.76432,0
218.75703,0
218.74974,0
218.74245,0
218.73516,0
218.72787,0
218.72058,0
218.7133,0
218.70601,0.005198088
218.69872,0
218.69143,0
218.68414,0
218.67685,0
218.66956,0
218.66227,0
218.65499,0
218.6477,0
218.64041,0
218.63312,0
218.62583,0
218.61854,0
218.61125,0
218.60396,0
218.59668,0
218.58939,0
218.5821,0
218.57481,0
218.56752,0
218.56023,0
218.55294,0
218.54566,0
218.53837,0
218.53108,0
218.52379,0
218.5165,0
218.50921,0
218.50192,0
218.49463,0
218.48735,0
218.48006,0
218.47277,0
218.46548,0
218.45819,0
218.4509,0
218.44361,0
218.43632,0
218.42904,0
218.42175,0
218.41446,0
218.40717,0
218.39988,0
218.39259,0
218.3853,0
218.37801,0
218.37073,0
218.36344,0
218.35615,0
218.34886,0
218.34157,0
218.33428,0
218.32699,0
218.3197,0
218.31242,0
218.30513,0
218.29784,0
218.29055,0
218.28326,0
218.27597,0
218.26868,0
218.26139,0
218.25411,0
218.24682,0
218.23953,0
218.23224,0
218.22495,0
218.21766,0
218.21037,0
218.20308,0
218.1958,0
218.18851,0
218.18122,0
218.17393,0
218.16664,0
218.15935,0
218.15206,0
218.14478,0
218.13749,0
218.1302,0
218.12291,0
218.11562,0
218.10833,0
218.10104,0
218.09375,0
218.08647,0
218.07918,0
218.07189,0
218.0646,0
218.05731,0
218.05002,0
218.04273,0
218.03544,0
218.02816,0
218.02087,0
218.01358,0
218.00629,0
217.999,0
217.99171,0
217.98442,0
217.97713,0
217.96985,0
217.96256,0
217.95527,0
217.94798,0
217.94069,0
217.9334,0
217.92611,0
217.91882,0
217.91154,0
217.90425,0
217.89696,0
217.88967,0
217.88238,0
217.87509,0
217.8678,0
217.86051,0
217.85323,0
217.84594,0
217.83865,0
217.83136,0
217.82407,0
217.81678,0
217.80949,0
217.80221,0
217.79492,0
217.78763,0
217.78034,0
217.77305,0
217.76576,0
217.75847,0
217.75118,0
217.7439,0
217.73661,0
217.72932,0
217.72203,0
217.71474,0
217.70745,0
217.70016,0
217.69287,0
217.68559,0
217.6783,0
217.67101,0
217.66372,0
217.65643,0
217.64914,0
217.64185,0
217.63456,0
217.62728,0
217.61999,0
217.6127,0
217.60541,0
217.59812,0
217.59083,0
217.58354,0
217.57625,0
217.56897,0
217.56168,0
217.55439,0
217.5471,0
217.53981,0
217.53252,0
217.52523,0
217.51794,0
217.51066,0
217.50337,0
217.49608,0
217.48879,0
217.4815,0
217.47421,0
217.46692,0
217.45963,0
217.45235,0
217.44506,0
217.43777,0
217.43048,0
217.42319,0
217.4159,0
217.40861,0
217.40133,0
217.39404,0
217.38675,0
217.37946,0
217.37217,0
217.36488,0
217.35759,0
217.3503,0
217.34302,0
217.33573,0
217.32844,0
217.32115,0
217.31386,0
217.30657,0
217.29928,0
217.29199,0
217.28471,0
217.27742,0
217.27013,0
217.26284,0
217.25555,0
217.24826,0
217.24097,0
217.23368,0
217.2264,0
217.21911,0
217.21182,0
217.20453,0
217.19724,0
217.18995,0.004377837
217.18266,0
217.17537,0
217.16809,0
217.1608,0
217.15351,0
217.14622,0
217.13893,0
217.13164,0
217.12435,0
217.11706,0
217.10978,0
217.10249,0
217.0952,0
217.08791,0
217.08062,0
217.07333,0
217.06604,0
217.05876,0
217.05147,0
217.04418,0
217.03689,0
217.0296,0
217.02231,0
217.01502,0
217.00773,0
217.00045,0
216.99316,0
216.98587,0
216.97858,0
216.97129,0
216.964,0
216.95671,0
216.94942,0
216.94214,0
216.93485,0
216.92756,0
216.92027,0
216.91298,0
216.90569,0
216.8984,0
216.89111,0
216.88383,0
216.87654,0
216.86925,0
216.86196,0
216.85467,0
216.84738,0
216.84009,0
216.8328,0
216.82552,0
216.81823,0
216.81094,0
216.80365,0
216.79636,0
216.78907,0
216.78178,0
216.77449,0
216.76721,0
216.75992,0
216.75263,0
216.74534,0
216.73805,0
216.73076,0
216.72347,0
216.71618,0
216.7089,0
216.70161,0
216.69432,0
216.68703,0
216.67974,0
216.67245,0
216.66516,0
216.65788,0
216.65059,0
216.6433,0
216.63601,0
216.62872,0
216.62143,0
216.61414,0
216.60685,0
216.59957,0
216.59228,0
216.58499,0
216.5777,0
216.57041,0
216.56312,0
216.55583,0
216.54854,0
216.54126,0
216.53397,0
216.52668,0
216.51939,0
216.5121,0
216.50481,0
216.49752,0
216.49023,0
216.48295,0
216.47566,0
216.46837,0
216.46108,0
216.45379,0
216.4465,0
216.43921,0
216.43192,0
216.42464,0
216.41735,0
216.41006,0
216.40277,0
216.39548,0
216.38819,0
216.3809,0
216.37361,0
216.36633,0
216.35904,0
216.35175,0
216.34446,0
216.33717,0
216.32988,0
216.32259,0
216.31531,0
216.30802,0
216.30073,0
216.29344,0
216.28615,0
216.27886,0
216.27157,0
216.26428,0
216.257,0
216.24971,0
216.24242,0
216.23513,0
216.22784,0
216.22055,0
216.21326,0
216.20597,0
216.19869,0
216.1914,0
216.18411,0
216.17682,0
216.16953,0
216.16224,0
216.15495,0
216.14766,0
216.14038,0
216.13309,0
216.1258,0
216.11851,0
216.11122,0
216.10393,0
216.09664,0
216.08935,0
216.08207,0
216.07478,0
216.06749,0
216.0602,0
216.05291,0
216.04562,0
216.03833,0
216.03104,0
216.02376,0
216.01647,0
216.00918,0
216.00189,0
215.9946,0
215.98731,0
215.98002,0
215.97274,0
215.96545,0
215.95816,0
215.95087,0
215.94358,0
215.93629,0
215.929,0
215.92171,0
215.91443,0
215.90714,0
215.89985,0
215.89256,0
215.88527,0
215.87798,0
215.87069,0
215.8634,0
215.85612,0
215.84883,0
215.84154,0
215.83425,0
215.82696,0
