no,compound_name,RON,MON
1,propane,112,97.1
2,n-butane,93.8,89.6
3,n-pentane,61.7,62.6
4,2-methylpentane,73.4,73.5
5,3-methylpentane,74.5,74.3
6,"2,2-dimethylbutane",91.8,93.4
7,"2,3-dimethylbutane",100.3,94.3
8,3-ethylpentane,65,69.3
9,"2,2-dimethylpentane",92.8,95.6
10,"2,3-dimethylpentane",91.1,88.5
11,"2,4-dimethylpentane",83.1,83.8
12,"3,3-dimethylpentane",80.8,86.6
13,"2,2-dimethylhexane",72.5,77.4
14,"2,3-dimethylhexane",73.4,78.9
15,"2,4-dimethylhexane",65.2,69.9
16,"3,3-dimethylhexane",75.5,83.4
17,"3,4-dimethylhexane",76.3,81.7
18,2-methyl-3-ethylpentane,87.3,88.1
19,3-methyl-3-ethylpentane,80.8,88.7
20,"2,2,3-trimethylpentane",101.2,99.9
21,"2,2,4-trimethylpentane",100,100
22,"2,3,3-trimethylpentane",100.6,99.4
23,"2,3,4-trimethylpentane",100.2,95.9
24,"3,3-diethylpentane",84,91.6
25,"2,2-dimethyl-3-ethylpentane",101.8,99.5
26,"2,4-dimethyl-3-ethylpentane",100.5,96.6
27,"2,2,3,3-tetramethylpentane",103.6,95
28,"3,3,5-trimethylheptane",86.4,88.7
29,"2,2,3,3-tetramethylhexane",102,92.4
30,ethylene,100,75.6
31,propylene,100.2,84.9
32,1-butene,97.4,80.8
33,2-butene,100,83.5
34,1-pentene,90.9,77.1
35,2-methyl-1-butene,100.2,81.9
36,2-methyl-2-butene,97.3,84.7
37,1-hexene,76.4,63.4
38,2-methyl-1-pentene,94.2,81.5
39,3-methyl-1-pentene,96,81.2
40,4-methyl-1-pentene,95.7,80.9
41,2-methyl-2-pentene,97.8,83
42,4-methyl-2-pentene,99.7,84.5
43,2-ethyl-1-butene,98.3,79.4
44,"2,3-dimethyl-1-butene",100.1,82.8
45,"3,3-dimethyl-1-butene",101.7,93.3
46,"2,3-dimethyl-2-butene",97.4,80.5
47,1-heptene,54.5,50.7
48,2-methyl-1-hexene,90.7,78.8
49,3-methyl-1-hexene,82.2,71.5
50,4-methyl-1-hexene,86.4,74
51,5-methyl-1-hexene,75.5,64
52,2-methyl-2-hexene,91.6,79.2
53,cis-3-methyl-2-hexene,92.4,80
54,3-ethyl-1-pentene,95.6,81.6
55,3-ethyl-2-pentene,93.7,80.6
56,"2,3-dimethyl-1-pentene",99.3,84.2
57,"2,4-dimethyl-1-pentene",99.2,84.6
58,"3,3-dimethyl-1-pentene",100.3,86.1
59,"3,4-dimethyl-1-pentene",98.9,80.9
60,"4,4-dimethyl-1-pentene",100.4,85.4
61,"2,3-dimethyl-2-pentene",97.5,80
62,"2,4-dimethyl-2-pentene",100,85.3
63,"cis-3,4-dimethyl-2-pentene",96,82.2
64,"cis-4,4-dimethyl-2-pentene",100.5,90.2
65,3-methyl-2-ethyl-1-butene,97,82
66,"2,3,3-trimethyl-1-butene",100.5,90.5
67,2-methyl-1-heptene,70.2,66.3
68,"2,3-dimethyl-1-hexene",96.3,83.6
69,"2,3-dimethyl-2-hexene",93.1,79.3
70,"cis-2,2-dimethyl-3-hexene",100.7,88
71,"2,3,3-trimethyl-1-pentene",100.6,85.7
72,"2,4,4-trimethyl-1-pentene",100.6,86.5
73,"2,4,4-trimethyl-2-pentene",100.3,86.2
74,"2-methyl-1,3-butadiene",99.1,81
75,"1,5-hexadiene",71.1,37.6
76,cyclopentene,93.3,69.7
77,1-methyl-cyclopentene,93.6,72.9
78,1-ethylcyclopentene,90.3,72
79,3-ethylcyclopentene,90.8,71.4
80,cyclohexene,83.9,63
81,1-methylcyclohexene,89.2,72
82,1-ethylcyclohexene,85,70.5
83,cyclopentane,100.1,84.9
84,methylcyclopentane,91.3,80
85,ethylcyclopentane,67.2,61.2
86,"1,1-dimethylcyclopentane",92.3,89.3
87,"1,3-dimethylcyclopentane",79.2,73.1
88,n-propylcyclopentane,31.2,28.1
89,isopropylcyclopentane,81.1,76.2
90,1-methyl-3-ethylcyclopentane,57.6,59.8
91,"1,1,3-trimethylcyclopentane",87.7,83.5
92,cyclohexane,83,77.2
93,methylcyclohexane,74.8,71.1
94,ethylcyclohexane,45.6,40.8
95,"1,1-dimethylcyclohexane",87.3,85.9
96,"1,2-dimethylcyclohexane",80.9,78.6
97,"1,3-dimethylcyclohexane",71.7,71
98,"1,4-dimethylcyclohexane",67.2,68.2
99,isopropylcyclohexane,62.8,61.1
100,benzene,105,102.8
101,toluene,118,100.3
102,ethylbenzene,100.8,97.9
103,o-xylene,105,100
104,m-xylene,104,102.8
105,p-xylene,103.4,101.2
106,n-propylbenzene,101.5,98.7
107,isopropylbenzene,102.1,99.3
108,o-ethyltoluene,100.2,92.1
109,m-ethyltoluene,101.8,100
110,p-ethyltoluene,102,97
111,"1,2,3-trimethylbenzene",100.5,101.1
112,"1,3,5-trimethylbenzene",106,100.6
113,n-butylbenzene,100.4,94.5
114,isobutylbenzene,101.6,98
115,sec-butylbenzene,100.7,95.7
116,tert-butylbenzene,103,100.8
117,1-methyl-2-n-propylbenzene,100.3,92.2
118,1-methyl-3-n-propylbenzene,101.8,100
119,o-cymene,100.6,96
120,p-cymene,101.4,97.7
121,m-diethylbenzene,103,97
122,p-diethylbenzene,100.6,95.2
123,"1,2-dimethyl-3-ethylbenzene",100.4,91.9
124,"1,3-dimethyl-4-ethylbenzene",100.6,95.9
125,"1,3-dimethyl-5-ethylbenzene",102.7,100.2
126,"1,4-dimethyl-2-ethylbenzene",100.6,96
127,"1,2,3,4-tetramethylbenzene",100.5,100
128,ethanol,108,90
