Class,Component,MW,# C,# H,H:C,pCH3,pCH2,pCH,pC,cyCH2,cyCH,alCH3,alCH2,alCH,ArCH,ArC,rjC
n-paraffin,n-pentane,72.14908,5,12,2.4,2,3,0,0,0,0,0,0,0,0,0,0
n-paraffin,n-hexane,86.17576,6,14,2.3333333333333335,2,4,0,0,0,0,0,0,0,0,0,0
n-paraffin,n-heptane,100.20244,7,16,2.2857142857142856,2,5,0,0,0,0,0,0,0,0,0,0
n-paraffin,n-octane,114.22912,8,18,2.25,2,6,0,0,0,0,0,0,0,0,0,0
n-paraffin,n-nonane,128.2558,9,20,2.2222222222222223,2,7,0,0,0,0,0,0,0,0,0,0
n-paraffin,n-decane,142.28248,10,22,2.2,2,8,0,0,0,0,0,0,0,0,0,0
n-paraffin,n-undecane,156.30916,11,24,2.1818181818181817,2,9,0,0,0,0,0,0,0,0,0,0
n-paraffin,n-dodecane,170.33584000000002,12,26,2.1666666666666665,2,10,0,0,0,0,0,0,0,0,0,0
n-paraffin,n-tridecane,184.36252000000002,13,28,2.1538461538461537,2,11,0,0,0,0,0,0,0,0,0,0
n-paraffin,n-tetradecane,198.3892,14,30,2.142857142857143,2,12,0,0,0,0,0,0,0,0,0,0
n-paraffin,n-pentadecane,212.41588,15,32,2.1333333333333333,2,13,0,0,0,0,0,0,0,0,0,0
n-paraffin,n-hexadecane,226.44,16,34,2.13,2,14,0,0,0,0,0,0,0,0,0,0
i-paraffin,2-methylpropane,58.1224,4,10,2.5,3,0,1,0,0,0,0,0,0,0,0,0
i-paraffin,2-methylbutane,72.14908,5,12,2.4,3,1,1,0,0,0,0,0,0,0,0,0
i-paraffin,iso-octane,114.22912,8,18,2.25,5,1,1,1,0,0,0,0,0,0,0,0
i-paraffin,"2,2-dimethylbutane",86.17576,6,14,2.3333333333333335,4,1,0,1,0,0,0,0,0,0,0,0
i-paraffin,"2,3-dimethylbutane",86.17576,6,14,2.3333333333333335,4,0,2,0,0,0,0,0,0,0,0,0
i-paraffin,"2,2,3-trimethylbutane",100.20244,7,16,2.2857142857142856,5,0,1,1,0,0,0,0,0,0,0,0
i-paraffin,2-methylpentane,86.17576,6,14,2.3333333333333335,3,2,1,0,0,0,0,0,0,0,0,0
i-paraffin,3-methylpentane,86.17576,6,14,2.3333333333333335,3,2,1,0,0,0,0,0,0,0,0,0
i-paraffin,"2,2-dimethylpentane",100.20244,7,16,2.2857142857142856,4,2,0,1,0,0,0,0,0,0,0,0
i-paraffin,"2,3-dimethylpentane",100.20244,7,16,2.2857142857142856,4,1,2,0,0,0,0,0,0,0,0,0
i-paraffin,"2,3,4-trimethylpentane",114.22912,8,18,2.25,5,0,3,0,0,0,0,0,0,0,0,0
i-paraffin,"2,3,3-trimethylpentane",114.22912,8,18,2.25,5,1,1,1,0,0,0,0,0,0,0,0
i-paraffin,iso-cetane,226.44256,16,34,2.125,9,3,1,3,0,0,0,0,0,0,0,0
i-paraffin,"2,3-dimethyl-hexane",114.22912,8,18,2.25,4,2,2,0,0,0,0,0,0,0,0,0
i-paraffin,"2,4-dimethyl-hexane",114.22912,8,18,2.25,4,2,2,0,0,0,0,0,0,0,0,0
i-paraffin,"3,3-dimethyl-hexane",114.22912,8,18,2.25,4,3,0,1,0,0,0,0,0,0,0,0
i-paraffin,"3,4-dimethyl-hexane",114.22912,8,18,2.25,4,2,2,0,0,0,0,0,0,0,0,0
i-paraffin,3-ethyl-hexane,114.22912,8,18,2.25,3,4,1,0,0,0,0,0,0,0,0,0
i-paraffin,3-ethyl-2-methyl-pentane,114.22912,8,18,2.25,4,2,2,0,0,0,0,0,0,0,0,0
i-paraffin,3-ethyl-3-methyl-pentane,114.22912,8,18,2.25,4,3,0,1,0,0,0,0,0,0,0,0
i-paraffin,2-methyl-heptane,114.22912,8,18,2.25,3,4,1,0,0,0,0,0,0,0,0,0
aromatic,benzene,78.11304,6,6,1,0,0,0,0,0,0,0,0,0,6,0,0
aromatic,toluene,92.13972,7,8,1.1428571428571428,0,0,0,0,0,0,1,0,0,5,1,0
aromatic,o-Xylene,106.1664,8,10,1.25,0,0,0,0,0,0,2,0,0,4,2,0
aromatic,m-Xylene,106.1664,8,10,1.25,0,0,0,0,0,0,2,0,0,4,2,0
aromatic,p-Xylene,106.1664,8,10,1.25,0,0,0,0,0,0,2,0,0,4,2,0
aromatic,ethylbenzene,106.1664,8,10,1.25,1,0,0,0,0,0,0,1,0,5,1,0
aromatic,butylbenzene,134.21975999999998,10,14,1.4,1,2,0,0,0,0,0,1,0,5,1,0
aromatic,(1-methylethyl)-benzene,120.19308,9,12,1.3333333333333333,2,0,0,0,0,0,0,0,1,5,1,0
aromatic,propylbenzene,120.19308,9,12,1.3333333333333333,1,1,0,0,0,0,0,1,0,5,1,0
aromatic,"1,2,3-trimethyl-benzene",120.19308,9,12,1.3333333333333333,0,0,0,0,0,0,3,0,0,3,3,0
aromatic,"1,2,4-trimethyl-benzene",120.19308,9,12,1.3333333333333333,0,0,0,0,0,0,3,0,0,3,3,0
aromatic,"1,3,5-trimethyl-benzene",120.19308,9,12,1.3333333333333333,0,0,0,0,0,0,3,0,0,3,3,0
aromatic,naphthalene,128.17272,10,8,0.8,0,0,0,0,0,0,0,0,0,8,0,2
aromatic,1-methyl-naphthalene,142.19939999999997,11,10,0.9090909090909091,0,0,0,0,0,0,1,0,0,7,1,2
cycloparaffin,cyclohexane,84.16008000000001,6,12,2,0,0,0,0,6,0,0,0,0,0,0,0
cycloparaffin,methylcyclopentane,84.16008000000001,6,12,2,1,0,0,0,4,1,0,0,0,0,0,0
cycloparaffin,methylcyclohexane,98.18675999999999,7,14,2,1,0,0,0,5,1,0,0,0,0,0,0
cycloparaffin,ethyl-cyclopentane,98.18675999999999,7,14,2,1,1,0,0,4,1,0,0,0,0,0,0
cycloparaffin,ethyl-cyclohexane,112.21343999999999,8,16,2,1,1,0,0,5,1,0,0,0,0,0,0
cycloparaffin,butyl-cyclopentane,126.24011999999999,9,18,2,1,3,0,0,4,1,0,0,0,0,0,0
cycloparaffin,propyl-cyclohexane,126.24011999999999,9,18,2,1,2,0,0,5,1,0,0,0,0,0,0
cycloparaffin,butyl-cyclohexane,140.2668,10,20,2,1,3,0,0,5,1,0,0,0,0,0,0
cycloparaffin,cyclopentane,70.1334,5,10,2,0,0,0,0,5,0,0,0,0,0,0,0
i-paraffin,"2,5-dimethylhexane",114.22912,8,18,2.25,4,2,2,0,0,0,0,0,0,0,0,0
