model,descriptor,minimum,mean,maximum,std_dev
surface_tension,Temperature,263.15,311.360657178294,363.15,21.3478041491344
density,Temperature,263.55,310.36743336781,363.15,20.5329038545067
surface_tension,pCH3,0,0.207535397504948,0.714285714285714,0.204148353742566
density,pCH3,0,0.218491806785325,0.75,0.1932522054253
surface_tension,pCH2,0,0.222919450330632,0.833333333333333,0.282963229701558
density,pCH2,0,0.334913973156052,0.875,0.318213602379942
surface_tension,pCH,0,0.0315857974501717,0.375,0.0688952826855998
density,pCH,0,0.0334998655410002,0.25,0.0588215768210128
surface_tension,pC,0,0.0153907070108953,0.142857142857142,0.0357426710574773
density,pC,0,0.0153549119620843,0.125,0.0331299933934742
surface_tension,cyCH2,0,0.166378119475078,1,0.314934333568764
density,cyCH2,0,0.21264885034682,1,0.341931730618192
surface_tension,cyCH,0,0.00771010212870677,0.166666666666666,0.0318604019045269
density,cyCH,0,0.00768793051811919,0.142857142857142,0.029738777750639
surface_tension,alCH3,0,0.0371941863307802,0.333333333333333,0.0865261327981067
density,alCH3,0,0.0134388377598603,0.25,0.0473316904965896
surface_tension,alCH2,0,0.00579242032730404,0.125,0.0258281203065581
density,alCH2,0,0.00189727463312368,0.125,0.0146260539576977
surface_tension,alCH,0,0.00249784668389319,0.111111111111111,0.016477553066359
density,alCH,0,0.000419287211740041,0.111111111111111,0.00681518307411773
surface_tension,ArCH,0,0.254537594116104,1,0.34005401708993
density,ArCH,0,0.145192034007736,1,0.298383958298111
surface_tension,ArC,0,0.0454844533419775,0.333333333333333,0.0881999756299551
density,ArC,0,0.015755399604724,0.25,0.0493634892172272
surface_tension,rjC,0,0.00297392529950669,0.2,0.0231322967800201
density,rjC,0,0.000699828473413379,0.2,0.0113839366177324
surface_tension,Surface Tension,8.08472,21.9800689379844,40.78,4.67289550301563
density,Density,527.258,735.502312683243,993.41,66.8337647906147
