name,CAS,formula,Tc_K,Pc_Pa,rhoc_kgm3,Tmin_K,Tmax_K,MW_gmol,acentric
D4,556-67-2,C_{8}H_{24}O_{4}Si_{4},586.5000035318247,1347215.4316793245,309.54719433835265,290.25,1200.0,0.29661576,0.5981248267987835
HydrogenSulfide,7783-06-4,H_{2}S_{1},373.1008747131923,8998871.587082043,347.2189508281345,187.7,760.0,0.03408088,0.1005
o-Xylene,95-47-6,C_{8}H_{10},630.259003064399,3737459.756642433,284.9998557062452,247.985,700.0,0.106165,0.312
R125,354-33-6,C_{2}F_{5}H_{1},339.1772824561048,3618276.0556197306,573.3948598942909,172.52,500.0,0.1200214,0.3052
IsoButane,75-28-5,C_{4}H_{10},407.8100000000046,3629000.0166496336,225.49999999986377,113.73,575.0,0.0581222,0.183531783208
MDM,107-51-7,C_{8}H_{24}O_{2}Si_{3},565.3609009312738,1437537.7755043951,268.22371054291375,187.2,575.0,0.23653146,0.5280658490542447
R245ca,679-86-7,C_{3}F_{5}H_{3},447.5699955219675,3940740.1841818676,525.467927883906,196.0,450.0,0.13404794,0.35456541912358985
Cyclopentane,287-92-3,C_{5}H_{10},511.7200672568634,4582765.586028514,274.92232330782656,179.70000000000002,550.0,0.07013290000000001,0.2019290457515728
p-Xylene,106-42-3,C_{8}H_{10},616.1680019419451,3531521.052252691,285.99963463126926,286.40000000000003,700.0,0.106165,0.324
ParaHydrogen,1333-74-0p,N/A,32.93785506891549,1285776.1785274085,31.315436013623735,13.8033,1000.0,0.00201588,-0.219
MethylPalmitate,112-39-0,C_{17}H_{34}O_{2},755.0001061380809,1349957.890312988,242.59424315531018,302.71,1000.0,0.27045066,0.910316178
R41,593-53-3,C_{1}F_{1}H_{3},317.2790638551427,5906114.695403155,316.48206207638776,129.82,425.0,0.03403291999999999,0.2004
SulfurDioxide,7446-09-5,O_{2}S_{1},430.6400006320635,7886578.976938645,517.5251625121957,197.7,525.0,0.0640638,0.2561299361987246
R236EA,431-63-0,C_{3}F_{6}H_{2},412.4089900338652,3413692.778348532,569.8129886285788,243.0,412.0,0.1520384,0.3682166321629954
R113,76-13-1,C_{2}Cl_{3}F_{3},487.2100000166609,3392266.3311416013,559.9999991010213,236.93,525.0,0.187375,0.252535
NitrousOxide,10024-97-2,N_{2}O_{1},309.52067823146285,7244816.70160716,452.9314776187847,182.33,525.0,0.0440128,0.1613
n-Propane,74-98-6,C_{3}H_{8},369.8900089509634,4251165.328013042,220.47812749206838,85.525,650.0,0.04409562,0.1521
HeavyWater,7789-20-0,D_{2}O_{1},643.8469999831403,21661830.99818297,355.99964379748695,276.969,825.0,0.020027508,0.3642190223170594
Propylene,115-07-1,C_{3}H_{6},364.2110025913478,4554993.018414999,229.62840107079316,87.953,575.0,0.04207974,0.146
R143a,420-46-2,C_{2}F_{3}H_{3},345.85700086786187,3761818.2713949797,431.00042649640835,161.34,650.0,0.08404099999999999,0.261489646224
Xenon,7440-63-3,Xe_{1},289.7325683307143,5841913.640364157,1102.8855004653103,161.4,750.0,0.131293,0.00363
R40,74-87-3,C_{1}Cl_{1}H_{3},418.6256521058676,6929002.57539874,341.68088456947163,230.0,730.0,0.05048752,0.15006849639620867
R1243zf,677-21-4,C_{3}F_{3}H_{3},376.9300098386083,3517867.805581622,413.0530193212588,220.0,410.0,0.09605113,0.2603679382574058
CycloHexane,110-82-7,C_{6}H_{12},553.6000188557726,4080525.8791621355,271.329990899617,279.47,700.0,0.08415948000000001,0.20926
R21,75-43-4,C_{1}Cl_{2}F_{1}H_{1},452.7201623436206,5288505.217724642,522.8019545301413,200.0,473.0,0.1029227,0.2061
CarbonMonoxide,630-08-0,C_{1}O_{1},132.85989463386605,3498194.6661988837,303.9141613323336,68.16,500.0,0.0280101,0.0497
Oxygen,7782-44-7,O_{2},154.59938983528554,5046410.521187217,426.93404874789627,54.361,2000.0,0.0319988,0.0222
DiethylEther,60-29-7,C_{4}H_{10}O_{1},467.8996408899039,3717320.6335552162,256.1940153877707,270.0,548.0,0.0741216,0.2816438177747067
R1234yf,754-12-1,C_{3}F_{4}H_{2},367.84998882341455,3382244.9422254316,475.55201170278536,220.0,410.0,0.1140415928,0.276
R124,2837-89-0,C_{2}Cl_{1}F_{4}H_{1},395.4279607732047,3624482.510943811,559.293168797007,120.0,470.0,0.1364762,0.2880950842214292
MD3M,141-63-9,C_{12}H_{36}O_{4}Si_{5},628.0000256535702,953950.6812241019,269.38360519706987,192.0,673.0,0.384839,0.7296270902014383
D5,541-02-6,C_{10}H_{30}O_{5}Si_{5},618.2999915047726,1077687.6442667432,300.34548427127584,226.0,630.0,0.3707697,0.6309446376541072
CarbonylSulfide,463-58-1,C_{1}O_{1}S_{1},378.7702697057428,6368799.940027499,445.14740521526255,134.3,650.0,0.0600751,0.0978
Ammonia,7664-41-7,H_{3}N_{1},405.55999997326353,11363391.157414671,233.2499959984393,195.495,725.0,0.01703052,0.2556905229865023
Fluorine,7782-41-4,F_{2},144.41442754857172,5239516.518784382,592.8639058237435,53.48110000000001,300.0,0.03799681000000001,0.0449
CycloPropane,75-19-4,C_{3}H_{6},398.69205265912154,5605282.60479084,257.37489506258703,273.0,473.0,0.042081,0.1305495663687517
R407C,R407C.PPF,N/A,359.345,4631700.0,453.43094,200.0,500.0,0.08620359999999999,0.363
CarbonDioxide,124-38-9,C_{1}O_{2},304.1282000029807,7377298.373446752,467.59996991048007,216.592,2000.0,0.0440098,0.22394
