fluid,T_K,rho_liquid_kgm3,Pvap_Pa,viscosity_liquid_Pas,surface_tension_Nm,k_liquid_WmK,Cp_liquid_JkgK,Hvap_Jkg
D4,291.25,958.5848882157808,79.11155358625265,,0.01854384168252441,,1660.7292097342504,188131.65302987676
D4,305.2461,942.61128649248,224.38894677754604,,0.01748809628610085,,1682.6387150007492,182891.85675288644
D4,319.2421,926.5489999863282,565.9089716267129,,0.016443174236279726,,1706.808445420948,177763.73590016234
D4,333.2382,910.3601713437744,1290.4896421983115,,0.015409522982064492,,1732.9434423159287,172727.32933984537
D4,347.2342,894.0054561218157,2698.342216124848,,0.014387634122062886,,1760.7647778434894,167759.63503393237
D4,361.2303,877.4426944433656,5234.57320550947,,0.013378050589935391,,1790.0186829403156,162834.4322618412
D4,375.2263,860.6254180744897,9515.525119871665,,0.012381375527456443,,1820.4853039161076,157922.42932101717
D4,389.2224,843.5010801222597,16346.879552032213,,0.011398283379536345,,1851.9872718645877,152991.51556495344
D4,403.2184,826.0088429582601,26732.379419377263,,0.010429533964706765,,1884.3987548836126,148006.8802435381
D4,417.2145,808.0766849357768,41873.99878079633,,0.009475990607277822,,1917.6562848190943,142930.78768014346
D4,431.2105,789.6174649175528,63165.93917484281,,0.008538643936787845,,1951.773548937874,137721.82957994702
D4,445.2066,770.5233746548246,92185.81648014266,,0.007618643797708379,,1986.863876386228,132333.47084136165
D4,459.2026,750.6578334817776,130686.94745037277,,0.006717343113429897,,2023.1771199662837,126711.62858450315
D4,473.1987,729.8431723126394,180596.0487942184,,0.005836359997677616,,2061.163856222768,120790.82616425346
D4,487.1947,707.8410426257723,244021.34360676567,,0.0049776689172104085,,2101.5938903944407,114488.0420003004
D4,501.1908,684.3194604741768,323277.6345980249,,0.004143740562564731,,2145.790768683239,107692.47110666744
D4,515.1868,658.7932849836753,420938.4278850318,,0.003337768893270425,,2196.1397807716976,100247.33750721713
D4,529.1829,630.5060869708831,539933.091550872,,0.002564068094911479,,2257.332893917498,91914.50126516033
D4,543.179,598.1624982500003,683725.9589392265,,0.0018288418421161053,,2340.0120159383896,82296.11425032368
D4,557.175,559.185575840784,856667.5040482695,,0.0011419227494673004,,2474.863479383242,70623.23657018878
HydrogenSulfide,188.7,990.6300740353398,24872.248641586586,0.0005245733244475137,0.0335461600783671,,2018.0862058091388,573884.1213524458
HydrogenSulfide,197.4235,975.8690501914969,43211.812469150056,0.0004029978394056216,0.031639562890413885,,2005.9962133550928,564130.438751347
HydrogenSulfide,206.1469,960.888582529081,71209.71500008833,0.0003314989411752326,0.029752507647708613,,1998.2022826879418,554205.904945302
HydrogenSulfide,214.8704,945.6453500426084,112108.09076918292,0.0002854684022204527,0.027885800005562685,,1994.6361409441406,544026.2104925689
HydrogenSulfide,223.5939,930.093253969836,169628.7415199559,0.0002531427172921488,0.02604032490578832,,1995.3314857417004,533506.659380377
HydrogenSulfide,232.3173,914.1823236520621,247924.07347026057,0.00022862189562959962,0.024217059446330427,,2000.4305439395505,522561.3134302792
HydrogenSulfide,241.0408,897.857391432803,351520.1919355143,0.00020881233142406463,0.022417088765096693,,2010.1992558645416,511101.64629767014
HydrogenSulfide,249.7643,881.0564323836091,485258.48862783174,0.00019202078743329806,0.020641625889555683,,2025.0536006462894,499034.65088774293
HydrogenSulfide,258.4877,863.7084211729951,654240.9446265731,0.00017727943318994455,0.018892036892719042,,2045.6015602837122,486260.29635499645
HydrogenSulfide,267.2112,845.7304873337382,863783.2291957767,0.0001640092919357822,0.01716987328606518,,2072.7085214710587,472668.14743258024
HydrogenSulfide,275.9346,827.024032196929,1119378.7697336096,0.00015184656932449366,0.015476914499760993,,2107.599767017343,458132.8223835534
HydrogenSulfide,284.6581,807.4692687248589,1426676.4872785516,0.00014055010103594431,0.013815224781097707,,2152.0246758929316,442507.7379729877
HydrogenSulfide,293.3816,786.9172847685329,1791475.0091311312,0.00012995038842769207,0.012187231315014235,,2208.529002932433,425616.1915045575
HydrogenSulfide,302.105,765.1780522081226,2219737.1481548315,0.00011992041237449357,0.010595834684444153,,2280.9275731466987,407238.0934798961
HydrogenSulfide,310.8285,742.0014480479268,2717630.8014825773,0.00011035787330547435,0.009044570713489335,,2375.1743223965304,387089.2115611401
HydrogenSulfide,319.552,717.0454287846727,3291607.3225593497,0.0001011730300005243,0.007537858243212744,,2501.0869690813747,364786.6939790839
HydrogenSulfide,328.2754,689.8185826862751,3948538.5634473967,9.22781570239535e-05,0.0060814002093634535,,2676.1086066972944,339787.4208073983
HydrogenSulfide,336.9989,659.5658846644358,4695956.081421089,8.357430515960269e-05,0.004682882244136096,,2934.625730845451,311266.77260837203
HydrogenSulfide,345.7224,625.0091202521776,5542490.521062821,7.49265867544689e-05,0.003353319282801638,,3355.586920530009,277847.04753605206
HydrogenSulfide,354.4458,583.6278004911345,6498766.311677803,6.609883331299074e-05,0.002110075111318113,,4170.632947252086,236857.94125432527
o-Xylene,248.985,917.1916283551521,24.959594354547736,0.0017755386225560828,0.03495763538323717,0.1417167402814922,1635.4049157508803,436066.8873929774
o-Xylene,267.3935,901.7587994600277,114.33422384653643,0.001226558603199438,0.03289818950023092,0.13785664740810577,1679.3082855342036,425716.4982596121
o-Xylene,285.802,886.336796762604,417.3795375483646,0.0009028328440360274,0.030862332884291178,0.13363938085606766,1728.9329263896448,415652.1163779455
o-Xylene,304.2104,870.8402761698835,1269.193358501365,0.000697981362540101,0.028851035031889627,0.12916692228223406,1783.0927228138573,405785.3134443279
