name,CAS,ΔvapS (J/mol*K),Temperature (K),Reference,Comment,ΔfusS (J/mol*K),"Cp,gas(J/mol*K)",ΔStrs(J/mol*K),Initial Phase,Final Phase,ΔsubS (J/mol*K)
n-Pentane,109-66-0,87.88,298.15,"Messerly and Kennedy, 1940",P;DH,,,,,,
n-Pentane,109-66-0,,143.47,"Messerly, Guthrie, et al., 1967",DH,58.56,,,,,
n-Pentane,109-66-0,,143.46,"Messerly and Kennedy, 1940",DH,58.66,,,,,
n-Pentane,109-66-0,,143.4,"Parks and Huffman, 1930",DH,58.41,,,,,
n-Pentane,109-66-0,,298.15,"Kharin V.E., 1985","Experimental data [Sage B.H., 1937] are less accurate than selected ones. Please also seeHossenlopp I.A., 1981.;GT",,120.07 ± 0.24,,,,
n-Pentane,109-66-0,,323.15,,,,127.84 ± 0.26,,,,
n-Pentane,109-66-0,,348.15,,,,135.90 ± 0.27,,,,
n-Pentane,109-66-0,,373.15,,,,143.95 ± 0.29,,,,
n-Pentane,109-66-0,,398.15,,,,151.92 ± 0.30,,,,
n-Pentane,109-66-0,,423.15,,,,159.67 ± 0.32,,,,
n-Pentane,109-66-0,,448.15,,,,167.37 ± 0.33,,,,
n-Pentane,109-66-0,,450.,,,,168.11,,,,
n-Pentane,109-66-0,,473.15,,,,174.75 ± 0.35,,,,
n-Pentane,109-66-0,,498.15,,,,181.98 ± 0.36,,,,
n-Pentane,109-66-0,,500.,,,,182.39,,,,
n-Pentane,109-66-0,,523.15,,,,189.08 ± 0.38,,,,
n-Pentane,109-66-0,,550.,,,,195.96,,,,
n-Pentane,109-66-0,,600.,,,,209.23,,,,
n-Pentane,109-66-0,,650.,,,,221.93,,,,
n-Pentane,109-66-0,,700.,,,,232.90,,,,
n-Pentane,109-66-0,,200.,"Scott D.W., 1974, 2","Recommended values were obtained from the consistent correlation scheme for alkanes [Scott D.W., 1974,Scott D.W., 1974, 2]. This approach gives a better agreement with experimental data than the statistical thermodynamics calculation [Pitzer K.S., 1944,Pitzer K.S., 1946].;GT",,93.55,,,,
n-Pentane,109-66-0,,273.15,,,,112.55,,,,
n-Pentane,109-66-0,,298.15,,,,120.0 ± 0.1,,,,
n-Pentane,109-66-0,,300.,,,,120.62,,,,
n-Pentane,109-66-0,,400.,,,,152.55,,,,
n-Pentane,109-66-0,,500.,,,,182.59,,,,
n-Pentane,109-66-0,,600.,,,,208.78,,,,
n-Pentane,109-66-0,,700.,,,,231.38,,,,
n-Pentane,109-66-0,,800.,,,,250.62,,,,
n-Pentane,109-66-0,,900.,,,,266.94,,,,
n-Pentane,109-66-0,,1000.,,,,281.58,,,,
n-Pentane,109-66-0,,1100.,,,,293.72,,,,
