name,CAS,Quantity,Value,Units,Method,Reference,Comment
n-Pentane,109-66-0,ΔfH°gas,-146.8 ± 0.59,kJ/mol,Ccb,"Good, 1970",ALS
n-Pentane,109-66-0,ΔfH°gas,-147.1 ± 1.0,kJ/mol,Cm,"Pilcher and Chadwick, 1967",ALS
n-Pentane,109-66-0,ΔfH°gas,-146.4 ± 0.67,kJ/mol,Ccb,"Prosen and Rossini, 1945",ALS
n-Pentane,109-66-0,Quantity,Value,Units,Method,Reference,Comment
n-Pentane,109-66-0,ΔcH°gas,-3535.4 ± 0.96,kJ/mol,Cm,"Pilcher and Chadwick, 1967",Corresponding ΔfHºgas= -147.1 kJ/mol (simple calculation by NIST; no Washburn corrections);ALS
n-Pentane,109-66-0,ΔcH°gas,-3536.6 ± 0.88,kJ/mol,Ccb,"Rossini, 1934",Corresponding ΔfHºgas= -145.9 kJ/mol (simple calculation by NIST; no Washburn corrections);ALS
n-Pentane,109-66-0,Quantity,Value,Units,Method,Reference,Comment
n-Pentane,109-66-0,S°gas,347.82 ± 0.84,J/mol*K,N/A,"Messerly G.H., 1940","Scott [Scott D.W., 1974] has calculated the value of S(298.15 K)=349.49(0.71) J/mol*K on the basis of data [Messerly G.H., 1940].;GT"
n-Hexane,110-54-3,ΔfH°gas,-167.1,kJ/mol,N/A,"Good and Smith, 1969","Value computed using ΔfHliquid° value of -198.7±0.7 kj/mol fromGood and Smith, 1969and ΔvapH° value of 31.6 kj/mol fromProsen and Rossini, 1945.;DRB"
n-Hexane,110-54-3,ΔfH°gas,-167.2 ± 0.79,kJ/mol,Ccb,"Prosen and Rossini, 1945",ALS
n-Hexane,110-54-3,Quantity,Value,Units,Method,Reference,Comment
n-Hexane,110-54-3,S°gas,388.82 ± 0.84,J/mol*K,N/A,"Scott D.W., 1974","This reference does not contain the original experimental data. Experimental entropy value is based on the results [Messerly J.F., 1967] for S(liquid).;GT"
n-Heptane,142-82-5,ΔfH°gas,-187.8 ± 0.79,kJ/mol,Ccb,"Prosen and Rossini, 1945",ALS
n-Heptane,142-82-5,ΔfH°gas,-189.3,kJ/mol,N/A,"Davies and Gilbert, 1941","Value computed using ΔfHliquid° value of -225.9±1.3 kj/mol fromDavies and Gilbert, 1941and ΔvapH° value of 36.6 kj/mol fromProsen and Rossini, 1945.;DRB"
n-Octane,111-65-9,ΔfH°gas,-208.7,kJ/mol,N/A,"Good, 1972","Value computed using ΔfHliquid° value of -250.3±1.8 kj/mol fromGood, 1972and ΔvapH° value of 41.6 kj/mol fromProsen and Rossini, 1945.;DRB"
n-Octane,111-65-9,ΔfH°gas,-208.4 ± 0.67,kJ/mol,Ccb,"Prosen and Rossini, 1945","seeProsen and Rossini, 1944;ALS"
n-Octane,111-65-9,Quantity,Value,Units,Method,Reference,Comment
n-Octane,111-65-9,S°gas,467.06 ± 0.92,J/mol*K,N/A,"Scott D.W., 1974","This reference does not contain the original experimental data. Experimental entropy value is based on the results [Messerly J.F., 1967] for S(liquid).;GT"
n-Nonane,111-84-2,ΔfH°gas,-228.3,kJ/mol,N/A,"Good, 1969","Value computed using ΔfHliquid° value of -274.7±1 kj/mol fromGood, 1969and ΔvapH° value of 46.43 kj/mol frommissing citation.;DRB"
n-Nonane,111-84-2,Quantity,Value,Units,Method,Reference,Comment
n-Nonane,111-84-2,S°gas,506.5 ± 1.0,J/mol*K,N/A,"Scott D.W., 1974","This reference does not contain the original experimental data. Experimental entropy value is based on the results [Messerly J.F., 1967] for S(liquid).;GT"
n-Decane,124-18-5,ΔfH°gas,-249.7 ± 1.1,kJ/mol,Ccb,"Prosen and Rossini, 1945",ALS
n-Decane,124-18-5,Quantity,Value,Units,Method,Reference,Comment
n-Decane,124-18-5,S°gas,545.8 ± 1.1,J/mol*K,N/A,"Scott D.W., 1974","This reference does not contain the original experimental data. Experimental entropy value is based on the results [Messerly J.F., 1967] for S(liquid).;GT"
n-Undecane,1120-21-4,ΔfH°gas,-270.3 ± 1.3,kJ/mol,Ccb,"Prosen and Rossini, 1945",ALS
n-Undecane,1120-21-4,Quantity,Value,Units,Method,Reference,Comment
n-Undecane,1120-21-4,S°gas,583.58,J/mol*K,N/A,"Stull D.R., 1969","This value is based on the low-temperature results [Finke H.L., 1954] for S(liquid).;GT"
n-Dodecane,112-40-3,ΔfH°gas,-290.9 ± 1.4,kJ/mol,Ccb,"Prosen and Rossini, 1945",ALS
n-Dodecane,112-40-3,ΔfH°gas,-288.1 ± 3.3,kJ/mol,Ccb,"Prosen and Rossini, 1945, 2","Heat of formation derived byCox and Pilcher, 1970;ALS"
n-Dodecane,112-40-3,Quantity,Value,Units,Method,Reference,Comment
n-Dodecane,112-40-3,S°gas,622.50,J/mol*K,N/A,"Stull D.R., 1969","This value is based on the low-temperature results [Finke H.L., 1954] for S(liquid).;GT"
n-Tridecane,629-50-5,ΔfH°gas,-311.5 ± 1.6,kJ/mol,Ccb,"Prosen and Rossini, 1945",ALS
n-Tridecane,629-50-5,Quantity,Value,Units,Method,Reference,Comment
n-Tridecane,629-50-5,S°gas,661.45,J/mol*K,N/A,"Stull D.R., 1969","This value is based on the low-temperature results [Finke H.L., 1954] for S(liquid).;GT"
n-Tetradecane,629-59-4,ΔfH°gas,-332.1 ± 1.8,kJ/mol,Ccb,"Prosen and Rossini, 1945",ALS
n-Tetradecane,629-59-4,Quantity,Value,Units,Method,Reference,Comment
n-Tetradecane,629-59-4,ΔcH°gas,-9393.5 ± 1.6,kJ/mol,Ccb,"Prosen and Rossini, 1945",Corresponding ΔfHºgas= -403.0 kJ/mol (simple calculation by NIST; no Washburn corrections);ALS
n-Tetradecane,629-59-4,Quantity,Value,Units,Method,Reference,Comment
n-Tetradecane,629-59-4,S°gas,700.40,J/mol*K,N/A,"Stull D.R., 1969","This value is based on the low-temperature results [Finke H.L., 1954] for S(liquid).;GT"
n-Pentadecane,629-62-9,ΔfH°gas,-354.8 ± 2.0,kJ/mol,Ccb,"Prosen and Rossini, 1945",ALS
n-Pentadecane,629-62-9,Quantity,Value,Units,Method,Reference,Comment
n-Pentadecane,629-62-9,S°gas,738.94,J/mol*K,N/A,"Stull D.R., 1969","This value is based on the low-temperature results [Finke H.L., 1954] for S(liquid).;GT"
n-Hexadecane,544-76-3,ΔfH°gas,-374.9,kJ/mol,N/A,"Fraser and Prosen, 1955","Value computed using ΔfHliquid° value of -456.3±2 kj/mol fromFraser and Prosen, 1955and ΔvapH° value of 81.38 kj/mol frommissing citation.;DRB"
n-Hexadecane,544-76-3,ΔfH°gas,-374.7,kJ/mol,N/A,"Richardson and Parks, 1939","Value computed using ΔfHliquid° value of -456.1±4.1 kj/mol fromRichardson and Parks, 1939and ΔvapH° value of 81.38 kj/mol frommissing citation.;DRB"
n-Hexadecane,544-76-3,Quantity,Value,Units,Method,Reference,Comment
n-Hexadecane,544-76-3,S°gas,778.31,J/mol*K,N/A,"Stull D.R., 1969","This value is based on the low-temperature results [Finke H.L., 1954] for S(liquid).;GT"
n-Heptadecane,629-78-7,ΔfH°gas,-393.9 ± 2.4,kJ/mol,Ccb,"Prosen and Rossini, 1945",
