name,CAS,ΔfusH (kJ/mol),Temperature (K),Reference,Comment,Method
n-Pentane,109-66-0,8.401,143.47,"Messerly, Guthrie, et al., 1967",DH,
n-Pentane,109-66-0,8.4149,143.46,"Messerly and Kennedy, 1940",DH,
n-Pentane,109-66-0,8.4,143.5,"Acree, 1991",AC,
n-Pentane,109-66-0,8.376,143.4,"Parks and Huffman, 1930",DH,
n-Hexane,110-54-3,13.079,177.84,"Douslin and Huffman, 1946",DH,
n-Hexane,110-54-3,13.08,177.8,"Domalski and Hearing, 1996",AC,
n-Hexane,110-54-3,12.343,177.90,"Stull, 1937",DH,
n-Hexane,110-54-3,13.033,177.9,"Huffman, Parks, et al., 1931",DH,
n-Hexane,110-54-3,12.581,178.6,"Parks, Huffman, et al., 1930",DH,
n-Heptane,142-82-5,13.990,182.57,"Van Miltenburg, Van den Berg, et al., 1987",DH,
n-Heptane,142-82-5,14.053,182.59,"Schaake, Offringa, et al., 1979",DH,
n-Heptane,142-82-5,14.037,182.55,"Huffman, Gross, et al., 1961",DH,
n-Heptane,142-82-5,14.037,182.55,"McCullough and Messerly, 1961",DH,
n-Heptane,142-82-5,14.022,182.56,"Douglas, Furukawa, et al., 1954",DH,
n-Heptane,142-82-5,14.022,182.56,"Ginnings and Furukawa, 1953",DH,
n-Heptane,142-82-5,14.0407,182.52,"Pitzer K.S., 1940",DH,
n-Heptane,142-82-5,14.059,182.7,"Meijer, Blok, et al., 1977",DH,
n-Heptane,142-82-5,14.061,182.56,"Van Miltenburg, 1972",DH,
n-Heptane,142-82-5,14.0306,182.56,"Oetting F.L., 1963",DH,
n-Heptane,142-82-5,14.04,182.6,"Domalski and Hearing, 1996",AC,
n-Heptane,142-82-5,14.163,182.2,"Huffman, Parks, et al., 1930",DH,
n-Heptane,142-82-5,14.163,182.2,"Parks, Huffman, et al., 1930",DH,
n-Octane,111-65-9,20.740,216.38,"Finke, Gross, et al., 1954",DH,N/A
n-Octane,111-65-9,21.8,216.6,"Mondieig, Rajabalee, et al., 2004",AC,DSC
n-Octane,111-65-9,20.74,216.4,"Domalski and Hearing, 1996",AC,N/A
n-Octane,111-65-9,20.652,215.8,"Huffman, Parks, et al., 1931",DH,N/A
n-Octane,111-65-9,20.092,215.6,"Parks, Huffman, et al., 1930",DH,N/A
n-Nonane,111-84-2,15.0,219.5,"Mondieig, Rajabalee, et al., 2004",AC,DSC
n-Nonane,111-84-2,15.48,219.7,"Acree, 1991","See alsoDomalski and Hearing, 1996.;AC",N/A
n-Decane,124-18-5,28.715,243.51,"Finke, Gross, et al., 1954",DH,N/A
n-Decane,124-18-5,27.6,243.,"Marti, Kaisersberger, et al., 2004",AC,DSC
n-Decane,124-18-5,28.7,243.5,"Domalski and Hearing, 1996",AC,N/A
n-Decane,124-18-5,28.778,243.1,"Huffman, Parks, et al., 1931",DH,N/A
n-Undecane,1120-21-4,22.5,247.6,"Mondieig, Rajabalee, et al., 2004",AC,DSC
n-Undecane,1120-21-4,22.18,247.6,"Domalski and Hearing, 1996",AC,N/A
n-Dodecane,112-40-3,36.836,263.59,"Finke, Gross, et al., 1954",DH,N/A
n-Dodecane,112-40-3,35.7,263.1,"Mondieig, Rajabalee, et al., 2004",AC,DSC
n-Dodecane,112-40-3,36.82,263.6,"Domalski and Hearing, 1996",AC,N/A
n-Dodecane,112-40-3,36.581,263.5,"Huffman, Parks, et al., 1931",DH,N/A
n-Tridecane,629-50-5,28.9,267.7,"Mondieig, Rajabalee, et al., 2004",AC,DSC
n-Tridecane,629-50-5,28.49,267.8,"Domalski and Hearing, 1996",AC,N/A
n-Tetradecane,629-59-4,45.070,279.03,"Finke, Gross, et al., 1954, 2",DH,N/A
n-Tetradecane,629-59-4,42.7,278.3,"Mondieig, Rajabalee, et al., 2004",AC,DSC
n-Tetradecane,629-59-4,45.07,279.,"Domalski and Hearing, 1996",AC,N/A
n-Pentadecane,629-62-9,34.2,282.7,"Mondieig, Rajabalee, et al., 2004",AC,DSC
n-Pentadecane,629-62-9,34.6,283.1,"Domalski and Hearing, 1996",AC,N/A
n-Hexadecane,544-76-3,47.545,292.1,"Claudy and Letoffe, 1991",DH,N/A
n-Hexadecane,544-76-3,53.359,291.34,"Finke, Gross, et al., 1954",DH,N/A
n-Hexadecane,544-76-3,53.0,290.7,"Mondieig, Rajabalee, et al., 2004",AC,DSC
n-Hexadecane,544-76-3,51.46,291.1,"Domalski and Hearing, 1996",AC,N/A
n-Hexadecane,544-76-3,51.543,291.1,"Parks, Moore, et al., 1949",DH,N/A
n-Heptadecane,629-78-7,39.4,294.7,"Mondieig, Rajabalee, et al., 2004",AC,DSC
n-Heptadecane,629-78-7,40.17,295.1,"Domalski and Hearing, 1996",AC,N/A
n-Octadecane,593-45-3,61.500,301.5,"Barbillon, Schuffenecker, et al., 1991",DH,N/A
n-Octadecane,593-45-3,60.760,301.0,"Kolesnikov and Syunyaev, 1985",DH,N/A
n-Octadecane,593-45-3,61.706,301.33,"Messerly, Guthrie, et al., 1967, 2",DH,N/A
n-Octadecane,593-45-3,60.1,301.1,"Mondieig, Rajabalee, et al., 2004",AC,DSC
n-Octadecane,593-45-3,61.5,301.3,"Domalski and Hearing, 1996",AC,N/A
n-Octadecane,593-45-3,60.484,301.3,"Parks, Moore, et al., 1949, 2",DH,N/A
n-Nonadecane,629-92-5,42.7,304.4,"Mondieig, Rajabalee, et al., 2004",AC,DSC
n-Nonadecane,629-92-5,47.4,305.3,"Domalski and Hearing, 1996",AC,N/A
n-Eicosane,112-95-8,69.000,309.6,"Barbillon, Schuffenecker, et al., 1991",DH,N/A
n-Eicosane,112-95-8,67.800,308.8,"Kolesnikov and Syunyaev, 1985",DH,N/A
n-Eicosane,112-95-8,69.873,309.75,"Company, 1973",DH,N/A
n-Eicosane,112-95-8,69.8,310.2,"Khimeche, Boumrah, et al., 2006","See alsoGenovese, Amarasinghe, et al., 2006.;AC",N/A
n-Eicosane,112-95-8,68.1,309.7,"Mondieig, Rajabalee, et al., 2004",AC,DSC
n-Eicosane,112-95-8,67.8,309.7,"Domalski and Hearing, 1996",AC,N/A
n-Eicosane,112-95-8,70.900,308.5,"Syunyaev, Tumanyan, et al., 1984",Relative error in determination ± 5%.;DH,N/A
n-Eicosane,112-95-8,61.476,309.7,"Parks, Huffman, et al., 1930, 2",DH,N/A
Isopentane,78-78-4,5.1555,113.37,"Guthrie and Huffman, 1943, 2",DH,
Isopentane,78-78-4,5.130,113.39,"Schumann, Aston, et al., 1942, 2",DH,
Isopentane,78-78-4,5.13,113.4,"Domalski and Hearing, 1996",AC,
Isopentane,78-78-4,5.113,112.6,"Parks, Huffman, et al., 1930, 2",DH,
Neopentane,463-82-1,3.26,256.5,"Domalski and Hearing, 1996",AC,
2-Methylpentane,107-83-5,6.268,119.55,"Douslin and Huffman, 1946, 2",DH,
2-Methylpentane,107-83-5,6.27,119.6,"Domalski and Hearing, 1996",AC,
3-Methylpentane,96-14-0,5.31,110.3,"Domalski and Hearing, 1996",AC,
