name,CAS,ΔvapH (kJ/mol),Temperature (K),Method,Reference,Comment,260. to 428.,298. to 444.,298. to 426.,298. to 353.,292. to 422.,293. to 469.
n-Pentane,109-66-0,25.79,309.2,N/A,"Majer and Svoboda, 1985",,,,,,,
n-Pentane,109-66-0,26.200,298.15,N/A,"Messerly and Kennedy, 1940",P = 68.68 kPa;DH,,,,,,
n-Pentane,109-66-0,26.7,323.,N/A,"Pfohl, Riebesell, et al., 2002",Based on data from 308. to 423. K.;AC,,,,,,
n-Pentane,109-66-0,29.8,238.,A,"Stephenson and Malanowski, 1987",Based on data from 223. to 352. K.;AC,,,,,,
n-Pentane,109-66-0,32.3,208.,A,"Stephenson and Malanowski, 1987",Based on data from 143. to 223. K.;AC,,,,,,
n-Pentane,109-66-0,26.1,365.,A,"Stephenson and Malanowski, 1987",Based on data from 350. to 422. K.;AC,,,,,,
n-Pentane,109-66-0,26.2,433.,A,"Stephenson and Malanowski, 1987",Based on data from 418. to 470. K.;AC,,,,,,
n-Pentane,109-66-0,27.9,284.,EB,"Stephenson and Malanowski, 1987","Based on data from 269. to 341. K. See alsoOsborn and Douslin, 1974.;AC",,,,,,
n-Pentane,109-66-0,25.5,310.,N/A,"Das, Reed, et al., 1977",AC,,,,,,
n-Pentane,109-66-0,23.,350.,N/A,"Das, Reed, et al., 1977",AC,,,,,,
n-Pentane,109-66-0,19.7,390.,N/A,"Das, Reed, et al., 1977",AC,,,,,,
n-Pentane,109-66-0,15.1,430.,N/A,"Das, Reed, et al., 1977",AC,,,,,,
n-Pentane,109-66-0,8.5,460.,N/A,"Das, Reed, et al., 1977",AC,,,,,,
n-Pentane,109-66-0,,A (kJ/mol),,,,37.01,,,,,
n-Pentane,109-66-0,,α,,,,-0.1238,,,,,
n-Pentane,109-66-0,,β,,,,0.4121,,,,,
n-Pentane,109-66-0,,Tc(K),,,,469.6,,,,,
n-Pentane,109-66-0,,Reference,,,,"Majer and Svoboda, 1985",,,,,
n-Hexane,110-54-3,28.85,341.9,N/A,"Majer and Svoboda, 1985",,,,,,,
