name,CAS,Quantity,Value,Units,Method,Reference,Comment
n-Pentane,109-66-0,Tboil,309.2 ± 0.2,K,AVG,N/A,Average of 81 out of 94 values;Individual data points
n-Pentane,109-66-0,Quantity,Value,Units,Method,Reference,Comment
n-Pentane,109-66-0,Tfus,143.4 ± 0.7,K,AVG,N/A,Average of 30 out of 31 values;Individual data points
n-Pentane,109-66-0,Quantity,Value,Units,Method,Reference,Comment
n-Pentane,109-66-0,Ttriple,143.46 ± 0.05,K,AVG,N/A,Average of 6 values;Individual data points
n-Pentane,109-66-0,Quantity,Value,Units,Method,Reference,Comment
n-Pentane,109-66-0,Tc,469.8 ± 0.5,K,AVG,N/A,Average of 27 out of 31 values;Individual data points
n-Pentane,109-66-0,Quantity,Value,Units,Method,Reference,Comment
n-Pentane,109-66-0,Pc,33.6 ± 0.6,bar,AVG,N/A,Average of 20 values;Individual data points
n-Pentane,109-66-0,Quantity,Value,Units,Method,Reference,Comment
n-Pentane,109-66-0,Vc,0.311,l/mol,N/A,"Ambrose and Tsonopoulos, 1995",
n-Pentane,109-66-0,Vc,0.3098,l/mol,N/A,"Aftienjew and Zawisza, 1977",Uncertainty assigned by TRC =  0.0003 l/mol;TRC
n-Pentane,109-66-0,Vc,0.295,l/mol,N/A,"Beattie, Levine, et al., 1951",Uncertainty assigned by TRC =  0.006 l/mol;TRC
n-Pentane,109-66-0,Vc,0.31482,l/mol,N/A,"Sage and Lacey, 1942",Uncertainty assigned by TRC =  0.0031 l/mol;TRC
n-Pentane,109-66-0,Quantity,Value,Units,Method,Reference,Comment
n-Pentane,109-66-0,ρc,3.22 ± 0.07,mol/l,AVG,N/A,Average of 14 values;Individual data points
n-Pentane,109-66-0,Quantity,Value,Units,Method,Reference,Comment
n-Pentane,109-66-0,ΔvapH°,26.5 ± 0.6,kJ/mol,AVG,N/A,Average of 11 values;Individual data points
n-Hexane,110-54-3,Tboil,341.9 ± 0.3,K,AVG,N/A,Average of 85 out of 100 values;Individual data points
n-Hexane,110-54-3,Quantity,Value,Units,Method,Reference,Comment
n-Hexane,110-54-3,Tfus,178. ± 1.,K,AVG,N/A,Average of 32 values;Individual data points
n-Hexane,110-54-3,Quantity,Value,Units,Method,Reference,Comment
n-Hexane,110-54-3,Ttriple,178.0 ± 0.5,K,AVG,N/A,Average of 9 values;Individual data points
n-Hexane,110-54-3,Quantity,Value,Units,Method,Reference,Comment
n-Hexane,110-54-3,Tc,507.6 ± 0.5,K,AVG,N/A,Average of 39 out of 44 values;Individual data points
n-Hexane,110-54-3,Quantity,Value,Units,Method,Reference,Comment
n-Hexane,110-54-3,Pc,30.2 ± 0.4,bar,AVG,N/A,Average of 24 out of 25 values;Individual data points
n-Hexane,110-54-3,Quantity,Value,Units,Method,Reference,Comment
n-Hexane,110-54-3,Vc,0.368,l/mol,N/A,"Ambrose and Tsonopoulos, 1995",
n-Hexane,110-54-3,Vc,0.371,l/mol,N/A,"Zawisza, 1985",Uncertainty assigned by TRC =  0.007 l/mol;TRC
n-Hexane,110-54-3,Quantity,Value,Units,Method,Reference,Comment
n-Hexane,110-54-3,ρc,2.71 ± 0.02,mol/l,AVG,N/A,Average of 10 values;Individual data points
n-Hexane,110-54-3,Quantity,Value,Units,Method,Reference,Comment
n-Hexane,110-54-3,ΔvapH°,31. ± 1.,kJ/mol,AVG,N/A,Average of 11 values;Individual data points
n-Heptane,142-82-5,Tboil,371.5 ± 0.3,K,AVG,N/A,Average of 215 out of 227 values;Individual data points
n-Heptane,142-82-5,Quantity,Value,Units,Method,Reference,Comment
n-Heptane,142-82-5,Tfus,182.6 ± 0.4,K,AVG,N/A,Average of 51 out of 52 values;Individual data points
n-Heptane,142-82-5,Quantity,Value,Units,Method,Reference,Comment
n-Heptane,142-82-5,Ttriple,182.56 ± 0.03,K,AVG,N/A,Average of 26 out of 31 values;Individual data points
n-Heptane,142-82-5,Quantity,Value,Units,Method,Reference,Comment
n-Heptane,142-82-5,Tc,540. ± 2.,K,AVG,N/A,Average of 27 values;Individual data points
n-Heptane,142-82-5,Quantity,Value,Units,Method,Reference,Comment
n-Heptane,142-82-5,Pc,27.4 ± 0.3,bar,AVG,N/A,Average of 18 out of 19 values;Individual data points
n-Heptane,142-82-5,Quantity,Value,Units,Method,Reference,Comment
n-Heptane,142-82-5,Vc,0.428,l/mol,N/A,"Ambrose and Tsonopoulos, 1995",
n-Heptane,142-82-5,Vc,0.425,l/mol,N/A,"Zawisza and Vejrosta, 1982",Uncertainty assigned by TRC =  0.001 l/mol; Visual;TRC
n-Heptane,142-82-5,Quantity,Value,Units,Method,Reference,Comment
n-Heptane,142-82-5,ρc,2.35 ± 0.07,mol/l,AVG,N/A,Average of 12 values;Individual data points
n-Heptane,142-82-5,Quantity,Value,Units,Method,Reference,Comment
n-Heptane,142-82-5,ΔvapH°,36. ± 3.,kJ/mol,AVG,N/A,Average of 7 values;Individual data points
n-Octane,111-65-9,Tboil,398.7 ± 0.5,K,AVG,N/A,Average of 75 out of 89 values;Individual data points
n-Octane,111-65-9,Quantity,Value,Units,Method,Reference,Comment
n-Octane,111-65-9,Tfus,216.3 ± 0.3,K,AVG,N/A,Average of 39 out of 41 values;Individual data points
n-Octane,111-65-9,Quantity,Value,Units,Method,Reference,Comment
n-Octane,111-65-9,Ttriple,216.2 ± 0.6,K,AVG,N/A,Average of 9 values;Individual data points
n-Octane,111-65-9,Quantity,Value,Units,Method,Reference,Comment
n-Octane,111-65-9,Tc,568.9 ± 0.5,K,AVG,N/A,Average of 23 values;Individual data points
n-Octane,111-65-9,Quantity,Value,Units,Method,Reference,Comment
n-Octane,111-65-9,Pc,24.9 ± 0.1,bar,AVG,N/A,Average of 12 values;Individual data points
n-Octane,111-65-9,Quantity,Value,Units,Method,Reference,Comment
n-Octane,111-65-9,Vc,0.492,l/mol,N/A,"Ambrose and Tsonopoulos, 1995",
n-Octane,111-65-9,Quantity,Value,Units,Method,Reference,Comment
n-Octane,111-65-9,ρc,2.034 ± 0.007,mol/l,AVG,N/A,Average of 7 values;Individual data points
n-Octane,111-65-9,Quantity,Value,Units,Method,Reference,Comment
n-Octane,111-65-9,ΔvapH°,41. ± 4.,kJ/mol,AVG,N/A,Average of 10 values;Individual data points
n-Nonane,111-84-2,Tboil,423.8 ± 0.3,K,AVG,N/A,Average of 44 out of 51 values;Individual data points
n-Nonane,111-84-2,Quantity,Value,Units,Method,Reference,Comment
n-Nonane,111-84-2,Tfus,219.5 ± 0.5,K,AVG,N/A,Average of 24 values;Individual data points
n-Nonane,111-84-2,Quantity,Value,Units,Method,Reference,Comment
n-Nonane,111-84-2,Ttriple,219.6 ± 0.3,K,AVG,N/A,Average of 7 values;Individual data points
n-Nonane,111-84-2,Quantity,Value,Units,Method,Reference,Comment
n-Nonane,111-84-2,Tc,595. ± 1.,K,AVG,N/A,Average of 16 values;Individual data points
n-Nonane,111-84-2,Quantity,Value,Units,Method,Reference,Comment
n-Nonane,111-84-2,Pc,23.0 ± 0.4,bar,AVG,N/A,Average of 10 values;Individual data points
n-Nonane,111-84-2,Quantity,Value,Units,Method,Reference,Comment
n-Nonane,111-84-2,Vc,0.555,l/mol,N/A,"Ambrose and Tsonopoulos, 1995",
n-Nonane,111-84-2,Quantity,Value,Units,Method,Reference,Comment
n-Nonane,111-84-2,ρc,1.80 ± 0.05,mol/l,N/A,"Ambrose and Tsonopoulos, 1995",
n-Nonane,111-84-2,ρc,1.84,mol/l,N/A,"Steele, 1992",Uncertainty assigned by TRC =  0.078 mol/l;TRC
n-Nonane,111-84-2,ρc,1.80,mol/l,N/A,"Anselme, Gude, et al., 1990",Uncertainty assigned by TRC =  0.05 mol/l;TRC
n-Nonane,111-84-2,Quantity,Value,Units,Method,Reference,Comment
n-Nonane,111-84-2,ΔvapH°,46.5 ± 0.2,kJ/mol,AVG,N/A,Average of 7 values;Individual data points
n-Decane,124-18-5,Tboil,447.2 ± 0.3,K,AVG,N/A,Average of 34 out of 43 values;Individual data points
n-Decane,124-18-5,Quantity,Value,Units,Method,Reference,Comment
n-Decane,124-18-5,Tfus,243.3 ± 0.6,K,AVG,N/A,Average of 23 out of 25 values;Individual data points
n-Decane,124-18-5,Quantity,Value,Units,Method,Reference,Comment
n-Decane,124-18-5,Ttriple,243.4 ± 0.3,K,AVG,N/A,Average of 9 values;Individual data points
n-Decane,124-18-5,Quantity,Value,Units,Method,Reference,Comment
n-Decane,124-18-5,Tc,617.8 ± 0.7,K,AVG,N/A,Average of 16 out of 18 values;Individual data points
n-Decane,124-18-5,Quantity,Value,Units,Method,Reference,Comment
n-Decane,124-18-5,Pc,21.1 ± 0.8,bar,AVG,N/A,Average of 11 values;Individual data points
n-Decane,124-18-5,Quantity,Value,Units,Method,Reference,Comment
n-Decane,124-18-5,Vc,0.624,l/mol,N/A,"Ambrose and Tsonopoulos, 1995",
n-Decane,124-18-5,Quantity,Value,Units,Method,Reference,Comment
n-Decane,124-18-5,ρc,1.60 ± 0.05,mol/l,N/A,"Ambrose and Tsonopoulos, 1995",
n-Decane,124-18-5,ρc,1.67,mol/l,N/A,"Steele, 1992",Uncertainty assigned by TRC =  0.070 mol/l;TRC
n-Decane,124-18-5,ρc,1.60,mol/l,N/A,"Anselme, Gude, et al., 1990",Uncertainty assigned by TRC =  0.04 mol/l;TRC
n-Decane,124-18-5,ρc,1.67,mol/l,N/A,"Knipmeyer, Archer, et al., 1989",Uncertainty assigned by TRC =  0.070 mol/l;TRC
n-Decane,124-18-5,ρc,1.595,mol/l,N/A,"Gehrig and Lentz, 1983",Uncertainty assigned by TRC =  0.04 mol/l;TRC
n-Decane,124-18-5,Quantity,Value,Units,Method,Reference,Comment
n-Decane,124-18-5,ΔvapH°,51.3 ± 0.3,kJ/mol,AVG,N/A,Average of 12 values;Individual data points
n-Decane,124-18-5,Quantity,Value,Units,Method,Reference,Comment
n-Decane,124-18-5,ΔsubH°,80.3,kJ/mol,B,"Swain, Kwan, et al., 1980",AC
n-Decane,124-18-5,ΔsubH°,82.4,kJ/mol,H,"Bondi, 1963","See alsoChickos, Hosseini, et al., 1993.;AC"
n-Undecane,1120-21-4,Tboil,468. ± 2.,K,AVG,N/A,Average of 39 values;Individual data points
n-Undecane,1120-21-4,Quantity,Value,Units,Method,Reference,Comment
n-Undecane,1120-21-4,Tfus,247.4 ± 0.8,K,AVG,N/A,Average of 25 out of 28 values;Individual data points
n-Undecane,1120-21-4,Quantity,Value,Units,Method,Reference,Comment
n-Undecane,1120-21-4,Ttriple,247.58,K,N/A,"Messerly, Guthrie, et al., 1967",Crystal phase 1 phase; Uncertainty assigned by TRC =  0.05 K;TRC
n-Undecane,1120-21-4,Ttriple,247.590,K,N/A,"Finke, Gross, et al., 1954",Crystal phase 1 phase; Uncertainty assigned by TRC =  0.03 K;TRC
n-Undecane,1120-21-4,Ttriple,247.580,K,N/A,"Waddington, 1950",Uncertainty assigned by TRC =  0.2 K;TRC
n-Undecane,1120-21-4,Ttriple,247.590,K,N/A,"Waddington, 1950",Uncertainty assigned by TRC =  0.2 K;TRC
n-Undecane,1120-21-4,Ttriple,247.2,K,N/A,"Huffman, Parks, et al., 1931",Crystal phase 1 phase; Uncertainty assigned by TRC =  0.3 K;TRC
n-Undecane,1120-21-4,Quantity,Value,Units,Method,Reference,Comment
n-Undecane,1120-21-4,Tc,639. ± 1.,K,AVG,N/A,Average of 11 values;Individual data points
n-Undecane,1120-21-4,Quantity,Value,Units,Method,Reference,Comment
n-Undecane,1120-21-4,Pc,19.8 ± 0.4,bar,AVG,N/A,Average of 6 values;Individual data points
n-Undecane,1120-21-4,Quantity,Value,Units,Method,Reference,Comment
n-Undecane,1120-21-4,Vc,0.689,l/mol,N/A,"Ambrose and Tsonopoulos, 1995",
n-Undecane,1120-21-4,Quantity,Value,Units,Method,Reference,Comment
n-Undecane,1120-21-4,ρc,1.5 ± 0.1,mol/l,N/A,"Ambrose and Tsonopoulos, 1995",
n-Undecane,1120-21-4,ρc,1.77,mol/l,N/A,"Anselme, Gude, et al., 1990",Uncertainty assigned by TRC =  0.04 mol/l;TRC
n-Undecane,1120-21-4,Quantity,Value,Units,Method,Reference,Comment
n-Undecane,1120-21-4,ΔvapH°,56.4 ± 0.2,kJ/mol,AVG,N/A,Average of 8 values;Individual data points
n-Dodecane,112-40-3,Tboil,489. ± 2.,K,AVG,N/A,Average of 22 values;Individual data points
n-Dodecane,112-40-3,Quantity,Value,Units,Method,Reference,Comment
n-Dodecane,112-40-3,Tfus,263.5 ± 0.3,K,AVG,N/A,Average of 35 out of 45 values;Individual data points
n-Dodecane,112-40-3,Quantity,Value,Units,Method,Reference,Comment
n-Dodecane,112-40-3,Ttriple,263.57 ± 0.05,K,AVG,N/A,Average of 7 values;Individual data points
n-Dodecane,112-40-3,Quantity,Value,Units,Method,Reference,Comment
n-Dodecane,112-40-3,Tc,658.2 ± 0.9,K,AVG,N/A,Average of 10 values;Individual data points
n-Dodecane,112-40-3,Quantity,Value,Units,Method,Reference,Comment
