CAS,T_K,density_kgm3
10024-97-2,182.33,1237.3
10024-97-2,184.43,1231.2
10024-97-2,186.33,1225.6
10024-97-2,188.08,1220.4
10024-97-2,189.7,1215.6
10024-97-2,191.22,1211.0
10024-97-2,192.64,1206.8
10024-97-2,193.98,1202.7
10024-97-2,195.25,1198.9
10024-97-2,196.46,1195.2
10024-97-2,197.61,1191.7
10024-97-2,198.71,1188.3
10024-97-2,199.77,1185.1
10024-97-2,200.78,1182.0
10024-97-2,201.76,1178.9
10024-97-2,202.7,1176.0
10024-97-2,203.61,1173.2
10024-97-2,204.49,1170.4
10024-97-2,205.35,1167.7
10024-97-2,206.17,1165.1
10024-97-2,206.98,1162.6
10024-97-2,207.76,1160.1
10024-97-2,208.52,1157.7
10024-97-2,209.27,1155.3
10024-97-2,209.99,1153.0
10024-97-2,210.7,1150.8
10024-97-2,211.39,1148.5
10024-97-2,212.06,1146.4
10024-97-2,212.72,1144.2
10024-97-2,213.37,1142.1
10024-97-2,214.0,1140.1
10024-97-2,214.62,1138.1
10024-97-2,215.23,1136.1
10024-97-2,215.82,1134.1
10024-97-2,216.41,1132.2
10024-97-2,216.98,1130.3
10024-97-2,217.55,1128.4
10024-97-2,218.1,1126.6
10024-97-2,218.65,1124.8
10024-97-2,219.18,1123.0
10024-97-2,219.71,1121.2
10024-97-2,220.23,1119.5
10024-97-2,220.74,1117.8
10024-97-2,221.25,1116.1
10024-97-2,221.74,1114.4
10024-97-2,222.23,1112.8
10024-97-2,222.71,1111.1
10024-97-2,223.19,1109.5
10024-97-2,223.66,1107.9
10024-97-2,224.12,1106.3
10024-97-2,224.58,1104.8
10024-97-2,225.03,1103.2
10024-97-2,225.47,1101.7
10024-97-2,225.91,1100.2
10024-97-2,226.35,1098.7
10024-97-2,226.78,1097.2
10024-97-2,227.2,1095.7
10024-97-2,227.62,1094.3
10024-97-2,228.03,1092.9
10024-97-2,228.44,1091.4
10024-97-2,228.85,1090.0
10024-97-2,229.25,1088.6
10024-97-2,229.64,1087.2
10024-97-2,230.03,1085.8
10024-97-2,230.42,1084.5
10024-97-2,230.81,1083.1
10024-97-2,231.19,1081.8
10024-97-2,231.56,1080.4
10024-97-2,231.93,1079.1
10024-97-2,232.3,1077.8
10024-97-2,232.67,1076.5
10024-97-2,233.03,1075.2
10024-97-2,233.39,1073.9
10024-97-2,233.74,1072.6
10024-97-2,234.09,1071.4
10024-97-2,234.44,1070.1
10024-97-2,234.79,1068.9
10024-97-2,235.13,1067.6
10024-97-2,235.47,1066.4
10024-97-2,235.81,1065.2
10024-97-2,236.14,1063.9
10024-97-2,236.47,1062.7
10024-97-2,236.8,1061.5
10024-97-2,237.12,1060.3
10024-97-2,237.45,1059.1
10024-97-2,237.77,1058.0
10024-97-2,238.08,1056.8
10024-97-2,238.4,1055.6
10024-97-2,238.71,1054.5
10024-97-2,239.02,1053.3
10024-97-2,239.33,1052.2
10024-97-2,239.63,1051.0
10024-97-2,239.94,1049.9
10024-97-2,240.24,1048.8
10024-97-2,240.54,1047.7
10024-97-2,240.83,1046.5
10024-97-2,241.13,1045.4
10024-97-2,241.42,1044.3
10024-97-2,241.71,1043.2
10024-97-2,242.0,1042.1
10024-97-2,242.28,1041.0
10024-97-2,242.57,1040.0
10024-97-2,242.85,1038.9
10024-97-2,243.13,1037.8
10024-97-2,243.41,1036.7
10024-97-2,243.69,1035.7
10024-97-2,243.96,1034.6
10024-97-2,244.24,1033.6
10024-97-2,244.51,1032.5
10024-97-2,244.78,1031.5
10024-97-2,245.05,1030.5
10024-97-2,245.31,1029.4
10024-97-2,245.58,1028.4
10024-97-2,245.84,1027.4
10024-97-2,246.1,1026.3
10024-97-2,246.36,1025.3
10024-97-2,246.62,1024.3
10024-97-2,246.88,1023.3
10024-97-2,247.13,1022.3
10024-97-2,247.39,1021.3
10024-97-2,247.64,1020.3
10024-97-2,247.89,1019.3
10024-97-2,248.14,1018.3
10024-97-2,248.39,1017.3
10024-97-2,248.64,1016.4
10024-97-2,248.88,1015.4
10024-97-2,249.13,1014.4
10024-97-2,249.37,1013.4
10024-97-2,249.61,1012.5
10024-97-2,249.85,1011.5
10024-97-2,250.09,1010.5
10024-97-2,250.33,1009.6
10024-97-2,250.56,1008.6
10024-97-2,250.8,1007.7
10024-97-2,251.03,1006.7
10024-97-2,251.26,1005.8
10024-97-2,251.5,1004.8
10024-97-2,251.73,1003.9
10024-97-2,251.96,1003.0
10024-97-2,252.18,1002.0
10024-97-2,252.41,1001.1
10024-97-2,252.64,1000.2
10024-97-2,252.86,999.26
10024-97-2,253.09,998.34
10024-97-2,253.31,997.42
10024-97-2,253.53,996.51
10024-97-2,253.75,995.59
10024-97-2,253.97,994.68
10024-97-2,254.19,993.78
10024-97-2,254.4,992.87
10024-97-2,254.62,991.97
10024-97-2,254.84,991.07
10024-97-2,255.05,990.17
10024-97-2,255.26,989.28
10024-97-2,255.48,988.38
10024-97-2,255.69,987.49
10024-97-2,255.9,986.61
10024-97-2,256.11,985.72
10024-97-2,256.32,984.84
10024-97-2,256.52,983.96
10024-97-2,256.73,983.08
10024-97-2,256.94,982.2
10024-97-2,257.14,981.33
10024-97-2,257.35,980.45
10024-97-2,257.55,979.58
10024-97-2,257.75,978.72
10024-97-2,257.95,977.85
10024-97-2,258.15,976.99
10024-97-2,258.35,976.12
10024-97-2,258.55,975.26
10024-97-2,258.75,974.41
10024-97-2,258.95,973.55
10024-97-2,259.14,972.7
10024-97-2,259.34,971.84
10024-97-2,259.54,970.99
10024-97-2,259.73,970.15
10024-97-2,259.92,969.3
10024-97-2,260.12,968.45
10024-97-2,260.31,967.61
10024-97-2,260.5,966.77
10024-97-2,260.69,965.93
10024-97-2,260.88,965.09
10024-97-2,261.07,964.26
10024-97-2,261.26,963.42
10024-97-2,261.44,962.59
10024-97-2,261.63,961.76
10024-97-2,261.82,960.93
10024-97-2,262.0,960.1
10024-97-2,262.19,959.27
10024-97-2,262.37,958.45
10024-97-2,262.55,957.62
10024-97-2,262.74,956.8
10024-97-2,262.92,955.98
10024-97-2,263.1,955.16
10024-97-2,263.28,954.34
10024-97-2,263.46,953.53
10024-97-2,263.64,952.71
10024-97-2,263.82,951.9
10024-97-2,264.0,951.09
10024-97-2,264.17,950.28
10024-97-2,264.35,949.47
10024-97-2,264.53,948.66
10024-97-2,264.7,947.85
10024-97-2,264.88,947.05
10024-97-2,265.05,946.24
10024-97-2,265.23,945.44
10024-97-2,265.4,944.64
10024-97-2,265.57,943.84
10024-97-2,265.74,943.04
10024-97-2,265.92,942.24
10024-97-2,266.09,941.45
10024-97-2,266.26,940.65
10024-97-2,266.43,939.86
10024-97-2,266.6,939.06
10024-97-2,266.76,938.27
10024-97-2,266.93,937.48
10024-97-2,267.1,936.69
10024-97-2,267.27,935.9
10024-97-2,267.43,935.11
10024-97-2,267.6,934.32
10024-97-2,267.76,933.54
10024-97-2,267.93,932.75
10024-97-2,268.09,931.97
10024-97-2,268.26,931.19
10024-97-2,268.42,930.41
10024-97-2,268.58,929.63
10024-97-2,268.75,928.85
10024-97-2,268.91,928.07
10024-97-2,269.07,927.29
10024-97-2,269.23,926.51
10024-97-2,269.39,925.74
10024-97-2,269.55,924.96
10024-97-2,269.71,924.19
10024-97-2,269.87,923.41
10024-97-2,270.03,922.64
10024-97-2,270.18,921.87
10024-97-2,270.34,921.1
10024-97-2,270.5,920.33
10024-97-2,270.65,919.56
10024-97-2,270.81,918.79
10024-97-2,270.97,918.02
10024-97-2,271.12,917.25
