CAS,name,SMILES,T_K,density_kgm3
100-21-0,terephthalic acid,C1=CC(=CC=C1C(=O)O)C(=O)O,700.15,1419.733
100-21-0,terephthalic acid,C1=CC(=CC=C1C(=O)O)C(=O)O,721.88,1391.9878
100-21-0,terephthalic acid,C1=CC(=CC=C1C(=O)O)C(=O)O,743.61,1363.694
100-21-0,terephthalic acid,C1=CC(=CC=C1C(=O)O)C(=O)O,765.34,1334.7976
100-21-0,terephthalic acid,C1=CC(=CC=C1C(=O)O)C(=O)O,787.07,1305.2355
100-21-0,terephthalic acid,C1=CC(=CC=C1C(=O)O)C(=O)O,808.79,1274.9333
100-21-0,terephthalic acid,C1=CC(=CC=C1C(=O)O)C(=O)O,830.52,1243.8024
100-21-0,terephthalic acid,C1=CC(=CC=C1C(=O)O)C(=O)O,852.25,1211.7363
100-21-0,terephthalic acid,C1=CC(=CC=C1C(=O)O)C(=O)O,873.98,1178.6043
100-21-0,terephthalic acid,C1=CC(=CC=C1C(=O)O)C(=O)O,895.71,1144.2438
100-21-0,terephthalic acid,C1=CC(=CC=C1C(=O)O)C(=O)O,917.44,1108.4484
100-21-0,terephthalic acid,C1=CC(=CC=C1C(=O)O)C(=O)O,939.17,1070.9493
100-21-0,terephthalic acid,C1=CC(=CC=C1C(=O)O)C(=O)O,960.9,1031.3861
100-21-0,terephthalic acid,C1=CC(=CC=C1C(=O)O)C(=O)O,982.63,989.2562
100-21-0,terephthalic acid,C1=CC(=CC=C1C(=O)O)C(=O)O,1004.36,943.8238
100-21-0,terephthalic acid,C1=CC(=CC=C1C(=O)O)C(=O)O,1026.08,893.9361
100-21-0,terephthalic acid,C1=CC(=CC=C1C(=O)O)C(=O)O,1047.81,837.6016
100-21-0,terephthalic acid,C1=CC(=CC=C1C(=O)O)C(=O)O,1069.54,770.7984
100-21-0,terephthalic acid,C1=CC(=CC=C1C(=O)O)C(=O)O,1091.27,682.5574
100-21-0,terephthalic acid,C1=CC(=CC=C1C(=O)O)C(=O)O,1113.0,391.7842
100-41-4,ethylbenzene,CCC1=CC=CC=C1,178.2,959.8099
100-41-4,ethylbenzene,CCC1=CC=CC=C1,201.3,942.1423
100-41-4,ethylbenzene,CCC1=CC=CC=C1,224.41,924.103
100-41-4,ethylbenzene,CCC1=CC=CC=C1,247.51,905.6556
100-41-4,ethylbenzene,CCC1=CC=CC=C1,270.61,886.7576
100-41-4,ethylbenzene,CCC1=CC=CC=C1,293.71,867.359
100-41-4,ethylbenzene,CCC1=CC=CC=C1,316.82,847.4003
100-41-4,ethylbenzene,CCC1=CC=CC=C1,339.92,826.8096
100-41-4,ethylbenzene,CCC1=CC=CC=C1,363.02,805.4991
100-41-4,ethylbenzene,CCC1=CC=CC=C1,386.12,783.3592
100-41-4,ethylbenzene,CCC1=CC=CC=C1,409.23,760.2511
100-41-4,ethylbenzene,CCC1=CC=CC=C1,432.33,735.9936
100-41-4,ethylbenzene,CCC1=CC=CC=C1,455.43,710.3437
100-41-4,ethylbenzene,CCC1=CC=CC=C1,478.53,682.9629
100-41-4,ethylbenzene,CCC1=CC=CC=C1,501.64,653.3548
100-41-4,ethylbenzene,CCC1=CC=CC=C1,524.74,620.7412
100-41-4,ethylbenzene,CCC1=CC=CC=C1,547.84,583.7769
100-41-4,ethylbenzene,CCC1=CC=CC=C1,570.94,539.7422
100-41-4,ethylbenzene,CCC1=CC=CC=C1,594.05,481.2066
100-41-4,ethylbenzene,CCC1=CC=CC=C1,617.15,284.2253
100-42-5,styrene,C=CC1=CC=CC=C1,242.54,948.678
100-42-5,styrene,C=CC1=CC=CC=C1,263.25,931.0121
100-42-5,styrene,C=CC1=CC=CC=C1,283.96,912.9948
100-42-5,styrene,C=CC1=CC=CC=C1,304.67,894.5913
100-42-5,styrene,C=CC1=CC=CC=C1,325.37,875.7612
100-42-5,styrene,C=CC1=CC=CC=C1,346.08,856.4569
100-42-5,styrene,C=CC1=CC=CC=C1,366.79,836.6216
100-42-5,styrene,C=CC1=CC=CC=C1,387.5,816.1869
100-42-5,styrene,C=CC1=CC=CC=C1,408.21,795.0691
100-42-5,styrene,C=CC1=CC=CC=C1,428.92,773.1641
100-42-5,styrene,C=CC1=CC=CC=C1,449.62,750.3395
100-42-5,styrene,C=CC1=CC=CC=C1,470.33,726.4232
100-42-5,styrene,C=CC1=CC=CC=C1,491.04,701.1843
100-42-5,styrene,C=CC1=CC=CC=C1,511.75,674.3009
100-42-5,styrene,C=CC1=CC=CC=C1,532.46,645.3022
100-42-5,styrene,C=CC1=CC=CC=C1,553.17,613.4505
100-42-5,styrene,C=CC1=CC=CC=C1,573.87,577.472
100-42-5,styrene,C=CC1=CC=CC=C1,594.58,534.7971
100-42-5,styrene,C=CC1=CC=CC=C1,615.29,478.4282
100-42-5,styrene,C=CC1=CC=CC=C1,636.0,295.9628
100-44-7,benzyl chloride,C1=CC=C(C=C1)CCl,200.0,150.046
100-44-7,benzyl chloride,C1=CC=C(C=C1)CCl,225.58,147.2222
100-44-7,benzyl chloride,C1=CC=C(C=C1)CCl,251.16,144.3388
100-44-7,benzyl chloride,C1=CC=C(C=C1)CCl,276.74,141.3901
100-44-7,benzyl chloride,C1=CC=C(C=C1)CCl,302.33,138.3698
100-44-7,benzyl chloride,C1=CC=C(C=C1)CCl,327.91,135.27
100-44-7,benzyl chloride,C1=CC=C(C=C1)CCl,353.49,132.0816
100-44-7,benzyl chloride,C1=CC=C(C=C1)CCl,379.07,128.7936
100-44-7,benzyl chloride,C1=CC=C(C=C1)CCl,404.65,125.3923
100-44-7,benzyl chloride,C1=CC=C(C=C1)CCl,430.23,121.8609
100-44-7,benzyl chloride,C1=CC=C(C=C1)CCl,455.82,118.1779
100-44-7,benzyl chloride,C1=CC=C(C=C1)CCl,481.4,114.3154
100-44-7,benzyl chloride,C1=CC=C(C=C1)CCl,506.98,110.2356
100-44-7,benzyl chloride,C1=CC=C(C=C1)CCl,532.56,105.886
100-44-7,benzyl chloride,C1=CC=C(C=C1)CCl,558.14,101.1894
100-44-7,benzyl chloride,C1=CC=C(C=C1)CCl,583.72,96.0247
100-44-7,benzyl chloride,C1=CC=C(C=C1)CCl,609.31,90.1816
100-44-7,benzyl chloride,C1=CC=C(C=C1)CCl,634.89,83.2343
100-44-7,benzyl chloride,C1=CC=C(C=C1)CCl,660.47,74.0164
100-47-0,benzonitrile,C1=CC=C(C=C1)C#N,260.4,1032.3229
100-47-0,benzonitrile,C1=CC=C(C=C1)C#N,283.5,1013.1937
100-47-0,benzonitrile,C1=CC=C(C=C1)C#N,306.61,993.6869
100-47-0,benzonitrile,C1=CC=C(C=C1)C#N,329.71,973.7649
100-47-0,benzonitrile,C1=CC=C(C=C1)C#N,352.81,953.3843
100-47-0,benzonitrile,C1=CC=C(C=C1)C#N,375.91,932.4938
100-47-0,benzonitrile,C1=CC=C(C=C1)C#N,399.02,911.0323
100-47-0,benzonitrile,C1=CC=C(C=C1)C#N,422.12,888.9262
100-47-0,benzonitrile,C1=CC=C(C=C1)C#N,445.22,866.0854
100-47-0,benzonitrile,C1=CC=C(C=C1)C#N,468.32,842.3979
100-47-0,benzonitrile,C1=CC=C(C=C1)C#N,491.43,817.7212
100-47-0,benzonitrile,C1=CC=C(C=C1)C#N,514.53,791.8703
100-47-0,benzonitrile,C1=CC=C(C=C1)C#N,537.63,764.5966
100-47-0,benzonitrile,C1=CC=C(C=C1)C#N,560.73,735.5541
100-47-0,benzonitrile,C1=CC=C(C=C1)C#N,583.84,704.2363
100-47-0,benzonitrile,C1=CC=C(C=C1)C#N,606.94,669.8501
100-47-0,benzonitrile,C1=CC=C(C=C1)C#N,630.04,631.0267
