CAS,SMILES,T_K,surface_tension_Nm
100-00-5,C1=CC(=CC=C1[N+](=O)[O-])Cl,250.0,0.04745628894517799
100-00-5,C1=CC(=CC=C1[N+](=O)[O-])Cl,277.78,0.0446040995162671
100-00-5,C1=CC(=CC=C1[N+](=O)[O-])Cl,305.56,0.041766387290250805
100-00-5,C1=CC(=CC=C1[N+](=O)[O-])Cl,333.33,0.03894397564986653
100-00-5,C1=CC(=CC=C1[N+](=O)[O-])Cl,361.11,0.03613779267382669
100-00-5,C1=CC(=CC=C1[N+](=O)[O-])Cl,388.89,0.0333488927150385
100-00-5,C1=CC(=CC=C1[N+](=O)[O-])Cl,416.67,0.0305784850691789
100-00-5,C1=CC(=CC=C1[N+](=O)[O-])Cl,444.44,0.027827971171477006
100-00-5,C1=CC(=CC=C1[N+](=O)[O-])Cl,472.22,0.02509899531785261
100-00-5,C1=CC(=CC=C1[N+](=O)[O-])Cl,500.0,0.022393515015725788
100-01-6,C1=CC(=CC=C1N)[N+](=O)[O-],250.0,0.06283524896691066
100-01-6,C1=CC(=CC=C1N)[N+](=O)[O-],277.78,0.06031317867857916
100-01-6,C1=CC(=CC=C1N)[N+](=O)[O-],305.56,0.05777849870981938
100-01-6,C1=CC(=CC=C1N)[N+](=O)[O-],333.33,0.05523052020461512
100-01-6,C1=CC(=CC=C1N)[N+](=O)[O-],361.11,0.05266847890531639
100-01-6,C1=CC(=CC=C1N)[N+](=O)[O-],388.89,0.05009152230746959
100-01-6,C1=CC(=CC=C1N)[N+](=O)[O-],416.67,0.04749869375245233
100-01-6,C1=CC(=CC=C1N)[N+](=O)[O-],444.44,0.04489038548235704
100-01-6,C1=CC(=CC=C1N)[N+](=O)[O-],472.22,0.04227901231673287
100-01-6,C1=CC(=CC=C1N)[N+](=O)[O-],500.0,0.039657496400231376
100-41-4,CCC1=CC=CC=C1,250.0,0.03385599290308686
100-41-4,CCC1=CC=CC=C1,277.78,0.03075728365639118
100-41-4,CCC1=CC=CC=C1,305.56,0.027713933257918665
100-41-4,CCC1=CC=CC=C1,333.33,0.024729763578270857
100-41-4,CCC1=CC=CC=C1,361.11,0.02180925824441281
100-41-4,CCC1=CC=CC=C1,388.89,0.018957761305858863
100-41-4,CCC1=CC=CC=C1,416.67,0.016181767060643202
100-41-4,CCC1=CC=CC=C1,444.44,0.013489361456758778
100-41-4,CCC1=CC=CC=C1,472.22,0.010890931962278699
100-41-4,CCC1=CC=CC=C1,500.0,0.008400393654393748
100-42-5,C=CC1=CC=CC=C1,250.0,0.03342609532064636
100-42-5,C=CC1=CC=CC=C1,277.78,0.031771081284578936
100-42-5,C=CC1=CC=CC=C1,305.56,0.03007406932884238
100-42-5,C=CC1=CC=CC=C1,333.33,0.028330302954499315
100-42-5,C=CC1=CC=CC=C1,361.11,0.026533990009353407
100-42-5,C=CC1=CC=CC=C1,388.89,0.02467794553887084
100-42-5,C=CC1=CC=CC=C1,416.67,0.022753056418780192
100-42-5,C=CC1=CC=CC=C1,444.44,0.02074744271601788
100-42-5,C=CC1=CC=CC=C1,472.22,0.018645067420430983
100-42-5,C=CC1=CC=CC=C1,500.0,0.016423280803322633
100-44-7,C1=CC=C(C=C1)CCl,250.0,0.0428959963629869
100-44-7,C1=CC=C(C=C1)CCl,277.78,0.03940965092191039
100-44-7,C1=CC=C(C=C1)CCl,305.56,0.0359710731087796
100-44-7,C1=CC=C(C=C1)CCl,333.33,0.032542090500541944
100-44-7,C1=CC=C(C=C1)CCl,361.11,0.029122313569182077
100-44-7,C1=CC=C(C=C1)CCl,388.89,0.025712616820839168
100-44-7,C1=CC=C(C=C1)CCl,416.67,0.02231405868571175
100-44-7,C1=CC=C(C=C1)CCl,444.44,0.018942850041557175
100-44-7,C1=CC=C(C=C1)CCl,472.22,0.015737312193056376
100-44-7,C1=CC=C(C=C1)CCl,500.0,0.012740692391376514
100-46-9,C1=CC=C(C=C1)CN,250.0,0.044529705548392536
100-46-9,C1=CC=C(C=C1)CN,277.78,0.041217684418936536
100-46-9,C1=CC=C(C=C1)CN,305.56,0.037944687075244996
100-46-9,C1=CC=C(C=C1)CN,333.33,0.0347130559586534
100-46-9,C1=CC=C(C=C1)CN,361.11,0.03152546935300128
100-46-9,C1=CC=C(C=C1)CN,388.89,0.028385021157779283
100-46-9,C1=CC=C(C=C1)CN,416.67,0.02529533264982709
100-46-9,C1=CC=C(C=C1)CN,444.44,0.022260703580161034
100-46-9,C1=CC=C(C=C1)CN,472.22,0.01928633305437063
100-46-9,C1=CC=C(C=C1)CN,500.0,0.0163786493346324
100-47-0,C1=CC=C(C=C1)C#N,250.0,0.04286567876702688
100-47-0,C1=CC=C(C=C1)C#N,277.78,0.03965205989439148
100-47-0,C1=CC=C(C=C1)C#N,305.56,0.036485286988560496
100-47-0,C1=CC=C(C=C1)C#N,333.33,0.03336790760033656
100-47-0,C1=CC=C(C=C1)C#N,361.11,0.03030280989884888
100-47-0,C1=CC=C(C=C1)C#N,388.89,0.02729330016976263
100-47-0,C1=CC=C(C=C1)C#N,416.67,0.02434320604113049
100-47-0,C1=CC=C(C=C1)C#N,444.44,0.02145701771131854
100-47-0,C1=CC=C(C=C1)C#N,472.22,0.018640086351098973
100-47-0,C1=CC=C(C=C1)C#N,500.0,0.01589891599332976
100-51-6,C1=CC=C(C=C1)CO,250.0,0.0428278997427829
100-51-6,C1=CC=C(C=C1)CO,277.78,0.03847343682393185
100-51-6,C1=CC=C(C=C1)CO,305.56,0.034291921734137865
100-51-6,C1=CC=C(C=C1)CO,333.33,0.030186218347194982
100-51-6,C1=CC=C(C=C1)CO,361.11,0.026154334629829135
100-51-6,C1=CC=C(C=C1)CO,388.89,0.022205600840023376
100-51-6,C1=CC=C(C=C1)CO,416.67,0.018351368719787486
100-51-6,C1=CC=C(C=C1)CO,444.44,0.014605677827907781
100-51-6,C1=CC=C(C=C1)CO,472.22,0.011093537716299392
100-51-6,C1=CC=C(C=C1)CO,500.0,0.008134140201446446
100-52-7,C1=CC=C(C=C1)C=O,250.0,0.043497757727091926
100-52-7,C1=CC=C(C=C1)C=O,277.78,0.04034074334350864
100-52-7,C1=CC=C(C=C1)C=O,305.56,0.03721907243597744
100-52-7,C1=CC=C(C=C1)C=O,333.33,0.034134831023201195
100-52-7,C1=CC=C(C=C1)C=O,361.11,0.03109039720123709
100-52-7,C1=CC=C(C=C1)C=O,388.89,0.02808850956836617
100-52-7,C1=CC=C(C=C1)C=O,416.67,0.025132360545269815
100-52-7,C1=CC=C(C=C1)C=O,444.44,0.022225723847122503
100-52-7,C1=CC=C(C=C1)C=O,472.22,0.019373136133143103
100-52-7,C1=CC=C(C=C1)C=O,500.0,0.016580166323506007
100-61-8,CNC1=CC=CC=C1,250.0,0.044254914658313396
100-61-8,CNC1=CC=CC=C1,277.78,0.04107915943355436
100-61-8,CNC1=CC=CC=C1,305.56,0.03793942035184853
100-61-8,CNC1=CC=CC=C1,333.33,0.034837772495248186
100-61-8,CNC1=CC=CC=C1,361.11,0.03177657522015034
100-61-8,CNC1=CC=CC=C1,388.89,0.02875853693498812
100-61-8,CNC1=CC=CC=C1,416.67,0.025786804130176158
100-61-8,CNC1=CC=CC=C1,444.44,0.022865079801549424
100-61-8,CNC1=CC=CC=C1,472.22,0.019997793243896993
100-61-8,CNC1=CC=CC=C1,500.0,0.017190347782176724
100-63-0,C1=CC=C(C=C1)NN,250.0,0.05049721753390271
100-63-0,C1=CC=C(C=C1)NN,277.78,0.046991415660702446
100-63-0,C1=CC=C(C=C1)NN,305.56,0.043538614571813496
100-63-0,C1=CC=C(C=C1)NN,333.33,0.040141252695845515
100-63-0,C1=CC=C(C=C1)NN,361.11,0.03680205003866508
100-63-0,C1=CC=C(C=C1)NN,388.89,0.03352406154082965
100-63-0,C1=CC=C(C=C1)NN,416.67,0.030310749957691153
100-63-0,C1=CC=C(C=C1)NN,444.44,0.027166075978393923
100-63-0,C1=CC=C(C=C1)NN,472.22,0.02409462227923669
100-63-0,C1=CC=C(C=C1)NN,500.0,0.021101762953054673
100-66-3,COC1=CC=CC=C1,250.0,0.04013392510648614
100-66-3,COC1=CC=CC=C1,277.78,0.036688128415239184
100-66-3,COC1=CC=CC=C1,305.56,0.03330308638861054
100-66-3,COC1=CC=CC=C1,333.33,0.029982552922729413
100-66-3,COC1=CC=CC=C1,361.11,0.02673086532776455
100-66-3,COC1=CC=CC=C1,388.89,0.02355310046152329
100-66-3,COC1=CC=CC=C1,416.67,0.020455293919088596
100-66-3,COC1=CC=CC=C1,444.44,0.01744475772524885
100-66-3,COC1=CC=CC=C1,472.22,0.014530565636782632
100-66-3,COC1=CC=CC=C1,500.0,0.011724323865352505
100-68-5,CSC1=CC=CC=C1,250.0,0.04574616895901605
100-68-5,CSC1=CC=CC=C1,277.78,0.04224275056233667
100-68-5,CSC1=CC=CC=C1,305.56,0.03879384684241057
100-68-5,CSC1=CC=CC=C1,333.33,0.035354845796614576
100-68-5,CSC1=CC=CC=C1,361.11,0.031915991126392054
100-68-5,CSC1=CC=CC=C1,388.89,0.028529495889067936
100-68-5,CSC1=CC=CC=C1,416.67,0.025241271268541265
100-68-5,CSC1=CC=CC=C1,444.44,0.02205750155484887
100-68-5,CSC1=CC=CC=C1,472.22,0.018985450556696343
100-68-5,CSC1=CC=CC=C1,500.0,0.01603379952734865
10022-50-1,O=[N+]([O-])F,250.0,0.013001346192572765
10022-50-1,O=[N+]([O-])F,277.78,0.0085991257870754
10022-50-1,O=[N+]([O-])F,305.56,0.004630478227530296
10022-50-1,O=[N+]([O-])F,333.33,0.0013052868965590127
10024-97-2,N#[N+][O-],250.0,0.009735704341802544
10024-97-2,N#[N+][O-],277.78,0.004567142480523554
10024-97-2,N#[N+][O-],305.56,0.0003731511210513184
10025-78-2,Cl[SiH](Cl)Cl,250.0,0.02273243171980234
10025-78-2,Cl[SiH](Cl)Cl,277.78,0.019591545346606568
10025-78-2,Cl[SiH](Cl)Cl,305.56,0.016515168627523585
10025-78-2,Cl[SiH](Cl)Cl,333.33,0.013512048891853782
10025-78-2,Cl[SiH](Cl)Cl,361.11,0.01059402579430501
10025-78-2,Cl[SiH](Cl)Cl,388.89,0.007778131809682744
10025-78-2,Cl[SiH](Cl)Cl,416.67,0.005091273318356381
10025-78-2,Cl[SiH](Cl)Cl,444.44,0.002583580930061952
10025-78-2,Cl[SiH](Cl)Cl,472.22,0.0003969681203922363
10026-04-7,[Si](Cl)(Cl)(Cl)Cl,250.0,0.02420951897781392
10026-04-7,[Si](Cl)(Cl)(Cl)Cl,277.78,0.02080961362842903
10026-04-7,[Si](Cl)(Cl)(Cl)Cl,305.56,0.017540482535641194
10026-04-7,[Si](Cl)(Cl)(Cl)Cl,333.33,0.014414136126378105
10026-04-7,[Si](Cl)(Cl)(Cl)Cl,361.11,0.011445760776356464
10026-04-7,[Si](Cl)(Cl)(Cl)Cl,388.89,0.008655325090178807
10026-04-7,[Si](Cl)(Cl)(Cl)Cl,416.67,0.006070562863526058
10026-04-7,[Si](Cl)(Cl)(Cl)Cl,444.44,0.0037333680555924537
10026-04-7,[Si](Cl)(Cl)(Cl)Cl,472.22,0.0017170455343875326
