CAS,SMILES,T_K,viscosity_Pas
100-02-7,C1=CC(=CC=C1[N+](=O)[O-])O,388.89,0.003730177603126155
100-02-7,C1=CC(=CC=C1[N+](=O)[O-])O,416.67,0.0022986378193961834
100-02-7,C1=CC(=CC=C1[N+](=O)[O-])O,444.44,0.0015190709530768412
100-02-7,C1=CC(=CC=C1[N+](=O)[O-])O,472.22,0.00106148337764555
100-02-7,C1=CC(=CC=C1[N+](=O)[O-])O,500.0,0.0007760258543588705
100-41-4,CCC1=CC=CC=C1,250.0,0.0013005755701726383
100-41-4,CCC1=CC=CC=C1,277.78,0.000823418763972991
100-41-4,CCC1=CC=CC=C1,305.56,0.0005795857621243747
100-41-4,CCC1=CC=CC=C1,333.33,0.00043503768961932577
100-41-4,CCC1=CC=CC=C1,361.11,0.0003406047933885419
100-41-4,CCC1=CC=CC=C1,388.89,0.00027236154128248286
100-41-4,CCC1=CC=CC=C1,416.67,8.981362424698384e-06
100-41-4,CCC1=CC=CC=C1,444.44,9.581966698935993e-06
100-41-4,CCC1=CC=CC=C1,472.22,1.0183217733218888e-05
100-41-4,CCC1=CC=CC=C1,500.0,1.0783475931334207e-05
100-42-5,C=CC1=CC=CC=C1,250.0,0.0016279160826488301
100-42-5,C=CC1=CC=CC=C1,277.78,0.0009608954053532998
100-42-5,C=CC1=CC=CC=C1,305.56,0.0006338067806961507
100-42-5,C=CC1=CC=CC=C1,333.33,0.00045378779737199583
100-42-5,C=CC1=CC=CC=C1,361.11,0.00034569268779544726
100-42-5,C=CC1=CC=CC=C1,388.89,0.0002762440017401587
100-42-5,C=CC1=CC=CC=C1,416.67,0.00022913661906137848
100-42-5,C=CC1=CC=CC=C1,444.44,9.446388958530214e-06
100-42-5,C=CC1=CC=CC=C1,472.22,9.986527218751602e-06
100-42-5,C=CC1=CC=CC=C1,500.0,1.0515656884471744e-05
100-44-7,C1=CC=C(C=C1)CCl,472.22,1.0823275925925926e-05
100-44-7,C1=CC=C(C=C1)CCl,500.0,1.14606e-05
100-46-9,C1=CC=C(C=C1)CN,277.78,0.0024167438376577264
100-46-9,C1=CC=C(C=C1)CN,305.56,0.0014285607939640973
100-46-9,C1=CC=C(C=C1)CN,333.33,0.0009344168594528584
100-46-9,C1=CC=C(C=C1)CN,361.11,0.0006593210174297156
100-46-9,C1=CC=C(C=C1)CN,388.89,0.0004925627371241952
100-46-9,C1=CC=C(C=C1)CN,416.67,0.00038455803198659215
100-46-9,C1=CC=C(C=C1)CN,444.44,0.00031079595642864667
100-46-9,C1=CC=C(C=C1)CN,472.22,1.0868611524202643e-05
100-46-9,C1=CC=C(C=C1)CN,500.0,1.1558667114132587e-05
100-47-0,C1=CC=C(C=C1)C#N,277.78,0.0017177854315566282
100-47-0,C1=CC=C(C=C1)C#N,305.56,0.0011067599722053394
100-47-0,C1=CC=C(C=C1)C#N,333.33,0.0007752089025061001
100-47-0,C1=CC=C(C=C1)C#N,361.11,0.000578553372914829
100-47-0,C1=CC=C(C=C1)C#N,388.89,0.00045356160868253943
100-47-0,C1=CC=C(C=C1)C#N,416.67,0.0003696344646837176
100-47-0,C1=CC=C(C=C1)C#N,444.44,0.0003107049965885191
100-47-0,C1=CC=C(C=C1)C#N,472.22,1.127897596079453e-05
100-47-0,C1=CC=C(C=C1)C#N,500.0,1.1948006424984295e-05
100-48-1,C1=CN=CC=C1C#N,361.11,0.0004724139159416704
100-48-1,C1=CN=CC=C1C#N,388.89,0.0004144336307607839
100-48-1,C1=CN=CC=C1C#N,416.67,0.00036997011096575276
100-48-1,C1=CN=CC=C1C#N,444.44,0.000334982669411476
100-48-1,C1=CN=CC=C1C#N,472.22,0.0003068361796910996
100-48-1,C1=CN=CC=C1C#N,500.0,0.0002837383681941633
100-51-6,C1=CC=C(C=C1)CO,277.78,0.010012901958512985
100-51-6,C1=CC=C(C=C1)CO,305.56,0.004203785183295579
100-51-6,C1=CC=C(C=C1)CO,333.33,0.0020396027308678664
100-51-6,C1=CC=C(C=C1)CO,361.11,0.0011060535857170257
100-51-6,C1=CC=C(C=C1)CO,388.89,0.0006545909733135729
100-51-6,C1=CC=C(C=C1)CO,416.67,0.00041544466082979947
100-51-6,C1=CC=C(C=C1)CO,444.44,0.0002790382269944612
100-51-6,C1=CC=C(C=C1)CO,472.22,0.00019631893388262535
100-51-6,C1=CC=C(C=C1)CO,500.0,1.1117169972265899e-05
100-52-7,C1=CC=C(C=C1)C=O,250.0,0.003330238919264402
100-52-7,C1=CC=C(C=C1)C=O,277.78,0.0019202573282792695
100-52-7,C1=CC=C(C=C1)C=O,305.56,0.0012340967313870135
100-52-7,C1=CC=C(C=C1)C=O,333.33,0.0008598853639243626
100-52-7,C1=CC=C(C=C1)C=O,361.11,0.0006372036231217966
100-52-7,C1=CC=C(C=C1)C=O,388.89,0.0004953004568490151
100-52-7,C1=CC=C(C=C1)C=O,416.67,0.00039974937966197154
100-52-7,C1=CC=C(C=C1)C=O,444.44,0.0003324038353784807
100-52-7,C1=CC=C(C=C1)C=O,472.22,1.0454015432098765e-05
100-52-7,C1=CC=C(C=C1)C=O,500.0,1.10655e-05
100-53-8,C1=CC=C(C=C1)CS,250.0,0.002203767514037003
100-53-8,C1=CC=C(C=C1)CS,277.78,0.00129239415481161
100-53-8,C1=CC=C(C=C1)CS,305.56,0.0008351621695272334
100-53-8,C1=CC=C(C=C1)CS,333.33,0.0005804383672354258
100-53-8,C1=CC=C(C=C1)CS,361.11,0.00042663075640408693
100-53-8,C1=CC=C(C=C1)CS,388.89,0.0003276696244165825
100-53-8,C1=CC=C(C=C1)CS,416.67,0.00026065123391667025
100-53-8,C1=CC=C(C=C1)CS,444.44,0.00021330676309197144
100-53-8,C1=CC=C(C=C1)CS,472.22,0.00017863886147802732
100-53-8,C1=CC=C(C=C1)CS,500.0,1.0551509914526103e-05
100-54-9,C1=CC(=CN=C1)C#N,333.33,0.0014630048374980169
100-54-9,C1=CC(=CN=C1)C#N,361.11,0.0009888133070635628
100-54-9,C1=CC(=CN=C1)C#N,388.89,0.0007287204099908353
100-54-9,C1=CC(=CN=C1)C#N,416.67,0.0005689491490661452
100-54-9,C1=CC(=CN=C1)C#N,444.44,0.0004587146179168216
