compound_name,formula,has_viscosity,viscosity_points,has_surface_tension,surface_tension_points,dataset_ids
"(((oxybis(ethane-2,1-diyl))bis(oxy))bis(ethane-2,1-diyl))bis(diethylsulfonium) bis((trifluoromethyl) sulfonyl) amide",C20H36F12N2O11S6,True,1,False,0,twfLO
"(((oxybis(ethane-2,1-diyl))bis(oxy))bis(ethane-2,1-diyl))bis(diethylsulfonium) dicyanamide",C20H36N6O3S2,True,1,False,0,WoANy
"((ethane-1,2-diylbis(oxy))bis(ethane-2,1-diyl))bis(diethylsulfonium) bis((trifluoromethyl)sulfonyl) amide",C18H32F12N2O10S6,True,1,False,0,zFoiD
"((ethane-1,2-diylbis(oxy))bis(ethane-2,1-diyl))bis(diethylsulfonium) dicyanamide",C18H32N6O2S2,True,1,False,0,EOLGv
"(1R,2S)-(-)-dimethylephedrinium bis(trifluoromethylsulfonyl)amide",C14H20F6N2O5S2,True,1,False,0,XrVum
(2-ethoxyethyl)tributylphosphonium bis(trifluoromethanesulfonyl)imide,C18H36F6NO5PS2,True,7,False,0,tJLLb
(2-ethoxyethyl)tributylphosphonium methanesulfonate,C17H39O4PS,True,8,False,0,RHEEF
(2-ethoxyethyl)tributylphosphonium trifluoroacetate,C18H36F3O3P,True,8,False,0,pJLBJ
(2-ethoxyethyl)tributylphosphonium trifluoromethanesulfonate,C17H36F3O4PS,True,8,False,0,JnFPo
(2-ethoxyethyl)triethylphosphonium bis(trifluoromethanesulfonyl)imide,C12H24F6NO5PS2,True,8,False,0,ygggq
"(3,6,9,12-tetraoxatetradecane-1,14-diyl)bis(diethylsulfonium) bis((trifluoromethyl)sulfonyl)amide",C22H40F12N2O12S6,True,1,False,0,nZKBV
"(3,6,9,12-tetraoxatetradecane-1,14-diyl)bis(diethylsulfonium) dicyanamide",C22H40N6O4S2,True,1,False,0,kWcBc
(3-aminopropyl)tributylphosphonium L-alaninate,C18H41N2O2P,True,12,False,0,kkvbI;tCqUx
(3-aminopropyl)tributylphosphonium L-leucinate,C21H47N2O2P,True,6,False,0,jrVbV
(3-aminopropyl)tributylphosphonium L-valinate,C20H45N2O2P,True,12,False,0,fOeBS;pDJkw
(3-carboxypropyl)trimethylammonium bis((trifluoromethyl)sulfonyl)amide,C9H16F6N2O6S2,True,7,False,0,WUdsh
(S)-(2-methoxycarbonyl)pyrrolidinium bis(trifluoromethylsulfonyl)amide,C8H12F6N2O6S2,True,1,False,0,AuvFN
"(S)-1-((2,2-dimethyl-1,3-dioxolan-4-yl)methyl)-1-methylpyrrolidinium bis((trifluoromethyl)sulfonyl)amide",C13H22F6N2O6S2,True,7,False,0,ESGgh
"(S)-1-(2,3-dihydroxypropyl)-1-methylpyrrolidinium bis((trifluoromethyl)sulfonyl)amide",C10H18F6N2O6S2,True,7,False,0,mLQBR
(buten-1-yl)triethylphosphonium 4-nitropyrazolide,C13H24N3O2P,True,5,False,0,bTSwl
"(ethoxymethyl)triethylphosphonium 1,2,3-triazolide",C11H24N3OP,True,2,False,0,sSuis
"(oxybis(ethane-2,1-diyl)) bis(diethylsulfonium)dicyanamide",C16H28N6OS2,True,1,False,0,ekRhx
"(oxybis(ethane-2,1-diyl))bis(diethyl sulfonium) bis((trifluoromethyl)sulfonyl) amide",C16H28F12N2O9S6,True,1,False,0,ZoFOg
"1,1'-(((oxybis(ethane-2,1-diyl))bis(oxy))bis(ethane-2,1-diyl))bis(1-methylpyrrolidin-1-ium) dicyanamide",C22H38N8O3,True,1,False,0,Daehr
"1,1'-((ethane-1,2-diylbis(oxy))bis(ethane-2,1-diyl))bis(1-methylpyrrolidin-1-ium) bis((trifluoromethyl)sulfonyl) amide",C20H34F12N4O10S4,True,1,False,0,ekTZz
"1,1'-((ethane-1,2-diylbis(oxy))bis(ethane-2,1-diyl))bis(1-methylpyrrolidin-1-ium) dicyanamide",C20H34N8O2,True,1,False,0,sDwzO
"1,1'-(3,6,9,12-tetraoxatetradecane-1,14-diyl)bis(1-methylpyrrolidin-1-ium) dicyanamide",C24H42N8O4,True,1,False,0,beWOi
"1,1'-(butane-1,4-diyl)bis(3-methylimidazolium) imidazole-2-carboxylate (1:2)",C20H26N8O4,True,1,False,0,QrYcC
"1,1'-(decane-1,10-diyl)bis(3-(3-((3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl)thio)propyl)-1H-imidazol-3-ium) bis((trifluoromethyl)sulfonyl)imide",C46H46F46N6O8S6,True,6,True,1,kgWxh;BNIrD
"1,1'-(dodecane-1,12-diyl)bis(3-methyl-1H-imidazolium) tetrafluoroborate",C20H36B2F8N4,False,0,True,1,NJzdq
"1,1'-(ethane-1,2-diyl)bis(3-methylimidazolium) imidazole-2-carboxylate (1:2)",C18H22N8O4,True,1,False,0,nlzXF
"1,1,3,3-tetramethyl-4-butylguanidinium bromotrichloroferrate(III)",C9H22BrCl3FeN3,True,10,False,0,uTzhn
"1,1,3,3-tetramethyl-4-ethylguanidinium bromotrichloroferrate(III)",C7H18BrCl3FeN3,True,10,False,0,WqNFK
"1,1,3,3-tetramethyl-4-hexylguanidinium bromotrichloroferrate(III)",C11H26BrCl3FeN3,True,10,False,0,TBZwm
"1,1,3,3-tetramethyl-4-octylguanidinium bromotrichloroferrate(III)",C13H30BrCl3FeN3,True,10,False,0,JtvSx
"1,1,3,3-tetramethylguanidinium bis(perfluoroethanesulfonyl)imide",C9H14F10N4O4S2,True,9,False,0,WeZho
"1,1,3,3-tetramethylguanidinium heptanoate",C12H27N3O2,True,11,False,0,AXdBX
"1,1,3,3-tetramethylguanidinium hexanoate",C11H25N3O2,True,11,False,0,YAYAq
"1,1,3,3-tetramethylguanidinium imidazol-1-ide",C8H17N5,True,6,False,0,gkiHg;TOOOk
"1,1,3,3-tetramethylguanidinium lactate",C8H19N3O3,True,7,False,0,XvlLC;TZICf
"1,1,3,3-tetramethylguanidinium octanoate",C13H29N3O2,True,11,False,0,BzQsV
"1,1,3,3-tetramethylguanidinium trifluoromethanesulfonate",C6H14F3N3O3S,True,1,False,0,zdcmR
"1,1-(((oxybis(ethane-2,1-diyl))bis(oxy))bis(ethane-2,1-diyl))bis(1-methylpyrrolidin-1-ium) bis((trifluoromethyl)sulfonyl) amide",C22H38F12N4O11S4,True,1,False,0,kpNrF
"1,1-(3,6,9,12-tetraoxatetradecane-1,14-diyl)bis(1-methylpyrrolidin-1-ium) bis((trifluoromethyl)sulfonyl)amide",C24H42F12N4O12S4,True,1,False,0,LGFsV
"1,1-dimethylpyrrolidinium ((perfluorobutyl)sulfonyl)((trifluoromethyl)sulfonyl)amide",C11H14F12N2O4S2,True,1,False,0,NpOYM
"1,2-diethylpyridin-1-ium bis((trifluoromethyl)sulfonyl)imide",C11H14F6N2O4S2,True,15,False,0,ORJCW
"1,2-diethylpyridinium ethylsulfate",C11H19NO4S,True,10,False,0,xncNp
"1,2-dimethyl-3-(4'-vinylbenzyl)imidazolium bis(trifluoromethanesulfonyl)amide",C16H17F6N3O4S2,True,1,False,0,jIvpn
"1,2-dimethyl-3-pentylimidazolium bis((trifluoromethyl)sulfonyl)imide",C12H19F6N3O4S2,False,0,True,9,yVbUG
"1,2-dimethyl-3-propylimidazolium 4-nitropyrazolide",C11H17N5O2,True,13,False,0,Hhosm
"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",C10H15F6N3O4S2,True,27,True,1,fFWsv;Uozyw;uKDhp;WLUeu;TBzCO;PGwTZ
"1,2-dimethyl-3-propylimidazolium hexafluorophosphate",C8H15F6N2P,True,1,False,0,fMVHO
"1,2-dimethyl-3-propylimidazolium tetrafluoroborate",C8H15BF4N2,True,8,False,0,zMBnE
"1,2-dimethyl-3-propylimidazolium thiocyanate",C9H15N3S,True,8,True,1,yeyGa;cHyfm
"1,3,4,6,7,8-hexahydro-1-methyl-2H-pyrimido[1,2-a]pyrimidonium bis(pentafluoroethyl)sulfonamide",C12H16F10N4O4S2,True,10,False,0,bOGDU
"1,3-dibutyl-1H-imidazolium bis((trifluoromethyl)sulfonyl)amide",C13H21F6N3O4S2,True,27,True,1,GGLOg;mGblA;rRoLF
"1,3-dibutyl-1H-imidazolium methanesulfonate",C12H24N2O3S,True,1,False,0,zazNe
"1,3-dibutylimidazolium bromide",C11H21BrN2,True,1,False,0,hBmIj
"1,3-dibutylimidazolium bromotrichloroferrate(III)",C11H21BrCl3FeN2,True,1,True,1,LkwCq;WdWPQ
"1,3-dibutylimidazolium tetrafluoroborate",C11H21BF4N2,True,1,False,0,lQbya
"1,3-didecyl-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)amide",C25H45F6N3O4S2,True,14,False,0,mszvt
"1,3-didecylimidazolium bromotrichloroferrate(III)",C23H45BrCl3FeN2,True,1,True,1,QsZIF;JasTH
"1,3-didodecylimidazolium bis(trifluoromethylsulfonyl)imide",C29H53F6N3O4S2,True,9,False,0,XNvGS
"1,3-didodecylimidazolium bromotrichloroferrate(III)",C27H53BrCl3FeN2,True,1,True,1,YiFaA;PaVFp
"1,3-diethyl-1H-imidazol-3-ium diethyl phosphate",C11H23N2O4P,False,0,True,1,VMhEa
"1,3-diethyl-4-methylimidazolium bis(trifluoromethylsulfonyl)amide",C10H15F6N3O4S2,True,1,False,0,fhMrG
"1,3-diethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",C9H13F6N3O4S2,True,17,True,6,PkdJY;aAHGj;oEXXZ
"1,3-diethylimidazolium ethyl sulfate",C9H18N2O4S,True,11,True,7,JCRoM;MFttK
"1,3-diethylimidazolium trifluoroacetate",C9H13F3N2O2,True,1,False,0,iumub
"1,3-diethylimidazolium trifluoromethanesulfonate",C8H13F3N2O3S,True,1,False,0,jFXxM
"1,3-diheptyl-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)amide",C19H33F6N3O4S2,True,18,False,0,EZwyv
"1,3-dihexyl-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)amide",C17H29F6N3O4S2,True,18,False,0,vhgfg
"1,3-dihexylimidazolium bromotrichloroferrate(III)",C15H29BrCl3FeN2,True,1,True,1,zLDOb;nagJN
