Temperature_K,Viscosity_uPas,SurfaceTension_Nm,Density_kgm3
24.556,171.36,0.0056271,1249.7
24.819,166.30,0.0055394,1245.3
25.063,161.78,0.0054577,1241.1
25.293,157.72,0.0053812,1237.2
25.509,154.03,0.0053092,1233.5
25.714,150.66,0.0052411,1230.0
25.908,147.56,0.0051765,1226.7
26.094,144.70,0.0051149,1223.5
26.271,142.04,0.0050561,1220.4
26.441,139.56,0.0049998,1217.5
26.604,137.24,0.0049457,1214.6
26.761,135.06,0.0048937,1211.8
26.913,133.01,0.0048435,1209.2
27.059,131.07,0.0047951,1206.6
27.201,129.23,0.0047483,1204.1
27.338,127.49,0.0047030,1201.6
27.472,125.84,0.0046591,1199.3
27.601,124.26,0.0046165,1196.9
27.727,122.75,0.0045750,1194.7
27.850,121.31,0.0045347,1192.5
27.969,119.93,0.0044955,1190.3
28.086,118.61,0.0044572,1188.2
28.199,117.34,0.0044199,1186.1
28.310,116.12,0.0043835,1184.1
28.419,114.94,0.0043479,1182.1
28.525,113.81,0.0043131,1180.1
28.629,112.71,0.0042791,1178.2
28.731,111.66,0.0042458,1176.3
28.831,110.64,0.0042132,1174.5
28.929,109.65,0.0041812,1172.7
29.025,108.69,0.0041499,1170.9
29.120,107.76,0.0041192,1169.1
29.212,106.86,0.0040890,1167.4
29.303,105.99,0.0040594,1165.7
29.393,105.14,0.0040303,1164.0
29.481,104.32,0.0040017,1162.3
29.567,103.51,0.0039736,1160.7
29.653,102.73,0.0039460,1159.0
29.736,101.97,0.0039188,1157.4
29.819,101.23,0.0038921,1155.9
29.900,100.51,0.0038658,1154.3
29.980,99.801,0.0038399,1152.8
30.059,99.113,0.0038143,1151.2
30.137,98.441,0.0037892,1149.7
30.214,97.784,0.0037644,1148.2
30.290,97.142,0.0037400,1146.8
30.365,96.515,0.0037159,1145.3
30.439,95.901,0.0036921,1143.9
30.511,95.300,0.0036687,1142.4
30.583,94.712,0.0036455,1141.0
30.654,94.136,0.0036227,1139.6
30.725,93.572,0.0036002,1138.2
30.794,93.019,0.0035779,1136.9
30.862,92.477,0.0035560,1135.5
30.930,91.945,0.0035343,1134.1
30.997,91.424,0.0035128,1132.8
31.063,90.912,0.0034916,1131.5
31.129,90.410,0.0034707,1130.2
31.194,89.917,0.0034500,1128.9
31.258,89.432,0.0034295,1127.6
31.321,88.956,0.0034093,1126.3
31.384,88.489,0.0033893,1125.0
31.446,88.029,0.0033695,1123.8
31.508,87.577,0.0033499,1122.5
31.568,87.133,0.0033306,1121.3
31.629,86.695,0.0033114,1120.0
31.688,86.265,0.0032924,1118.8
31.748,85.842,0.0032737,1117.6
31.806,85.425,0.0032551,1116.4
31.864,85.015,0.0032367,1115.2
31.922,84.611,0.0032185,1114.0
31.979,84.213,0.0032004,1112.8
32.035,83.821,0.0031826,1111.6
32.091,83.435,0.0031649,1110.4
32.147,83.054,0.0031474,1109.3
32.202,82.679,0.0031300,1108.1
32.256,82.309,0.0031128,1107.0
32.310,81.945,0.0030957,1105.8
32.364,81.585,0.0030789,1104.7
32.417,81.230,0.0030621,1103.6
32.470,80.880,0.0030455,1102.5
32.522,80.535,0.0030291,1101.3
32.574,80.194,0.0030128,1100.2
32.626,79.857,0.0029966,1099.1
32.677,79.525,0.0029806,1098.0
32.728,79.197,0.0029647,1096.9
32.778,78.874,0.0029489,1095.9
32.828,78.554,0.0029333,1094.8
32.877,78.238,0.0029177,1093.7
32.927,77.926,0.0029024,1092.6
32.976,77.618,0.0028871,1091.6
33.024,77.313,0.0028720,1090.5
33.072,77.012,0.0028569,1089.5
33.120,76.714,0.0028420,1088.4
33.168,76.420,0.0028272,1087.4
33.215,76.130,0.0028126,1086.3
33.262,75.842,0.0027980,1085.3
33.308,75.558,0.0027835,1084.3
33.354,75.277,0.0027692,1083.3
33.400,74.998,0.0027549,1082.2
33.446,74.723,0.0027408,1081.2
33.491,74.451,0.0027268,1080.2
33.536,74.182,0.0027128,1079.2
33.581,73.916,0.0026990,1078.2
33.625,73.652,0.0026852,1077.2
33.669,73.391,0.0026716,1076.2
33.713,73.133,0.0026580,1075.2
33.757,72.877,0.0026446,1074.2
33.800,72.624,0.0026312,1073.2
