CAS,name,InChI,T_K,P_kPa,surface_tension_Nm
,iridium,InChI=1S/Ir,2373,,2.289
,iridium,InChI=1S/Ir,2423,,2.28
,iridium,InChI=1S/Ir,2473,,2.272
,iridium,InChI=1S/Ir,2523,,2.263
,iridium,InChI=1S/Ir,2573,,2.255
,iridium,InChI=1S/Ir,2623,,2.246
,iridium,InChI=1S/Ir,2673,,2.238
,iridium,InChI=1S/Ir,2723,,2.229
,iridium,InChI=1S/Ir,2773,,2.221
,iridium,InChI=1S/Ir,2833,,2.211
,"1,1,1,2,3,3,3-heptafluoropropane","InChI=1S/C3HF7/c4-1(2(5,6)7)3(8,9)10/h1H",253.15,,0.01226
,"1,1,1,2,3,3,3-heptafluoropropane","InChI=1S/C3HF7/c4-1(2(5,6)7)3(8,9)10/h1H",263.15,,0.01096
,"1,1,1,2,3,3,3-heptafluoropropane","InChI=1S/C3HF7/c4-1(2(5,6)7)3(8,9)10/h1H",273.15,,0.00976
,"1,1,1,2,3,3,3-heptafluoropropane","InChI=1S/C3HF7/c4-1(2(5,6)7)3(8,9)10/h1H",283.15,,0.00862
,"1,1,1,2,3,3,3-heptafluoropropane","InChI=1S/C3HF7/c4-1(2(5,6)7)3(8,9)10/h1H",293.15,,0.00746
,"1,1,1,2,3,3,3-heptafluoropropane","InChI=1S/C3HF7/c4-1(2(5,6)7)3(8,9)10/h1H",303.15,,0.00631
,"1,1,1,2,3,3,3-heptafluoropropane","InChI=1S/C3HF7/c4-1(2(5,6)7)3(8,9)10/h1H",313.15,,0.00525
,"1,1,1,2,3,3,3-heptafluoropropane","InChI=1S/C3HF7/c4-1(2(5,6)7)3(8,9)10/h1H",323.15,,0.00423
,"1,1,1,2,3,3,3-heptafluoropropane","InChI=1S/C3HF7/c4-1(2(5,6)7)3(8,9)10/h1H",333.15,,0.00323
,"1,1,1,2,3,3,3-heptafluoropropane","InChI=1S/C3HF7/c4-1(2(5,6)7)3(8,9)10/h1H",343.15,,0.0023
,"1,1,1,2,3,3,3-heptafluoropropane","InChI=1S/C3HF7/c4-1(2(5,6)7)3(8,9)10/h1H",353.15,,0.00142
,"1,1,1,2,3,3,3-heptafluoropropane","InChI=1S/C3HF7/c4-1(2(5,6)7)3(8,9)10/h1H",358.15,,0.00102
,"1,1,1,2,3,3,3-heptafluoropropane","InChI=1S/C3HF7/c4-1(2(5,6)7)3(8,9)10/h1H",363.15,,0.000644
,"1,1,1,2,3,3,3-heptafluoropropane","InChI=1S/C3HF7/c4-1(2(5,6)7)3(8,9)10/h1H",368.15,,0.000314
,"1,1,1,2,3,3,3-heptafluoropropane","InChI=1S/C3HF7/c4-1(2(5,6)7)3(8,9)10/h1H",370.15,,0.0002
,"1,1,1,2,3,3,3-heptafluoropropane","InChI=1S/C3HF7/c4-1(2(5,6)7)3(8,9)10/h1H",371.15,,0.000145
,"1,1,1,2,3,3,3-heptafluoropropane","InChI=1S/C3HF7/c4-1(2(5,6)7)3(8,9)10/h1H",372.15,,9.7e-05
,tetrahydrofuran,InChI=1S/C4H8O/c1-2-4-5-3-1/h1-4H2,298.15,,0.02704
,tetrahydrofuran,InChI=1S/C4H8O/c1-2-4-5-3-1/h1-4H2,313.15,,0.02505
,tetrahydropyran,InChI=1S/C5H10O/c1-2-4-6-5-3-1/h1-5H2,298.15,,0.02729
,tetrahydropyran,InChI=1S/C5H10O/c1-2-4-6-5-3-1/h1-5H2,313.15,,0.02539
,1-chlorobutane,"InChI=1S/C4H9Cl/c1-2-3-4-5/h2-4H2,1H3",298.15,,0.02329
,1-chlorobutane,"InChI=1S/C4H9Cl/c1-2-3-4-5/h2-4H2,1H3",313.15,,0.02158
,2-chlorobutane,"InChI=1S/C4H9Cl/c1-3-4(2)5/h4H,3H2,1-2H3",298.15,,0.02193
,2-chlorobutane,"InChI=1S/C4H9Cl/c1-3-4(2)5/h4H,3H2,1-2H3",313.15,,0.01933
,1-chloro-2-methylpropane,"InChI=1S/C4H9Cl/c1-4(2)3-5/h4H,3H2,1-2H3",298.15,,0.0218
,1-chloro-2-methylpropane,"InChI=1S/C4H9Cl/c1-4(2)3-5/h4H,3H2,1-2H3",313.15,,0.01918
,2-chloro-2-methylpropane,"InChI=1S/C4H9Cl/c1-4(2,3)5/h1-3H3",298.15,,0.0189
,2-chloro-2-methylpropane,"InChI=1S/C4H9Cl/c1-4(2,3)5/h1-3H3",313.15,,0.01698
,acetonitrile,InChI=1S/C2H3N/c1-2-3/h1H3,278.15,,0.0305
,acetonitrile,InChI=1S/C2H3N/c1-2-3/h1H3,283.15,,0.0301
,acetonitrile,InChI=1S/C2H3N/c1-2-3/h1H3,288.15,,0.0297
,acetonitrile,InChI=1S/C2H3N/c1-2-3/h1H3,293.15,,0.0293
,acetonitrile,InChI=1S/C2H3N/c1-2-3/h1H3,298.15,,0.0289
,acetonitrile,InChI=1S/C2H3N/c1-2-3/h1H3,303.15,,0.0285
,acetonitrile,InChI=1S/C2H3N/c1-2-3/h1H3,308.15,,0.0281
,acetonitrile,InChI=1S/C2H3N/c1-2-3/h1H3,313.15,,0.0277
,propan-1-ol,"InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",278.15,,0.0249
,propan-1-ol,"InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",283.15,,0.0245
,propan-1-ol,"InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",288.15,,0.0241
,propan-1-ol,"InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",293.15,,0.0237
,propan-1-ol,"InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",298.15,,0.0233
,propan-1-ol,"InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",303.15,,0.0229
,propan-1-ol,"InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",308.15,,0.0225
,propan-1-ol,"InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",313.15,,0.0222
,water,InChI=1S/H2O/h1H2,303.15,,0.07154
,water,InChI=1S/H2O/h1H2,313.15,,0.06896
,water,InChI=1S/H2O/h1H2,323.15,,0.06783
,water,InChI=1S/H2O/h1H2,333.15,,0.06616
,water,InChI=1S/H2O/h1H2,343.15,,0.0658
,water,InChI=1S/H2O/h1H2,303.15,,0.07158
,water,InChI=1S/H2O/h1H2,313.15,,0.06986
,water,InChI=1S/H2O/h1H2,323.15,,0.06757
,water,InChI=1S/H2O/h1H2,333.15,,0.06639
