canonical_smiles,T_K,value,source
CC#N,313.15,0.0277,thermoml
CCCO,278.15,0.0249,thermoml
CCCO,283.15,0.0245,thermoml
CCCO,288.15,0.0241,thermoml
CCCO,293.15,0.0237,thermoml
CCCO,298.15,0.0233,thermoml
CCCO,303.15,0.0229,thermoml
CCCO,308.15,0.0225,thermoml
CC(C)(C)Cl,313.15,0.01698,thermoml
CC#N,278.15,0.0305,thermoml
CC#N,283.15,0.0301,thermoml
CC#N,288.15,0.0297,thermoml
CC#N,293.15,0.0293,thermoml
CC#N,298.15,0.0289,thermoml
CC#N,303.15,0.0285,thermoml
CC#N,308.15,0.0281,thermoml
CCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,328.15,0.0338,thermoml
CCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,333.15,0.0336,thermoml
CCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,338.15,0.0334,thermoml
CCC,283.16,0.008811,thermoml
CCC,288.174,0.008134,thermoml
CCC,293.127,0.007568,thermoml
CCC,298.1,0.006915,thermoml
CCC,303.12,0.006349,thermoml
CCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,288.15,0.0351,thermoml
CCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,293.15,0.0349,thermoml
CCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,298.15,0.0348,thermoml
CCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,303.15,0.0346,thermoml
CCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,308.15,0.0344,thermoml
CCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,313.15,0.0342,thermoml
CCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,318.15,0.0341,thermoml
CCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,323.15,0.034,thermoml
CCC(C)Cl,313.15,0.01933,thermoml
CC(C)CCl,298.15,0.0218,thermoml
CC(C)CCl,313.15,0.01918,thermoml
CC(C)(C)Cl,298.15,0.0189,thermoml
CC(C)O,293.2,0.0214,thermoml
CC(C)O,303.3,0.0206,thermoml
CC(C)O,313.2,0.0198,thermoml
CC(C)O,323.3,0.019,thermoml
FC(C(F)(F)F)C(F)(F)F,372.15,9.7e-05,thermoml
C1CCOC1,298.15,0.02704,thermoml
C1CCOC1,313.15,0.02505,thermoml
C1CCOCC1,298.15,0.02729,thermoml
C1CCOCC1,313.15,0.02539,thermoml
CCCCCl,298.15,0.02329,thermoml
CCCCCl,313.15,0.02158,thermoml
CCC(C)Cl,298.15,0.02193,thermoml
FC(C(F)(F)F)C(F)(F)F,333.15,0.00323,thermoml
FC(C(F)(F)F)C(F)(F)F,343.15,0.0023,thermoml
FC(C(F)(F)F)C(F)(F)F,353.15,0.00142,thermoml
FC(C(F)(F)F)C(F)(F)F,358.15,0.00102,thermoml
FC(C(F)(F)F)C(F)(F)F,363.15,0.000644,thermoml
FC(C(F)(F)F)C(F)(F)F,368.15,0.000314,thermoml
FC(C(F)(F)F)C(F)(F)F,370.15,0.0002,thermoml
FC(C(F)(F)F)C(F)(F)F,371.15,0.000145,thermoml
CCCO,313.15,0.0222,thermoml
FC(C(F)(F)F)C(F)(F)F,263.15,0.01096,thermoml
FC(C(F)(F)F)C(F)(F)F,273.15,0.00976,thermoml
FC(C(F)(F)F)C(F)(F)F,283.15,0.00862,thermoml
FC(C(F)(F)F)C(F)(F)F,293.15,0.00746,thermoml
FC(C(F)(F)F)C(F)(F)F,303.15,0.00631,thermoml
FC(C(F)(F)F)C(F)(F)F,313.15,0.00525,thermoml
FC(C(F)(F)F)C(F)(F)F,323.15,0.00423,thermoml
CCCCn1cc[n+](C)c1.[I-],308.0,0.0525,thermoml
CCCCn1cc[n+](C)c1.[I-],313.0,0.0521,thermoml
CCCCn1cc[n+](C)c1.[I-],318.0,0.0515,thermoml
CCCCn1cc[n+](C)c1.[I-],323.0,0.0511,thermoml
CCCCn1cc[n+](C)c1.[I-],328.0,0.0507,thermoml
CCCCn1cc[n+](C)c1.[I-],333.0,0.0503,thermoml
CCCCn1cc[n+](C)c1.[I-],338.0,0.0499,thermoml
CCCCn1cc[n+](C)c1.[I-],343.0,0.0494,thermoml
O,283.15,0.0741,thermoml
O,288.15,0.0734,thermoml
O,293.15,0.0726,thermoml
O,298.15,0.0718,thermoml
O,303.15,0.071,thermoml
O,308.15,0.0702,thermoml
CCCCn1cc[n+](C)c1.[I-],298.0,0.0533,thermoml
CCCCn1cc[n+](C)c1.[I-],303.0,0.0529,thermoml
CC(O)CCCCO,303.15,0.0337,thermoml
CC(O)CCCCO,308.15,0.0335,thermoml
CC(O)CCC(C)O,283.15,0.0323,thermoml
CC(O)CCC(C)O,288.15,0.032,thermoml
CC(O)CCC(C)O,293.15,0.0319,thermoml
CC(O)CCC(C)O,298.15,0.0316,thermoml
CC(O)CCC(C)O,303.15,0.0313,thermoml
CC(O)CCC(C)O,308.15,0.031,thermoml
CCCCC(O)CO,293.15,0.0241,thermoml
CCCCC(O)CO,298.15,0.0238,thermoml
CCCCC(O)CO,303.15,0.0236,thermoml
CCCCC(O)CO,308.15,0.0233,thermoml
CC(O)CCCCO,283.15,0.0346,thermoml
CC(O)CCCCO,288.15,0.0343,thermoml
CC(O)CCCCO,293.15,0.0341,thermoml
CC(O)CCCCO,298.15,0.0339,thermoml
CCCCn1cc[n+](C)c1.[Cl-],368.0,0.0436,thermoml
CCCCn1cc[n+](C)c1.[Cl-],373.0,0.0432,thermoml
CCCCn1cc[n+](C)c1.[Cl-],378.0,0.0429,thermoml
CCCCn1cc[n+](C)c1.[Cl-],383.0,0.0425,thermoml
CCCCn1cc[n+](C)c1.[Cl-],388.0,0.0422,thermoml
CCCCn1cc[n+](C)c1.[Cl-],393.0,0.0418,thermoml
CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,298.0,0.0475,thermoml
CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,303.0,0.0472,thermoml
CCCCn1cc[n+](C)c1.[Cl-],328.0,0.0463,thermoml
CCCCn1cc[n+](C)c1.[Cl-],333.0,0.046,thermoml
CCCCn1cc[n+](C)c1.[Cl-],338.0,0.0456,thermoml
CCCCn1cc[n+](C)c1.[Cl-],343.0,0.0453,thermoml
CCCCn1cc[n+](C)c1.[Cl-],348.0,0.045,thermoml
CCCCn1cc[n+](C)c1.[Cl-],353.0,0.0447,thermoml
CCCCn1cc[n+](C)c1.[Cl-],358.0,0.0444,thermoml
CCCCn1cc[n+](C)c1.[Cl-],363.0,0.0439,thermoml
CCCCn1cc[n+](C)c1.[I-],388.0,0.046,thermoml
CCCCn1cc[n+](C)c1.[I-],393.0,0.0456,thermoml
CCCCn1cc[n+](C)c1.[Cl-],298.0,0.0482,thermoml
CCCCn1cc[n+](C)c1.[Cl-],303.0,0.0478,thermoml
CCCCn1cc[n+](C)c1.[Cl-],308.0,0.0475,thermoml
CCCCn1cc[n+](C)c1.[Cl-],313.0,0.0472,thermoml
CCCCn1cc[n+](C)c1.[Cl-],318.0,0.0469,thermoml
CCCCn1cc[n+](C)c1.[Cl-],323.0,0.0466,thermoml
CCCCn1cc[n+](C)c1.[I-],348.0,0.049,thermoml
CCCCn1cc[n+](C)c1.[I-],353.0,0.0486,thermoml
CCCCn1cc[n+](C)c1.[I-],358.0,0.0482,thermoml
CCCCn1cc[n+](C)c1.[I-],363.0,0.0478,thermoml
CCCCn1cc[n+](C)c1.[I-],368.0,0.0474,thermoml
CCCCn1cc[n+](C)c1.[I-],373.0,0.0471,thermoml
CCCCn1cc[n+](C)c1.[I-],378.0,0.0467,thermoml
CCCCn1cc[n+](C)c1.[I-],383.0,0.0463,thermoml
CCCCn1cc[n+](C)c1.F[B-](F)(F)F,328.0,0.0418,thermoml
CCCCn1cc[n+](C)c1.F[B-](F)(F)F,333.0,0.0415,thermoml
CCCCn1cc[n+](C)c1.F[B-](F)(F)F,338.0,0.0412,thermoml
CCCCn1cc[n+](C)c1.F[B-](F)(F)F,343.0,0.0409,thermoml
CCCCn1cc[n+](C)c1.F[B-](F)(F)F,348.0,0.0407,thermoml
CCCCn1cc[n+](C)c1.F[B-](F)(F)F,353.0,0.0404,thermoml
CCCCn1cc[n+](C)c1.F[B-](F)(F)F,358.0,0.0402,thermoml
CCCCn1cc[n+](C)c1.F[B-](F)(F)F,363.0,0.0398,thermoml
CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,388.0,0.0411,thermoml
CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,393.0,0.0408,thermoml
CCCCn1cc[n+](C)c1.F[B-](F)(F)F,298.0,0.0436,thermoml
CCCCn1cc[n+](C)c1.F[B-](F)(F)F,303.0,0.0433,thermoml
CCCCn1cc[n+](C)c1.F[B-](F)(F)F,308.0,0.043,thermoml
CCCCn1cc[n+](C)c1.F[B-](F)(F)F,313.0,0.0427,thermoml
CCCCn1cc[n+](C)c1.F[B-](F)(F)F,318.0,0.0423,thermoml
CCCCn1cc[n+](C)c1.F[B-](F)(F)F,323.0,0.042,thermoml
CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,348.0,0.0438,thermoml
CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,353.0,0.0435,thermoml
CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,358.0,0.0431,thermoml
CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,363.0,0.0428,thermoml
CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,368.0,0.0424,thermoml
CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,373.0,0.0421,thermoml
CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,378.0,0.0417,thermoml
CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,383.0,0.0413,thermoml
CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,308.0,0.0469,thermoml
CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,313.0,0.0465,thermoml
CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,318.0,0.046,thermoml
CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,323.0,0.0456,thermoml
CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,328.0,0.0453,thermoml
CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,333.0,0.0449,thermoml
CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,338.0,0.0446,thermoml
CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,343.0,0.0443,thermoml
CCCCCCn1cc[n+](C)c1.[I-],388.0,0.0368,thermoml
CCCCCCn1cc[n+](C)c1.[I-],393.0,0.0365,thermoml
CCCCCCn1cc[n+](C)c1.[Cl-],298.0,0.0418,thermoml
CCCCCCn1cc[n+](C)c1.[Cl-],303.0,0.0415,thermoml
CCCCCCn1cc[n+](C)c1.[Cl-],308.0,0.0412,thermoml
CCCCCCn1cc[n+](C)c1.[Cl-],313.0,0.0408,thermoml
CCCCCCn1cc[n+](C)c1.[Cl-],318.0,0.0405,thermoml
CCCCCCn1cc[n+](C)c1.[Cl-],323.0,0.0402,thermoml
CCCCCCn1cc[n+](C)c1.[I-],348.0,0.0397,thermoml
CCCCCCn1cc[n+](C)c1.[I-],353.0,0.0394,thermoml
CCCCCCn1cc[n+](C)c1.[I-],358.0,0.039,thermoml
CCCCCCn1cc[n+](C)c1.[I-],363.0,0.0386,thermoml
CCCCCCn1cc[n+](C)c1.[I-],368.0,0.0383,thermoml
CCCCCCn1cc[n+](C)c1.[I-],373.0,0.0379,thermoml
CCCCCCn1cc[n+](C)c1.[I-],378.0,0.0376,thermoml
CCCCCCn1cc[n+](C)c1.[I-],383.0,0.0372,thermoml
CCCCCCn1cc[n+](C)c1.[I-],308.0,0.0427,thermoml
CCCCCCn1cc[n+](C)c1.[I-],313.0,0.0423,thermoml
CCCCCCn1cc[n+](C)c1.[I-],318.0,0.0419,thermoml
CCCCCCn1cc[n+](C)c1.[I-],323.0,0.0415,thermoml
CCCCCCn1cc[n+](C)c1.[I-],328.0,0.0411,thermoml
CCCCCCn1cc[n+](C)c1.[I-],333.0,0.0408,thermoml
CCCCCCn1cc[n+](C)c1.[I-],338.0,0.0404,thermoml
CCCCCCn1cc[n+](C)c1.[I-],343.0,0.0401,thermoml
CCCCn1cc[n+](C)c1.F[B-](F)(F)F,368.0,0.0395,thermoml
CCCCn1cc[n+](C)c1.F[B-](F)(F)F,373.0,0.0392,thermoml
CCCCn1cc[n+](C)c1.F[B-](F)(F)F,378.0,0.039,thermoml
CCCCn1cc[n+](C)c1.F[B-](F)(F)F,383.0,0.0388,thermoml
CCCCn1cc[n+](C)c1.F[B-](F)(F)F,388.0,0.0385,thermoml
CCCCn1cc[n+](C)c1.F[B-](F)(F)F,393.0,0.0382,thermoml
CCCCCCn1cc[n+](C)c1.[I-],298.0,0.0435,thermoml
CCCCCCn1cc[n+](C)c1.[I-],303.0,0.0431,thermoml
CCCCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,348.0,0.0398,thermoml
CCCCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,353.0,0.0395,thermoml
CCCCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,358.0,0.0391,thermoml
CCCCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,363.0,0.0388,thermoml
CCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,298.0,0.0392,thermoml
CCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,303.0,0.0389,thermoml
CCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,308.0,0.0387,thermoml
CCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,313.0,0.0384,thermoml
CCCCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,308.0,0.0426,thermoml
CCCCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,313.0,0.0423,thermoml
CCCCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,318.0,0.0419,thermoml
CCCCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,323.0,0.0415,thermoml
CCCCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,328.0,0.0411,thermoml
CCCCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,333.0,0.0408,thermoml
CCCCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,338.0,0.0405,thermoml
CCCCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,343.0,0.0402,thermoml
CCCCCCn1cc[n+](C)c1.[Cl-],368.0,0.0377,thermoml
CCCCCCn1cc[n+](C)c1.[Cl-],373.0,0.0374,thermoml
CCCCCCn1cc[n+](C)c1.[Cl-],378.0,0.0371,thermoml
CCCCCCn1cc[n+](C)c1.[Cl-],383.0,0.0368,thermoml
CCCCCCn1cc[n+](C)c1.[Cl-],388.0,0.0365,thermoml
CCCCCCn1cc[n+](C)c1.[Cl-],393.0,0.0362,thermoml
CCCCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,298.0,0.0434,thermoml
CCCCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,303.0,0.043,thermoml
CCCCCCn1cc[n+](C)c1.[Cl-],328.0,0.04,thermoml
CCCCCCn1cc[n+](C)c1.[Cl-],333.0,0.0398,thermoml
CCCCCCn1cc[n+](C)c1.[Cl-],338.0,0.0394,thermoml
CCCCCCn1cc[n+](C)c1.[Cl-],343.0,0.0391,thermoml
CCCCCCn1cc[n+](C)c1.[Cl-],348.0,0.0388,thermoml
CCCCCCn1cc[n+](C)c1.[Cl-],353.0,0.0385,thermoml
CCCCCCn1cc[n+](C)c1.[Cl-],358.0,0.0383,thermoml
CCCCCCn1cc[n+](C)c1.[Cl-],363.0,0.0379,thermoml
CCCCCCCCn1cc[n+](C)c1.[Cl-],338.0,0.0297,thermoml
CCCCCCCCn1cc[n+](C)c1.[Cl-],343.0,0.0295,thermoml
CCCCCCCCn1cc[n+](C)c1.[Cl-],348.0,0.0292,thermoml
