canonical_smiles,T_K,value,source
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O1,343.15,0.00048,thermoml
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,313.15,0.0017,thermoml
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,303.15,0.00206,thermoml
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,293.15,0.00245,thermoml
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O1,393.15,0.00032,thermoml
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O1,388.15,0.00033,thermoml
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O1,383.15,0.00034,thermoml
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O1,378.15,0.00035,thermoml
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O1,373.15,0.00037,thermoml
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O1,368.15,0.00039,thermoml
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O1,363.15,0.0004,thermoml
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O1,358.15,0.00042,thermoml
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O1,353.15,0.00044,thermoml
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O1,348.15,0.00046,thermoml
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,323.15,0.00144,thermoml
CCCCCCCC(=O)OCC,358.15,0.000617,thermoml
CCCCCCCC(=O)OCC,348.15,0.000694,thermoml
CCCCCCCC(=O)OCC,338.15,0.000784,thermoml
CCCCCCCC(=O)OCC,328.15,0.000892,thermoml
CCCCCCCC(=O)OCC,318.15,0.001027,thermoml
CCCCCCCC(=O)OCC,308.15,0.001193,thermoml
CCCCCCCC(=O)OCC,298.15,0.001411,thermoml
CCCCCCCC(=O)OCC,288.15,0.001697,thermoml
CCOC(=O)Cc1ccccc1,358.15,0.000908,thermoml
CCOC(=O)Cc1ccccc1,348.15,0.001037,thermoml
CCOC(=O)Cc1ccccc1,338.15,0.001191,thermoml
CCOC(=O)Cc1ccccc1,328.15,0.001383,thermoml
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,313.15,0.00282,thermoml
CC1OC(C)OC(C)O1,288.15,0.001374,thermoml
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,493.15,0.00033,thermoml
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,473.15,0.00039,thermoml
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,453.15,0.00046,thermoml
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,423.15,0.00057,thermoml
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,413.15,0.00069,thermoml
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,393.15,0.00086,thermoml
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,373.15,0.00111,thermoml
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,353.15,0.00148,thermoml
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,343.15,0.00171,thermoml
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,332.95,0.00202,thermoml
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,323.15,0.00238,thermoml
CCOC(=O)Cc1ccccc1,318.15,0.001624,thermoml
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,303.15,0.00348,thermoml
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,298.15,0.00387,thermoml
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,293.15,0.00428,thermoml
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,423.15,0.00041,thermoml
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,403.15,0.00051,thermoml
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,393.15,0.00056,thermoml
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,383.15,0.00063,thermoml
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,373.15,0.00071,thermoml
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,363.15,0.00081,thermoml
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,353.15,0.00092,thermoml
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,343.15,0.00106,thermoml
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,333.15,0.00123,thermoml
CCOC(=O)c1ccccc1,318.15,0.001368,thermoml
CCCC(=O)OCCC(C)C,288.15,0.001317,thermoml
CC(=O)OCc1ccccc1,358.15,0.000826,thermoml
CC(=O)OCc1ccccc1,348.15,0.000941,thermoml
CC(=O)OCc1ccccc1,338.15,0.001059,thermoml
CC(=O)OCc1ccccc1,328.15,0.001229,thermoml
CC(=O)OCc1ccccc1,318.15,0.001432,thermoml
CC(=O)OCc1ccccc1,308.15,0.001703,thermoml
CC(=O)OCc1ccccc1,298.15,0.002056,thermoml
CC(=O)OCc1ccccc1,288.15,0.00253,thermoml
CCOC(=O)c1ccccc1,358.15,0.000784,thermoml
CCOC(=O)c1ccccc1,348.15,0.00089,thermoml
CCOC(=O)c1ccccc1,338.15,0.001016,thermoml
CCOC(=O)c1ccccc1,328.15,0.001169,thermoml
CCCC(=O)OCCC(C)C,298.15,0.001111,thermoml
CCOC(=O)c1ccccc1,308.15,0.001623,thermoml
CCOC(=O)c1ccccc1,298.15,0.001971,thermoml
CCOC(=O)c1ccccc1,288.15,0.002444,thermoml
CCCCCC(=O)OCC,358.15,0.000452,thermoml
CCCCCC(=O)OCC,348.15,0.000504,thermoml
CCCCCC(=O)OCC,338.15,0.000562,thermoml
CCCCCC(=O)OCC,328.15,0.00063,thermoml
CCCCCC(=O)OCC,318.15,0.000711,thermoml
CCCCCC(=O)OCC,308.15,0.000814,thermoml
CCCCCC(=O)OCC,298.15,0.00094,thermoml
CCCCCC(=O)OCC,288.15,0.001102,thermoml
COC(=O)c1ccccc1,358.15,0.00075,thermoml
CCOC(=O)c1ccccc1O,348.15,0.001126,thermoml
CCOC(=O)Cc1ccccc1,308.15,0.001948,thermoml
CCOC(=O)Cc1ccccc1,298.15,0.002384,thermoml
CCOC(=O)Cc1ccccc1,288.15,0.003002,thermoml
CCC(=O)OCc1ccccc1,358.15,0.00084,thermoml
CCC(=O)OCc1ccccc1,348.15,0.000964,thermoml
CCC(=O)OCc1ccccc1,338.15,0.001114,thermoml
CCC(=O)OCc1ccccc1,328.15,0.001294,thermoml
CCC(=O)OCc1ccccc1,318.15,0.001515,thermoml
CCC(=O)OCc1ccccc1,308.15,0.001787,thermoml
CCC(=O)OCc1ccccc1,298.15,0.002123,thermoml
CCC(=O)OCc1ccccc1,288.15,0.00255,thermoml
CCOC(=O)c1ccccc1O,358.15,0.000984,thermoml
CC1OC(C)OC(C)O1,298.15,0.001107,thermoml
CCOC(=O)c1ccccc1O,338.15,0.001305,thermoml
CCOC(=O)c1ccccc1O,328.15,0.00153,thermoml
CCOC(=O)c1ccccc1O,318.15,0.001842,thermoml
CCOC(=O)c1ccccc1O,308.15,0.002253,thermoml
CCOC(=O)c1ccccc1O,298.15,0.002831,thermoml
CCOC(=O)c1ccccc1O,288.15,0.003694,thermoml
CCCC(=O)OCCC(C)C,358.15,0.000511,thermoml
CCCC(=O)OCCC(C)C,348.15,0.000573,thermoml
CCCC(=O)OCCC(C)C,338.15,0.000641,thermoml
CCCC(=O)OCCC(C)C,328.15,0.000724,thermoml
CCCC(=O)OCCC(C)C,318.15,0.000827,thermoml
CCCC(=O)OCCC(C)C,308.15,0.000952,thermoml
CCCCO,313.15,0.001778,thermoml
CCO,298.15,0.001088,thermoml
C=C(C)C(=O)OCc1ccccc1,318.15,0.00158,thermoml
C=C(C)C(=O)OCc1ccccc1,308.15,0.001885,thermoml
C=C(C)C(=O)OCc1ccccc1,298.15,0.002302,thermoml
CCOCCC(=O)OCC,318.15,0.000859,thermoml
CCOCCC(=O)OCC,308.15,0.000996,thermoml
CCOCCC(=O)OCC,298.15,0.001176,thermoml
C=C(C)C(=O)OCCO,318.15,0.003181,thermoml
C=C(C)C(=O)OCCO,308.15,0.004194,thermoml
C=C(C)C(=O)OCCO,298.15,0.005784,thermoml
C=C(C)C(=O)O,318.15,0.000945,thermoml
C=C(C)C(=O)O,308.15,0.001078,thermoml
C=C(C)C(=O)O,298.15,0.001267,thermoml
CCO,308.15,0.000897,thermoml
CCCCO,308.15,0.001998,thermoml
CCCCO,303.15,0.002265,thermoml
CCCCO,298.15,0.002566,thermoml
CN=CO,298.15,0.001681,thermoml
CN(C)C=O,298.15,0.000799,thermoml
CCCCCCCCCCCO,313.15,0.007841,thermoml
CCCCCCCCCCCO,308.15,0.00935,thermoml
CCCCCCCCCCCO,303.15,0.011524,thermoml
CCCCCCCCCCCO,298.15,0.013721,thermoml
CCCCCCCCCCCO,293.15,0.017284,thermoml
CCCCCCCCCCO,313.15,0.006831,thermoml
CCCCCCCCCCO,308.15,0.008,thermoml
CCCCCCCCCC=O,318.15,0.001281,thermoml
O=C1CCCCC1,318.15,0.001373,thermoml
O=C1CCCCC1,308.15,0.001632,thermoml
O=C1CCCCC1,298.15,0.001974,thermoml
CCCCCCCCCCO,303.15,0.009561,thermoml
CCCCCCCCCC=O,308.15,0.001412,thermoml
CCCCCCCCCC=O,298.15,0.00156,thermoml
CCCCCCCCC=O,318.15,0.001127,thermoml
CCCCCCCCC=O,308.15,0.001251,thermoml
CCCCCCCCC=O,298.15,0.001392,thermoml
CCCCCCCC=O,318.15,0.000965,thermoml
CCCCCCCC=O,308.15,0.001074,thermoml
CCCCCCCC=O,298.15,0.0012,thermoml
CCCCCC=O,318.15,0.000639,thermoml
